dataset,N,N_indexed,method,attack,frac,seed,recon_f1,recon_em,distinguish_auc
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,4,,,0.797594235
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,5,0.357906,0.038436,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,5,,,0.7973258799999999
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,6,0.351382,0.035759,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,6,,,0.79526308
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,7,0.357213,0.032105,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,7,,,0.79279727
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,8,0.371636,0.043719,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,8,,,0.804428215
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.1,9,0.384397,0.022546,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.1,9,,,0.8142733099999999
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,0,0.365533,0.039107,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,0,,,0.832845195
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,1,0.39609,0.052062,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,1,,,0.8458417899999999
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,2,0.384284,0.05503,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,2,,,0.8403190249999999
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,3,0.366759,0.04536,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,3,,,0.83358532
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,4,0.417754,0.042845,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,4,,,0.8591392099999999
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,5,0.436235,0.041406,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,5,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,6,0.373037,0.028453,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,6,,,0.83825527
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,7,0.40991,0.044087,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,7,,,0.851838235
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,8,0.34466,0.038622,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,8,,,0.81928706
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.2,9,0.374279,0.055598,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.2,9,,,0.8395015450000001
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,0,0.389806,0.053939,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,0,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,1,0.369481,0.049448,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,1,,,0.86302797
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,2,0.422812,0.048905,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,2,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,3,0.360578,0.057946,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,3,,,0.859579465
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,4,0.402815,0.064123,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,4,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,5,0.405025,0.062,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,5,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,6,0.366286,0.04323,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,6,,,0.86303179
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,7,0.381527,0.029574,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,7,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,8,0.427692,0.052407,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,8,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.3,9,0.420499,0.059285,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.3,9,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,0,0.356808,0.070531,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,0,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,1,0.395631,0.053968,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,1,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,2,0.404423,0.05401,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,2,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,3,0.383666,0.042853,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,3,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,4,0.410813,0.061821,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,4,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,5,0.458328,0.054148,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,5,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,6,0.339284,0.056043,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,6,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,7,0.38809,0.049068,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,7,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,8,0.353987,0.057959,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,8,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.4,9,0.397566,0.051327,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.4,9,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,0,0.436833,0.056073,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,0,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,1,0.40898,0.066976,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,1,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,2,0.418055,0.065601,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,2,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,3,0.406304,0.053442,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,3,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,4,0.395435,0.067146,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,4,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,5,0.400119,0.063853,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,5,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,6,0.40609,0.05084,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,6,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,7,0.459929,0.051051,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,7,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,8,0.459553,0.06356,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,8,,,0.865
LegalBench-RAG,1200000,1200000,Post-filter,A1_reconstruction,0.5,9,0.433035,0.063963,
LegalBench-RAG,1200000,1200000,Post-filter,A2_distinguishing,0.5,9,,,0.865
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,0,0.361754,0.023888,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,0,,,0.581213
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,1,0.341884,0.050875,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,1,,,0.56803
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,2,0.395462,0.051665,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,2,,,0.610355
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,3,0.346701,0.048889,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,3,,,0.57003
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,4,0.428909,0.028494,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,4,,,0.61918
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,5,0.377425,0.039109,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,5,,,0.594434
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,6,0.323108,0.036978,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,6,,,0.565239
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,7,0.403999,0.035499,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,7,,,0.604182
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,8,0.374063,0.049506,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,8,,,0.586553
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.1,9,0.372574,0.041078,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.1,9,,,0.585183
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,0,0.364897,0.044267,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,0,,,0.581698
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,1,0.393168,0.030959,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,1,,,0.603047
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,2,0.382784,0.057673,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,2,,,0.589841
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,3,0.339103,0.063511,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,3,,,0.569758
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,4,0.367833,0.051966,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,4,,,0.590018
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,5,0.362663,0.039789,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,5,,,0.596636
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,6,0.330656,0.033091,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,6,,,0.565846
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,7,0.374846,0.039341,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,7,,,0.593472
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,8,0.439536,0.050784,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,8,,,0.635575
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.2,9,0.369063,0.045703,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.2,9,,,0.586833
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,0,0.445857,0.042761,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,0,,,0.63976
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,1,0.410929,0.0577,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,1,,,0.620572
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,2,0.382987,0.054321,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,2,,,0.607611
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,3,0.409139,0.041036,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,3,,,0.619889
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,4,0.388592,0.049646,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,4,,,0.603383
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,5,0.327605,0.04219,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,5,,,0.581677
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,6,0.411662,0.057941,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,6,,,0.627452
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,7,0.450406,0.053568,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,7,,,0.644276
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,8,0.416684,0.054187,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,8,,,0.625838
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.3,9,0.415675,0.043836,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.3,9,,,0.626682
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,0,0.44253,0.037931,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,0,,,0.649
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,1,0.423223,0.045755,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,1,,,0.637836
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,2,0.438644,0.055766,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,2,,,0.644357
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,3,0.397881,0.053755,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,3,,,0.623896
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,4,0.398225,0.056012,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,4,,,0.617847
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,5,0.450732,0.050169,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,5,,,0.650323
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,6,0.410491,0.056976,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,6,,,0.627675
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,7,0.375526,0.061845,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,7,,,0.608318
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,8,0.411671,0.0439,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,8,,,0.633671
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.4,9,0.443618,0.065703,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.4,9,,,0.649362
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.5,0,0.46624,0.062136,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.5,0,,,0.666237
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.5,1,0.409355,0.059716,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.5,1,,,0.634995
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.5,2,0.436409,0.064917,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.5,2,,,0.640969
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.5,3,0.410766,0.062409,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.5,3,,,0.641007
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.5,4,0.440933,0.068465,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.5,4,,,0.656823
LegalBench-RAG,1200000,1200000,ACORN,A1_reconstruction,0.5,5,0.411572,0.059929,
LegalBench-RAG,1200000,1200000,ACORN,A2_distinguishing,0.5,5,,,0.63451
