dataset,N,N_indexed,method,pattern,frac,seed,result_leak,drift10,recall10,recall_oracle10
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,2,0.0,0.0,0.96339,0.983259
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,3,0.0,0.0,0.961449,0.980094
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,4,0.0,0.0,0.963044,0.980147
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,5,0.0,0.0,0.961958,0.983942
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,6,0.0,0.0,0.964305,0.979262
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,7,0.0,0.0,0.967317,0.982158
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,8,0.0,0.0,0.967302,0.98235
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.0,9,0.0,0.0,0.966901,0.983181
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,0,0.0,0.0,0.976775,0.980996
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,1,0.0,0.0,0.980935,0.981834
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,2,0.0,0.0,0.978812,0.983026
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,3,0.0,0.0,0.975245,0.980836
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,4,0.0,0.0,0.971294,0.980456
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,5,0.0,0.0,0.979619,0.982701
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,6,0.0,0.0,0.981883,0.985458
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,7,0.0,0.0,0.977698,0.980124
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,8,0.0,0.0,0.97548,0.979977
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,9,0.0,0.0,0.974988,0.983418
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,0,0.0,0.0,0.965429,0.982248
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,1,0.0,0.0,0.958832,0.982375
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,2,0.0,0.0,0.957464,0.978117
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,3,0.0,0.0,0.964862,0.982594
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,4,0.0,0.0,0.958414,0.978186
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,5,0.0,0.0,0.965282,0.983313
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,6,0.0,0.0,0.963929,0.98272
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,7,0.0,0.0,0.955714,0.979179
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,8,0.0,0.0,0.960738,0.979637
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,9,0.0,0.0,0.955993,0.980333
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,0,0.0,0.0,0.962118,0.980228
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,1,0.0,0.0,0.965298,0.981408
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,2,0.0,0.0,0.963782,0.981258
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,3,0.0,0.0,0.965193,0.983637
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,4,0.0,0.0,0.963261,0.981624
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,5,0.0,0.0,0.958257,0.977441
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,6,0.0,0.0,0.963785,0.980747
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,7,0.0,0.0,0.962828,0.979467
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,8,0.0,0.0,0.967919,0.982947
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,9,0.0,0.0,0.965743,0.981576
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,0,0.0,0.0,0.955043,0.980254
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,1,0.0,0.0,0.959061,0.983587
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,2,0.0,0.0,0.955212,0.982452
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,3,0.0,0.0,0.957133,0.983604
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,4,0.0,0.0,0.957244,0.983147
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,5,0.0,0.0,0.957593,0.983739
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,6,0.0,0.0,0.954155,0.981679
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,7,0.0,0.0,0.960731,0.982196
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,8,0.0,0.0,0.958771,0.981967
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,9,0.0,0.0,0.955944,0.980701
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,0,0.0,0.0,0.978452,0.978452
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,1,0.0,0.0,0.98153,0.98153
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,2,0.0,0.0,0.981136,0.981136
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,3,0.0,0.0,0.984156,0.984156
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,4,0.0,0.0,0.978196,0.978196
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,5,0.0,0.0,0.979911,0.979911
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,6,0.0,0.0,0.981223,0.981223
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,7,0.0,0.0,0.982593,0.982593
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,8,0.0,0.0,0.983834,0.983834
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,9,0.0,0.0,0.981931,0.981931
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,0,0.0,0.036051,0.9494,0.985606
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,1,0.0,0.037382,0.944463,0.982848
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,2,0.0,0.031015,0.945112,0.981948
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,3,0.0,0.035046,0.943087,0.981737
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,4,0.0,0.03845,0.943923,0.981759
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,5,0.0,0.0338,0.942287,0.982478
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,6,0.0,0.034356,0.942074,0.981625
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,7,0.0,0.034675,0.94284,0.98223
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,8,0.0,0.031806,0.94265,0.982646
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,9,0.0,0.033363,0.945481,0.981546
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,0,0.0,0.032936,0.934305,0.980227
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,1,0.0,0.038508,0.942733,0.982634
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,2,0.0,0.03633,0.939226,0.978232
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,3,0.0,0.034783,0.937095,0.982151
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,4,0.0,0.037864,0.939077,0.982789
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,5,0.0,0.037523,0.939482,0.981713
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,6,0.0,0.035123,0.938703,0.98219
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,7,0.0,0.038968,0.939652,0.983457
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,8,0.0,0.041831,0.941751,0.984377
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,9,0.0,0.040181,0.944945,0.986845
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,0,0.0,0.001853,0.973344,0.980309
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,1,0.0,0.005234,0.976867,0.981578
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,2,0.0,0.000101,0.978157,0.980908
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,3,0.0,0.00293,0.975713,0.981244
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,4,0.0,0.004449,0.973949,0.979109
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,5,0.0,0.001407,0.975132,0.980107
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,6,0.0,0.001388,0.977182,0.980943
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,7,0.0,0.004161,0.979973,0.983884
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,8,0.0,0.0,0.979721,0.982455
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,9,0.0,0.0,0.976212,0.982045
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,0,0.0,0.011757,0.924702,0.979952
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,1,0.0,0.015107,0.926866,0.98177
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,2,0.0,0.00756,0.92992,0.987347
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,3,0.0,0.012262,0.924036,0.982446
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,4,0.0,0.008304,0.925655,0.9812
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,5,0.0,0.013044,0.92677,0.980348
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,6,0.0,0.003648,0.919643,0.980522
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,7,0.0,0.012597,0.923439,0.979712
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,8,0.0,0.012174,0.924625,0.981792
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,9,0.0,0.013939,0.925704,0.981302
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,0,0.0,0.028783,0.956436,0.982593
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,1,0.0,0.032822,0.955915,0.983804
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,2,0.0,0.030905,0.956259,0.981425
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,3,0.0,0.028575,0.955406,0.980998
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,4,0.0,0.034592,0.95882,0.981551
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,5,0.0,0.036246,0.954923,0.982258
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,6,0.0,0.037577,0.957764,0.983436
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,7,0.0,0.02993,0.952667,0.981914
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,8,0.0,0.031582,0.961452,0.98511
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,9,0.0,0.031688,0.957876,0.98227
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,0,0.0,0.005386,0.944905,0.98314
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,1,0.0,0.00795,0.94276,0.979261
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,2,0.0,0.005141,0.945163,0.98151
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,3,0.0,0.007621,0.948252,0.98416
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,4,0.0,0.005872,0.949446,0.986868
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,5,0.0,0.010136,0.944247,0.980021
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,6,0.0,0.005993,0.937301,0.978191
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,7,0.0,0.005392,0.941829,0.98098
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,8,0.0,0.00359,0.944845,0.980278
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,9,0.0,0.001803,0.945901,0.981387
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,0,0.0,0.017495,0.964985,0.98213
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,1,0.0,0.011072,0.967499,0.981889
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,2,0.0,0.020148,0.963272,0.98018
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,3,0.0,0.018059,0.964996,0.983444
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,4,0.0,0.018292,0.970942,0.984114
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,5,0.0,0.010989,0.96156,0.980514
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,6,0.0,0.01527,0.96448,0.98388
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,7,0.0,0.018526,0.959481,0.97824
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,8,0.0,0.013525,0.966708,0.981368
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,9,0.0,0.016253,0.968309,0.983049
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,0,0.0,0.003071,0.977327,0.984314
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,1,0.0,0.0,0.982211,0.984192
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,2,0.0,0.001604,0.974905,0.981508
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,3,0.0,0.004701,0.978797,0.981686
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,4,0.0,0.001024,0.980204,0.981685
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,5,0.0,0.002129,0.977709,0.98123
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,6,0.0,0.002455,0.978251,0.980674
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,7,0.0,0.003488,0.978602,0.981237
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,8,0.0,0.0,0.981716,0.982653
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,9,0.0,0.0,0.982261,0.984901
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,0,0.0,0.017548,0.965178,0.982064
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,1,0.0,0.013381,0.964035,0.985263
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,2,0.0,0.011932,0.968663,0.986656
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,3,0.0,0.013512,0.959341,0.980781
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,4,0.0,0.015931,0.964402,0.981987
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,5,0.0,0.017355,0.966173,0.983849
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,6,0.0,0.009544,0.95844,0.98024
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,7,0.0,0.013831,0.966038,0.983492
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,8,0.0,0.020544,0.965155,0.981169
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,9,0.0,0.014998,0.956717,0.977808
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,0,0.0,0.012837,0.963716,0.980987
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,1,0.0,0.012204,0.96461,0.982624
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,2,0.0,0.009608,0.965466,0.982397
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,3,0.0,0.013925,0.964669,0.982479
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,4,0.0,0.014308,0.961336,0.978974
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,5,0.0,0.015484,0.967914,0.987541
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,6,0.0,0.017757,0.963287,0.983139
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,7,0.0,0.011301,0.961258,0.981533
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,8,0.0,0.012638,0.959274,0.977638
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,9,0.0,0.015759,0.963367,0.981279
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,0,0.0,0.021808,0.953261,0.981413
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,1,0.0,0.026831,0.95467,0.982862
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,2,0.0,0.021622,0.95951,0.985507
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,3,0.0,0.020963,0.953965,0.978606
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,4,0.0,0.02008,0.959173,0.98267
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,5,0.0,0.021037,0.95474,0.980817
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,6,0.0,0.020494,0.956409,0.984107
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,7,0.0,0.025949,0.954104,0.982652
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,8,0.0,0.022844,0.958072,0.98512
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,9,0.0,0.024721,0.957267,0.984259
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,0,0.0,0.0,0.983303,0.983303
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,1,0.0,0.0,0.97798,0.97798
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,2,0.0,0.0,0.983048,0.983048
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,3,0.0,0.0,0.979815,0.979815
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,4,0.0,0.0,0.98284,0.98284
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,5,0.0,0.0,0.983445,0.983445
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,6,0.0,0.0,0.981274,0.981274
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,7,0.0,0.0,0.98297,0.98297
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,8,0.0,0.0,0.983984,0.983984
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,9,0.0,0.0,0.98048,0.98048
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,0,0.0,0.059306,0.937613,0.97731
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,1,0.0,0.066003,0.939957,0.979872
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,2,0.0,0.059061,0.942114,0.984907
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,3,0.0,0.060263,0.945328,0.984863
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,4,0.0,0.06128,0.944589,0.984916
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,5,0.0,0.065057,0.944496,0.982226
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,6,0.0,0.060115,0.947606,0.985806
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,7,0.0,0.060528,0.945536,0.983653
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,8,0.0,0.059266,0.939334,0.981031
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,9,0.0,0.062091,0.942258,0.981682
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,0,0.0,0.059621,0.940506,0.983315
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,1,0.0,0.066166,0.940355,0.984749
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,2,0.0,0.064125,0.940654,0.980722
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,3,0.0,0.066273,0.934812,0.979978
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,4,0.0,0.064804,0.940696,0.984549
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,5,0.0,0.066729,0.941685,0.982582
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,6,0.0,0.063314,0.938378,0.982424
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,7,0.0,0.065214,0.936736,0.979783
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,8,0.0,0.068215,0.939913,0.981913
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,9,0.0,0.062746,0.937476,0.981899
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,0,0.0,0.0,0.976463,0.978757
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,1,0.0,0.001888,0.977978,0.982137
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,2,0.0,0.008607,0.971283,0.977708
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,3,0.0,0.003117,0.977338,0.980451
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,4,0.0,0.004973,0.975357,0.981857
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,5,0.0,0.0,0.978868,0.98291
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,6,0.0,0.005232,0.978565,0.983555
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,7,0.0,0.004198,0.979231,0.983938
