dataset,N,N_indexed,pattern,frac,seed,graph_variant,edge_overlap_with_oracle,authorized_largest_component_fraction,avg_shortest_path_length_authorized,out_degree_mean,in_degree_mean,hub_coverage,greedy_search_success_rate,query_expanded_nodes,query_path_length,unauthorized_overlay_endpoint_count
LegalBench-RAG,1200000,1200000,random,0.1,2,lethe-full-bypass,0.561551,0.991671,3.256627,15.759488,16.102382,0.96,0.976884,14205,5.330592,0
LegalBench-RAG,1200000,1200000,random,0.1,3,lethe-full-bypass,0.598932,0.9914,3.29351,15.478775,15.899653,0.96,0.968937,14827,5.426059,0
LegalBench-RAG,1200000,1200000,random,0.1,4,lethe-full-bypass,0.600691,0.994001,3.319813,16.632984,15.380677,0.96,0.979818,14985,5.28963,0
LegalBench-RAG,1200000,1200000,random,0.1,0,no-bypass,0.358147,0.928237,4.15278,15.921388,15.804223,0.88,0.890242,17715,7.114804,0
LegalBench-RAG,1200000,1200000,random,0.1,1,no-bypass,0.319164,0.923698,4.23659,15.149904,15.979651,0.88,0.884004,18378,7.021937,0
LegalBench-RAG,1200000,1200000,random,0.1,2,no-bypass,0.308851,0.922011,4.2246,16.405325,15.757015,0.88,0.8834,18318,7.025261,0
LegalBench-RAG,1200000,1200000,random,0.1,3,no-bypass,0.326434,0.923901,4.140336,15.998702,14.954786,0.88,0.885585,16596,7.243057,0
LegalBench-RAG,1200000,1200000,random,0.1,4,no-bypass,0.319411,0.928185,4.178505,16.342241,16.877658,0.88,0.881149,17896,7.069307,0
LegalBench-RAG,1200000,1200000,random,0.1,0,physical-delete-local-repair,0.436634,0.974041,3.745737,16.062696,15.830489,0.88,0.938283,17181,6.133711,0
LegalBench-RAG,1200000,1200000,random,0.1,1,physical-delete-local-repair,0.474984,0.970827,3.76944,16.198902,16.307176,0.88,0.948343,17503,5.986587,0
LegalBench-RAG,1200000,1200000,random,0.1,2,physical-delete-local-repair,0.455367,0.970571,3.726411,16.344402,15.369915,0.88,0.944327,16669,6.121978,0
LegalBench-RAG,1200000,1200000,random,0.1,3,physical-delete-local-repair,0.4542,0.971599,3.781478,16.203338,16.192804,0.88,0.939093,16205,6.07172,0
LegalBench-RAG,1200000,1200000,random,0.1,4,physical-delete-local-repair,0.464994,0.972239,3.63581,15.970504,15.713335,0.88,0.933892,16134,6.094292,0
LegalBench-RAG,1200000,1200000,random,0.2,0,base-before-revocation,0.0,1.0,3.119848,15.916825,16.221033,0.88,0.985511,13148,5.028387,0
LegalBench-RAG,1200000,1200000,random,0.2,1,base-before-revocation,0.0,0.995917,3.19447,16.09182,16.10912,0.88,0.991005,13791,5.069069,0
LegalBench-RAG,1200000,1200000,random,0.2,2,base-before-revocation,0.0,0.996969,3.287604,16.296809,16.241732,0.88,0.990566,14162,4.997945,0
LegalBench-RAG,1200000,1200000,random,0.2,3,base-before-revocation,0.0,0.999804,3.144766,15.666236,16.490534,0.88,0.986921,14467,5.02012,0
LegalBench-RAG,1200000,1200000,random,0.2,4,base-before-revocation,0.0,0.999195,3.133573,16.322633,15.83319,0.88,0.983438,13876,4.975159,0
LegalBench-RAG,1200000,1200000,random,0.2,0,oracle-rebuild-authorized,1.0,0.993145,3.244732,15.760176,16.270043,0.96,0.974162,14915,5.070715,0
LegalBench-RAG,1200000,1200000,random,0.2,1,oracle-rebuild-authorized,1.0,0.991674,3.172947,15.373298,16.105709,0.96,0.988477,13898,5.287151,0
LegalBench-RAG,1200000,1200000,random,0.2,2,oracle-rebuild-authorized,1.0,0.994188,3.16956,15.96513,15.928236,0.96,0.976482,14127,5.067558,0
LegalBench-RAG,1200000,1200000,random,0.2,3,oracle-rebuild-authorized,1.0,0.998218,3.228285,15.717897,16.537518,0.96,0.976578,13774,5.135942,0
LegalBench-RAG,1200000,1200000,random,0.2,4,oracle-rebuild-authorized,1.0,0.996292,3.278389,15.952355,16.420805,0.96,0.969329,13949,5.213367,0
LegalBench-RAG,1200000,1200000,random,0.2,0,lethe-pruned-bypass,0.550955,0.988335,3.497325,15.490025,15.507218,0.96,0.961586,14940,5.480305,0
LegalBench-RAG,1200000,1200000,random,0.2,1,lethe-pruned-bypass,0.515301,0.986756,3.349386,16.175487,16.089229,0.96,0.968149,14841,5.402581,0
LegalBench-RAG,1200000,1200000,random,0.2,2,lethe-pruned-bypass,0.526285,0.988308,3.488796,16.321611,15.886567,0.96,0.971896,15461,5.536137,0
LegalBench-RAG,1200000,1200000,random,0.2,3,lethe-pruned-bypass,0.515304,0.984171,3.444683,16.117183,15.357676,0.96,0.965438,15029,5.337296,0
LegalBench-RAG,1200000,1200000,random,0.2,4,lethe-pruned-bypass,0.471875,0.985332,3.352064,16.129043,16.523337,0.96,0.979604,14702,5.625372,0
LegalBench-RAG,1200000,1200000,random,0.2,0,lethe-full-bypass,0.631667,0.983804,3.336143,15.513514,15.790193,0.96,0.966031,14283,5.481448,0
LegalBench-RAG,1200000,1200000,random,0.2,1,lethe-full-bypass,0.546689,0.99475,3.330257,16.789283,14.930944,0.96,0.97384,14471,5.341345,0
LegalBench-RAG,1200000,1200000,random,0.2,2,lethe-full-bypass,0.578977,0.994753,3.171551,15.063701,15.939529,0.96,0.965252,14627,5.516059,0
LegalBench-RAG,1200000,1200000,random,0.2,3,lethe-full-bypass,0.591308,0.991526,3.206962,16.286973,15.278092,0.96,0.978927,13987,5.402615,0
LegalBench-RAG,1200000,1200000,random,0.2,4,lethe-full-bypass,0.657436,0.989966,3.287328,15.845838,15.460243,0.96,0.967298,15080,5.323425,0
LegalBench-RAG,1200000,1200000,random,0.2,0,no-bypass,0.36672,0.922915,4.237932,16.325452,16.44114,0.88,0.871333,18255,7.061734,0
LegalBench-RAG,1200000,1200000,random,0.2,1,no-bypass,0.342648,0.9223,4.241662,16.002356,15.815869,0.88,0.88691,17848,7.084342,0
LegalBench-RAG,1200000,1200000,random,0.2,2,no-bypass,0.350721,0.916215,4.161193,16.513107,15.322945,0.88,0.875868,16620,6.94822,0
LegalBench-RAG,1200000,1200000,random,0.2,3,no-bypass,0.374247,0.925613,4.2772,15.740144,16.981239,0.88,0.879469,17879,7.042744,0
LegalBench-RAG,1200000,1200000,random,0.2,4,no-bypass,0.329459,0.919825,4.3037,15.257726,16.415511,0.88,0.881686,17896,7.092926,0
LegalBench-RAG,1200000,1200000,random,0.2,0,physical-delete-local-repair,0.482741,0.970875,3.729358,15.012479,15.63711,0.88,0.950135,16873,5.939251,0
LegalBench-RAG,1200000,1200000,random,0.2,1,physical-delete-local-repair,0.469454,0.971044,3.756691,15.999043,16.090637,0.88,0.947046,16412,6.065295,0
LegalBench-RAG,1200000,1200000,random,0.2,2,physical-delete-local-repair,0.470777,0.96954,3.765863,15.931782,16.707803,0.88,0.931594,16555,5.955993,0
LegalBench-RAG,1200000,1200000,random,0.2,3,physical-delete-local-repair,0.387476,0.970145,3.700312,16.069787,15.93472,0.88,0.943953,15875,5.908008,0
LegalBench-RAG,1200000,1200000,random,0.2,4,physical-delete-local-repair,0.482633,0.969304,3.814427,15.710346,15.019201,0.88,0.938826,16583,5.997419,0
LegalBench-RAG,1200000,1200000,random,0.3,0,base-before-revocation,0.0,1.0,3.169512,16.785277,15.978041,0.88,0.977923,13740,4.963692,0
LegalBench-RAG,1200000,1200000,random,0.3,1,base-before-revocation,0.0,0.994104,3.153268,15.947029,14.806606,0.88,0.978886,13138,4.981202,0
LegalBench-RAG,1200000,1200000,random,0.3,2,base-before-revocation,0.0,0.995133,3.188597,15.898587,15.53328,0.88,0.985309,13715,5.011485,0
LegalBench-RAG,1200000,1200000,random,0.3,3,base-before-revocation,0.0,1.0,3.152057,15.464516,15.954421,0.88,0.976231,13597,4.968334,0
LegalBench-RAG,1200000,1200000,random,0.3,4,base-before-revocation,0.0,0.997022,3.168565,15.695481,15.494171,0.88,0.986934,14287,5.024889,0
LegalBench-RAG,1200000,1200000,random,0.3,0,oracle-rebuild-authorized,1.0,0.998424,3.238181,16.251828,15.631347,0.96,0.988596,14123,5.016259,0
LegalBench-RAG,1200000,1200000,random,0.3,1,oracle-rebuild-authorized,1.0,0.992711,3.221984,15.976826,15.894373,0.96,0.990192,14172,5.100022,0
LegalBench-RAG,1200000,1200000,random,0.3,2,oracle-rebuild-authorized,1.0,0.994655,3.19209,16.476558,16.018252,0.96,0.979653,14162,5.094111,0
LegalBench-RAG,1200000,1200000,random,0.3,3,oracle-rebuild-authorized,1.0,0.997439,3.165673,15.032703,16.545473,0.96,0.983175,14317,5.186798,0
LegalBench-RAG,1200000,1200000,random,0.3,4,oracle-rebuild-authorized,1.0,0.993691,3.321602,16.244582,16.21492,0.96,0.981381,14012,5.208801,0
LegalBench-RAG,1200000,1200000,random,0.3,0,lethe-pruned-bypass,0.58365,0.986856,3.330383,16.920808,15.764995,0.96,0.964738,15217,5.478733,0
LegalBench-RAG,1200000,1200000,random,0.3,1,lethe-pruned-bypass,0.549147,0.986268,3.465019,16.519704,16.863114,0.96,0.971751,15026,5.625959,0
LegalBench-RAG,1200000,1200000,random,0.3,2,lethe-pruned-bypass,0.535862,0.991449,3.320026,15.551728,15.456192,0.96,0.965313,15492,5.639037,0
LegalBench-RAG,1200000,1200000,random,0.3,3,lethe-pruned-bypass,0.524899,0.988423,3.379803,16.072532,16.096497,0.96,0.957489,14992,5.429909,0
LegalBench-RAG,1200000,1200000,random,0.3,4,lethe-pruned-bypass,0.566152,0.988377,3.401955,15.559105,16.374627,0.96,0.960109,14666,5.485707,0
LegalBench-RAG,1200000,1200000,random,0.3,0,lethe-full-bypass,0.637215,0.990194,3.258955,15.161252,15.794642,0.96,0.985604,13957,5.359858,0
LegalBench-RAG,1200000,1200000,random,0.3,1,lethe-full-bypass,0.643924,0.988979,3.354015,15.999095,15.280651,0.96,0.965647,14665,5.243764,0
LegalBench-RAG,1200000,1200000,random,0.3,2,lethe-full-bypass,0.59748,0.988311,3.27435,15.729381,15.469201,0.96,0.968536,14892,5.348601,0
LegalBench-RAG,1200000,1200000,random,0.3,3,lethe-full-bypass,0.616085,0.991598,3.213381,16.328462,15.936658,0.96,0.972636,14717,5.123567,0
LegalBench-RAG,1200000,1200000,random,0.3,4,lethe-full-bypass,0.634607,0.991224,3.269146,15.978292,15.712793,0.96,0.978555,14021,5.411845,0
LegalBench-RAG,1200000,1200000,random,0.3,0,no-bypass,0.352395,0.917453,4.312693,16.02827,16.513555,0.88,0.864497,17659,7.117174,0
LegalBench-RAG,1200000,1200000,random,0.3,1,no-bypass,0.362793,0.912937,4.214802,15.692901,15.635373,0.88,0.873214,18318,6.990921,0
LegalBench-RAG,1200000,1200000,random,0.3,2,no-bypass,0.309035,0.920914,4.28512,15.776735,15.816514,0.88,0.864942,17913,7.208637,0
LegalBench-RAG,1200000,1200000,random,0.3,3,no-bypass,0.330048,0.914637,4.32639,16.057753,15.980843,0.88,0.872957,18459,7.12623,0
LegalBench-RAG,1200000,1200000,random,0.3,4,no-bypass,0.381593,0.918197,4.267632,15.807977,15.573674,0.88,0.866409,18136,7.299819,0
LegalBench-RAG,1200000,1200000,random,0.3,0,physical-delete-local-repair,0.491226,0.974562,3.770178,15.8488,15.393883,0.88,0.938253,17181,6.06729,0
LegalBench-RAG,1200000,1200000,random,0.3,1,physical-delete-local-repair,0.474097,0.967025,3.71126,15.88277,17.333495,0.88,0.944762,16768,5.939852,0
LegalBench-RAG,1200000,1200000,random,0.3,2,physical-delete-local-repair,0.444381,0.967068,3.640127,15.910996,15.305768,0.88,0.945831,16740,6.015254,0
LegalBench-RAG,1200000,1200000,random,0.3,3,physical-delete-local-repair,0.448084,0.966601,3.721742,16.414976,15.956743,0.88,0.945038,15346,5.893196,0
LegalBench-RAG,1200000,1200000,random,0.3,4,physical-delete-local-repair,0.483202,0.968018,3.683918,16.04182,16.055017,0.88,0.93973,16098,5.979827,0
LegalBench-RAG,1200000,1200000,random,0.4,0,base-before-revocation,0.0,0.996134,3.098475,15.525422,16.173917,0.88,0.984336,13189,4.986562,0
LegalBench-RAG,1200000,1200000,random,0.4,1,base-before-revocation,0.0,0.994143,3.176859,15.713536,16.681726,0.88,0.990352,14133,4.808072,0
LegalBench-RAG,1200000,1200000,random,0.4,2,base-before-revocation,0.0,0.992403,3.159351,16.584526,16.119756,0.88,0.978799,13382,5.144688,0
LegalBench-RAG,1200000,1200000,random,0.4,3,base-before-revocation,0.0,0.997316,3.149886,15.776294,15.692389,0.88,0.981089,13792,5.070978,0
LegalBench-RAG,1200000,1200000,random,0.4,4,base-before-revocation,0.0,1.0,3.186147,15.816434,16.814121,0.88,0.986165,13450,4.858378,0
LegalBench-RAG,1200000,1200000,random,0.4,0,oracle-rebuild-authorized,1.0,0.994866,3.283449,16.194812,16.670365,0.96,0.978486,13879,5.102486,0
LegalBench-RAG,1200000,1200000,random,0.4,1,oracle-rebuild-authorized,1.0,0.99706,3.148666,15.734859,16.171274,0.96,0.99548,14182,5.2306,0
LegalBench-RAG,1200000,1200000,random,0.4,2,oracle-rebuild-authorized,1.0,0.995422,3.131491,15.867489,15.88903,0.96,0.981872,14068,5.14062,0
LegalBench-RAG,1200000,1200000,random,0.4,3,oracle-rebuild-authorized,1.0,0.999281,3.198128,16.059161,15.467801,0.96,0.979764,13735,5.269029,0
LegalBench-RAG,1200000,1200000,random,0.4,4,oracle-rebuild-authorized,1.0,1.0,3.127112,16.027429,16.186771,0.96,0.981532,14711,5.207114,0
LegalBench-RAG,1200000,1200000,random,0.4,0,lethe-pruned-bypass,0.506254,0.987477,3.352251,15.544968,16.33706,0.96,0.969076,15709,5.616591,0
LegalBench-RAG,1200000,1200000,random,0.4,1,lethe-pruned-bypass,0.492391,0.98473,3.378132,16.038232,15.536964,0.96,0.968998,15129,5.731782,0
LegalBench-RAG,1200000,1200000,random,0.4,2,lethe-pruned-bypass,0.548304,0.988643,3.404626,15.436168,16.386938,0.96,0.977417,15677,5.666647,0
LegalBench-RAG,1200000,1200000,random,0.4,3,lethe-pruned-bypass,0.512366,0.990756,3.472784,16.470412,15.626273,0.96,0.978683,15021,5.540946,0
LegalBench-RAG,1200000,1200000,random,0.4,4,lethe-pruned-bypass,0.532819,0.98787,3.411384,15.69691,16.039906,0.96,0.968308,15704,5.501465,0
LegalBench-RAG,1200000,1200000,random,0.4,0,lethe-full-bypass,0.655267,0.989101,3.358494,15.603341,16.053239,0.96,0.969983,14173,5.293028,0
LegalBench-RAG,1200000,1200000,random,0.4,1,lethe-full-bypass,0.670763,0.994429,3.306301,15.941452,15.528383,0.96,0.975038,14446,5.394733,0
LegalBench-RAG,1200000,1200000,random,0.4,2,lethe-full-bypass,0.571411,0.992113,3.316551,15.593465,15.38553,0.96,0.968397,14006,5.429537,0
LegalBench-RAG,1200000,1200000,random,0.4,3,lethe-full-bypass,0.632802,0.99043,3.262862,15.675868,15.89258,0.96,0.96579,14317,5.388293,0
LegalBench-RAG,1200000,1200000,random,0.4,4,lethe-full-bypass,0.627934,0.99848,3.269703,16.209761,15.006016,0.96,0.975551,14784,5.391121,0
LegalBench-RAG,1200000,1200000,random,0.4,0,no-bypass,0.348812,0.909178,4.379047,16.114009,15.97171,0.88,0.859692,17605,7.136617,0
LegalBench-RAG,1200000,1200000,random,0.4,1,no-bypass,0.336065,0.911606,4.417431,16.076326,15.657396,0.88,0.864212,17759,6.986877,0
LegalBench-RAG,1200000,1200000,random,0.4,2,no-bypass,0.360474,0.911801,4.411002,16.834924,15.212013,0.88,0.864849,17184,7.189139,0
LegalBench-RAG,1200000,1200000,random,0.4,3,no-bypass,0.35262,0.916099,4.385108,16.616843,16.397855,0.88,0.868573,17250,7.029107,0
LegalBench-RAG,1200000,1200000,random,0.4,4,no-bypass,0.398348,0.913804,4.457986,15.70575,16.265428,0.88,0.86097,18629,7.209487,0
LegalBench-RAG,1200000,1200000,random,0.4,0,physical-delete-local-repair,0.433785,0.96991,3.753384,16.267483,15.131187,0.88,0.936231,16042,6.025548,0
LegalBench-RAG,1200000,1200000,random,0.4,1,physical-delete-local-repair,0.503393,0.973662,3.708574,16.454775,15.952447,0.88,0.932271,16421,6.039494,0
LegalBench-RAG,1200000,1200000,random,0.4,2,physical-delete-local-repair,0.530136,0.971332,3.816035,15.780173,15.253045,0.88,0.942196,16393,5.870966,0
LegalBench-RAG,1200000,1200000,random,0.4,3,physical-delete-local-repair,0.493291,0.969492,3.752383,15.571655,16.381016,0.88,0.937652,16193,5.948029,0
LegalBench-RAG,1200000,1200000,random,0.4,4,physical-delete-local-repair,0.440991,0.966273,3.819774,15.845409,15.005856,0.88,0.95286,15508,5.895358,0
LegalBench-RAG,1200000,1200000,random,0.5,0,base-before-revocation,0.0,1.0,3.090756,16.229506,16.068216,0.88,0.985475,13797,5.150905,0
LegalBench-RAG,1200000,1200000,random,0.5,1,base-before-revocation,0.0,0.995501,3.182837,16.005952,15.532079,0.88,0.987401,13432,5.001527,0
LegalBench-RAG,1200000,1200000,random,0.5,2,base-before-revocation,0.0,0.991512,3.153207,15.692575,16.162708,0.88,0.9821,14212,5.064814,0
LegalBench-RAG,1200000,1200000,random,0.5,3,base-before-revocation,0.0,1.0,3.072881,14.968226,15.224225,0.88,0.981891,13339,5.189073,0
LegalBench-RAG,1200000,1200000,random,0.5,4,base-before-revocation,0.0,0.993167,3.128462,15.715961,15.934224,0.88,0.982521,13679,5.051044,0
LegalBench-RAG,1200000,1200000,random,0.5,0,oracle-rebuild-authorized,1.0,0.999385,3.289853,15.898876,16.083172,0.96,0.976778,13680,5.349423,0
LegalBench-RAG,1200000,1200000,random,0.5,1,oracle-rebuild-authorized,1.0,0.994499,3.213396,15.888379,15.706778,0.96,0.976461,13492,5.409466,0
LegalBench-RAG,1200000,1200000,random,0.5,2,oracle-rebuild-authorized,1.0,0.991442,3.2512,16.16873,16.865283,0.96,0.971069,13969,5.126669,0
LegalBench-RAG,1200000,1200000,random,0.5,3,oracle-rebuild-authorized,1.0,0.993896,3.217871,15.608707,15.71484,0.96,0.97523,14925,5.371477,0
LegalBench-RAG,1200000,1200000,random,0.5,4,oracle-rebuild-authorized,1.0,0.994945,3.188206,15.940747,16.314217,0.96,0.979691,14223,5.171826,0
LegalBench-RAG,1200000,1200000,random,0.5,0,lethe-pruned-bypass,0.576253,0.990107,3.40503,15.742062,16.099696,0.96,0.967749,14370,5.460619,0
LegalBench-RAG,1200000,1200000,random,0.5,1,lethe-pruned-bypass,0.510094,0.988135,3.453641,16.176106,16.641818,0.96,0.968198,15349,5.275551,0
LegalBench-RAG,1200000,1200000,random,0.5,2,lethe-pruned-bypass,0.537618,0.988817,3.383927,15.718537,16.326376,0.96,0.978489,15349,5.591843,0
LegalBench-RAG,1200000,1200000,random,0.5,3,lethe-pruned-bypass,0.533809,0.988227,3.442968,16.165263,16.273954,0.96,0.965021,15103,5.647635,0
LegalBench-RAG,1200000,1200000,random,0.5,4,lethe-pruned-bypass,0.516175,0.98853,3.390042,17.274671,16.683329,0.96,0.969611,14135,5.521705,0
LegalBench-RAG,1200000,1200000,random,0.5,0,lethe-full-bypass,0.596368,0.992342,3.247435,16.180855,16.518512,0.96,0.981246,14599,5.391278,0
LegalBench-RAG,1200000,1200000,random,0.5,1,lethe-full-bypass,0.667787,0.992526,3.349374,16.098124,16.37492,0.96,0.966817,14928,5.182844,0
LegalBench-RAG,1200000,1200000,random,0.5,2,lethe-full-bypass,0.528777,0.992085,3.304276,15.564953,16.005219,0.96,0.971895,14185,5.331037,0
LegalBench-RAG,1200000,1200000,random,0.5,3,lethe-full-bypass,0.601863,0.995219,3.294731,15.351675,15.240642,0.96,0.977395,14893,5.279072,0
LegalBench-RAG,1200000,1200000,random,0.5,4,lethe-full-bypass,0.601917,0.99715,3.302955,15.929995,15.582211,0.96,0.976434,14466,5.340108,0
LegalBench-RAG,1200000,1200000,random,0.5,0,no-bypass,0.369249,0.909573,4.372409,15.870502,14.909477,0.88,0.838853,17905,6.938554,0
LegalBench-RAG,1200000,1200000,random,0.5,1,no-bypass,0.327244,0.901315,4.41491,16.095111,15.561487,0.88,0.857198,18777,7.034672,0
LegalBench-RAG,1200000,1200000,random,0.5,2,no-bypass,0.346104,0.908644,4.390301,15.685295,16.018248,0.88,0.84653,17367,7.117357,0
LegalBench-RAG,1200000,1200000,random,0.5,3,no-bypass,0.319133,0.902446,4.382674,15.161578,15.596346,0.88,0.850782,18444,7.221303,0
LegalBench-RAG,1200000,1200000,random,0.5,4,no-bypass,0.344537,0.90513,4.316456,16.407874,14.921648,0.88,0.858433,17788,7.179833,0
LegalBench-RAG,1200000,1200000,random,0.5,0,physical-delete-local-repair,0.440909,0.97114,3.721775,16.311521,15.972569,0.88,0.943395,16975,5.953169,0
LegalBench-RAG,1200000,1200000,random,0.5,1,physical-delete-local-repair,0.460541,0.971256,3.799099,16.642147,16.66954,0.88,0.937071,16108,5.854491,0
LegalBench-RAG,1200000,1200000,random,0.5,2,physical-delete-local-repair,0.482438,0.974126,3.731027,16.03781,15.877761,0.88,0.941013,16132,5.903725,0
LegalBench-RAG,1200000,1200000,random,0.5,3,physical-delete-local-repair,0.502463,0.96973,3.81467,15.781628,15.698922,0.88,0.938477,16306,5.865092,0
LegalBench-RAG,1200000,1200000,random,0.5,4,physical-delete-local-repair,0.501659,0.968537,3.781143,16.141669,16.713418,0.88,0.935227,17612,5.971061,0
LegalBench-RAG,1200000,1200000,hub,0.1,0,base-before-revocation,0.0,0.993548,3.181013,16.24362,16.054166,0.88,0.980509,13957,5.074231,0
LegalBench-RAG,1200000,1200000,hub,0.1,1,base-before-revocation,0.0,0.989472,3.27285,16.541161,15.275952,0.88,0.988319,13340,4.956751,0
LegalBench-RAG,1200000,1200000,hub,0.1,2,base-before-revocation,0.0,0.98975,3.207458,16.210161,14.585992,0.88,0.986835,13223,4.868297,0
LegalBench-RAG,1200000,1200000,hub,0.1,3,base-before-revocation,0.0,0.991416,3.207939,16.016024,15.436705,0.88,0.985179,14187,4.904862,0
LegalBench-RAG,1200000,1200000,hub,0.1,4,base-before-revocation,0.0,0.998032,3.140681,16.53047,15.850348,0.88,0.982164,13453,4.951687,0
LegalBench-RAG,1200000,1200000,hub,0.1,0,oracle-rebuild-authorized,1.0,0.997261,3.151419,15.902643,15.426328,0.96,0.986615,14063,5.306506,0
LegalBench-RAG,1200000,1200000,hub,0.1,1,oracle-rebuild-authorized,1.0,0.993449,3.144966,16.755275,16.029008,0.96,0.975862,14589,5.196652,0
LegalBench-RAG,1200000,1200000,hub,0.1,2,oracle-rebuild-authorized,1.0,0.99594,3.178046,16.42066,15.984764,0.96,0.979302,13841,5.187261,0
LegalBench-RAG,1200000,1200000,hub,0.1,3,oracle-rebuild-authorized,1.0,0.991223,3.192907,16.363339,16.076172,0.96,0.983192,14199,5.246923,0
LegalBench-RAG,1200000,1200000,hub,0.1,4,oracle-rebuild-authorized,1.0,0.992313,3.177536,15.590939,15.831781,0.96,0.980077,13877,5.149412,0
LegalBench-RAG,1200000,1200000,hub,0.1,0,lethe-pruned-bypass,0.554296,0.984926,3.391357,16.160492,15.539341,0.96,0.964763,15723,5.316967,0
LegalBench-RAG,1200000,1200000,hub,0.1,1,lethe-pruned-bypass,0.510573,0.98979,3.387697,15.610705,16.581242,0.96,0.970856,15104,5.6084,0
LegalBench-RAG,1200000,1200000,hub,0.1,2,lethe-pruned-bypass,0.520725,0.987122,3.419489,15.884025,16.084541,0.96,0.960101,15647,5.668922,0
LegalBench-RAG,1200000,1200000,hub,0.1,3,lethe-pruned-bypass,0.462685,0.994475,3.366911,15.83818,15.720657,0.96,0.969858,14970,5.342529,0
LegalBench-RAG,1200000,1200000,hub,0.1,4,lethe-pruned-bypass,0.583349,0.98576,3.362658,16.735481,16.123172,0.96,0.972246,15307,5.603794,0
LegalBench-RAG,1200000,1200000,hub,0.1,0,lethe-full-bypass,0.617789,0.994659,3.336088,16.120102,15.893513,0.96,0.986826,14045,5.292896,0
LegalBench-RAG,1200000,1200000,hub,0.1,1,lethe-full-bypass,0.649528,0.995045,3.252721,16.152372,16.384035,0.96,0.979758,14516,5.307942,0
LegalBench-RAG,1200000,1200000,hub,0.1,2,lethe-full-bypass,0.625592,0.995452,3.273772,16.469465,15.674831,0.96,0.979144,15038,5.436012,0
LegalBench-RAG,1200000,1200000,hub,0.1,3,lethe-full-bypass,0.670741,0.992258,3.399272,16.176688,16.288588,0.96,0.971132,14368,5.36896,0
LegalBench-RAG,1200000,1200000,hub,0.1,4,lethe-full-bypass,0.606864,0.997495,3.327261,16.168489,16.515204,0.96,0.976882,14120,5.545634,0
LegalBench-RAG,1200000,1200000,hub,0.1,0,no-bypass,0.357149,0.919717,4.228137,16.37522,16.275005,0.88,0.877537,17613,7.14478,0
LegalBench-RAG,1200000,1200000,hub,0.1,1,no-bypass,0.322444,0.922167,4.25529,15.512364,16.081732,0.88,0.877199,18388,7.297961,0
