dataset,N,N_indexed,method,pattern,target_type,frac,stress_mode,seed,topk,M,ef_construction,ef_search,revoked_target_nodes,affected_query_share,drift10,drift10_pct,recall10_vs_exact_topk,scored_leakage,routing_leakage_auc,source_role
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,500,0.668886,0.01282832,1.2828,0.977053,0.0,0.504411,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,500,0.715148,0.00911527,0.9115,0.982305,0.0,0.505535,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,500,0.633608,0.01065116,1.0651,0.976873,0.0,0.501294,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,500,0.643811,0.01153375,1.1534,0.978195,0.0,0.50254,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,500,0.633985,0.01079219,1.0792,0.978081,0.0,0.508389,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,500,0.654163,0.01023034,1.023,0.980359,0.0,0.506808,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,500,0.660999,0.01005995,1.006,0.976177,0.0,0.496724,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,500,0.660327,0.00930178,0.9302,0.979166,0.0,0.501453,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,500,0.671564,0.01020501,1.0205,0.978837,0.0,0.508859,hub_bridge_worstcase_reference_for_comparison
SIFT1M,1000000,1000000,Lethe,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,500,0.679357,0.01088223,1.0882,0.977701,0.0,0.502816,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,600,0.684104,0.22438978,22.439,0.918378,0.18966889,0.881089,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,600,0.657431,0.21436746,21.4367,0.916527,0.17190486,0.880254,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,600,0.68877,0.22273721,22.2737,0.914198,0.17184482,0.88085,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,600,0.682317,0.22803277,22.8033,0.918085,0.18004631,0.891442,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,600,0.673143,0.21724356,21.7244,0.923441,0.18219001,0.869475,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,600,0.729697,0.22463523,22.4635,0.92348,0.16381766,0.882286,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,600,0.706517,0.22462131,22.4621,0.916553,0.17646758,0.890039,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,600,0.73194,0.21767661,21.7677,0.925366,0.19665459,0.885803,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,600,0.657106,0.22195438,22.1954,0.923106,0.17644059,0.874148,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,600,0.689808,0.2219417,22.1942,0.920698,0.19854519,0.894471,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,600,0.706206,0.23932159,23.9322,0.921692,0.19766123,0.89068,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,600,0.692329,0.23114235,23.1142,0.917412,0.1830672,0.90697,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,600,0.726757,0.23188119,23.1881,0.920096,0.18896532,0.900404,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,600,0.613977,0.23800331,23.8003,0.917015,0.18120012,0.88848,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,600,0.66524,0.22970665,22.9707,0.923565,0.19808715,0.889393,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,600,0.719835,0.23332723,23.3327,0.917426,0.1832414,0.894008,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,600,0.728408,0.23698313,23.6983,0.918938,0.2053506,0.909691,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,600,0.712307,0.23235108,23.2351,0.91728,0.19797645,0.890866,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,600,0.690722,0.24667331,24.6673,0.917282,0.20046539,0.901888,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Tombstone,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,600,0.675263,0.23681015,23.681,0.920106,0.18776557,0.882352,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,600,0.717042,0.22690011,22.69,0.919367,0.19330594,0.899784,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,600,0.66474,0.21630988,21.631,0.922435,0.17052571,0.880346,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,600,0.668859,0.23389844,23.3898,0.914398,0.19853885,0.891944,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,600,0.664614,0.23151729,23.1517,0.917484,0.18511799,0.88689,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,600,0.685064,0.23727247,23.7272,0.912057,0.17996939,0.889148,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,600,0.657384,0.22566263,22.5663,0.919187,0.18167724,0.87257,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,600,0.698614,0.23965443,23.9654,0.919418,0.18736538,0.904506,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,600,0.710574,0.22623249,22.6232,0.918108,0.19894634,0.880947,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,600,0.702038,0.23054713,23.0547,0.921349,0.19674293,0.887434,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,600,0.649488,0.22880511,22.8805,0.928847,0.19115386,0.906299,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,600,0.686886,0.24282376,24.2824,0.923361,0.21964151,0.902318,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,600,0.629575,0.24005181,24.0052,0.9173,0.19624067,0.90224,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,600,0.699457,0.22924348,22.9243,0.921367,0.18645317,0.873705,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,600,0.651279,0.23804563,23.8046,0.921216,0.22008957,0.900522,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,600,0.68885,0.23104209,23.1042,0.920616,0.20388179,0.879316,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,5,10,16,200,20,600,0.692971,0.24284538,24.2845,0.914158,0.2011821,0.916816,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,6,10,16,200,20,600,0.675141,0.23962744,23.9627,0.919304,0.20138982,0.919521,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,7,10,16,200,20,600,0.712183,0.24982612,24.9826,0.915572,0.20086215,0.916636,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,8,10,16,200,20,600,0.73011,0.24251872,24.2519,0.916112,0.19686738,0.920403,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Post-filter,hub_bridge_worstcase,high_betweenness_bridge,0.5,strong_hub_bridge_frac0.5_reference,9,10,16,200,20,600,0.676172,0.23977557,23.9776,0.921113,0.16825446,0.901832,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,0,10,16,200,20,600,0.689535,0.00967371,0.9674,0.973934,0.0,0.498156,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,1,10,16,200,20,600,0.693467,0.01073318,1.0733,0.975446,0.0,0.509934,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,2,10,16,200,20,600,0.654084,0.01035094,1.0351,0.977043,0.0,0.5034,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,3,10,16,200,20,600,0.629472,0.01034016,1.034,0.978043,0.0,0.501818,hub_bridge_worstcase_reference_for_comparison
LegalBench-RAG,1200000,1200000,Lethe,hub_bridge_worstcase,high_degree_hub,0.5,strong_hub_bridge_frac0.5_reference,4,10,16,200,20,600,0.668491,0.01158586,1.1586,0.978783,0.0,0.501991,hub_bridge_worstcase_reference_for_comparison
