dataset,N,N_indexed,variant,pattern,frac,seed,score_frontier_expand_result_leakage,drift10_vs_oracle_rebuild,recall10_vs_exact_topk,recall10_vs_oracle,latency_mean_ms,latency_p95_ms,latency_p99_ms,overlay_edges,overlay_memory_bytes,revocation_time_ms,distance_computations,expanded_nodes
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,2,0.0,0.008474,0.972602,0.99043,8.586411,15.53268,21.148048,15120,1,0.097632,74271,17501
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,3,0.0,0.008537,0.976718,0.994621,8.26053,14.933831,21.389494,15120,1,0.12418,70004,16650
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,4,0.0,0.007752,0.976403,0.9943,8.362919,16.528665,21.884448,15120,1,0.112921,76753,16554
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,5,0.0,0.004752,0.979606,0.997562,8.447547,14.722529,20.779692,15120,1,0.107957,72989,16777
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,6,0.0,0.0072,0.974535,0.992398,8.425371,15.637499,21.191084,15120,1,0.122223,70529,17480
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,7,0.0,0.00698,0.976916,0.994823,8.397425,15.131424,19.036824,15120,1,0.105556,72230,17085
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,8,0.0,0.006444,0.974298,0.992156,8.347915,16.043864,22.195243,15120,1,0.120415,74965,17742
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.1,9,0.0,0.004676,0.974384,0.992244,8.359256,15.398493,20.68015,15120,1,0.103893,77017,17107
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,0,0.0,0.004595,0.977074,0.994984,9.66929,17.049602,25.09289,43680,1,0.181832,83322,19199
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,1,0.0,0.002586,0.977863,0.995787,9.521265,17.517274,23.206856,43680,1,0.146147,82302,19858
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,2,0.0,0.002893,0.979379,0.997331,9.571282,16.464206,23.897263,43680,1,0.154834,84509,19730
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,3,0.0,0.0,0.978142,0.996071,9.428884,18.380799,22.618564,43680,1,0.163916,77836,19703
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,4,0.0,0.000855,0.977341,0.995256,9.444243,18.088122,24.297113,43680,1,0.169048,82205,18253
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,5,0.0,0.005214,0.98123,0.999216,9.641848,17.60715,23.487438,43680,1,0.149198,84779,19309
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,6,0.0,0.002546,0.979003,0.996949,9.440345,17.214761,23.160591,43680,1,0.15973,81850,19814
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,7,0.0,0.002948,0.978936,0.99688,9.324497,16.937693,23.576488,43680,1,0.173912,83558,19103
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,8,0.0,0.002758,0.977916,0.995841,9.131559,16.851331,23.393217,43680,1,0.173049,80776,19197
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.1,9,0.0,0.004857,0.978583,0.99652,9.441313,17.976441,23.709921,43680,1,0.171414,84906,18037
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,0,0.0,0.012941,0.974513,0.992375,8.89577,16.151226,20.965616,21000,1,0.113729,74663,16685
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,1,0.0,0.009858,0.974792,0.99266,8.762,16.49401,21.016592,21000,1,0.123277,76692,17630
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,2,0.0,0.009594,0.973731,0.991579,8.699758,15.79514,21.482218,21000,1,0.104096,74012,17680
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,3,0.0,0.00935,0.973883,0.991734,9.019432,15.584018,21.504601,21000,1,0.118365,76784,17276
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,4,0.0,0.007215,0.973001,0.990836,8.290924,15.547806,22.906453,21000,1,0.121098,75374,17509
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,5,0.0,0.008952,0.972909,0.990742,8.876077,15.728187,22.356014,21000,1,0.122086,79834,16849
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,6,0.0,0.007302,0.968162,0.985908,8.947899,15.74537,23.29022,21000,1,0.108811,73475,18236
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,7,0.0,0.010234,0.972306,0.990128,8.751263,15.585972,22.639359,21000,1,0.121839,73832,17362
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,8,0.0,0.006552,0.973498,0.991342,8.636995,17.101609,22.411034,21000,1,0.115019,75314,17035
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.1,9,0.0,0.008995,0.976199,0.994092,8.773644,16.851754,22.497417,21000,1,0.123101,73356,17518
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,0,0.0,0.00195,0.977624,0.995544,9.33322,16.767535,22.145068,34440,1,0.152316,77369,18248
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,1,0.0,0.003964,0.977003,0.994911,9.302693,17.079634,23.904385,34440,1,0.157735,78241,19093
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,2,0.0,0.002553,0.977077,0.994987,9.342319,16.818649,22.332427,34440,1,0.131469,84227,18785
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,3,0.0,0.004549,0.979568,0.997524,9.511321,16.44485,24.15448,34440,1,0.13554,78576,19080
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,4,0.0,0.002247,0.979362,0.997313,9.18305,17.326284,22.623605,34440,1,0.1555,78289,18354
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,5,0.0,0.003624,0.978785,0.996726,9.255698,16.757423,25.868156,34440,1,0.158225,87475,18306
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,6,0.0,0.002654,0.978483,0.996418,9.194163,17.265626,25.32005,34440,1,0.140158,82593,18517
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,7,0.0,0.003017,0.979074,0.99702,9.4399,17.786782,25.209028,34440,1,0.151792,79002,18811
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,8,0.0,0.002839,0.978943,0.996887,9.129609,17.309079,23.947302,34440,1,0.147637,79302,19342
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.1,9,0.0,0.002445,0.977092,0.995002,9.245046,16.80979,23.317285,34440,1,0.155566,84639,18385
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,0,0.0,0.001466,0.980309,0.998278,9.719841,18.579127,24.952512,50400,1,0.176678,92448,19839
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,1,0.0,0.000334,0.979547,0.997502,10.134571,19.445854,23.30143,50400,1,0.180702,87915,20937
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,2,0.0,0.001476,0.981521,0.999512,10.111176,17.870247,24.893367,50400,1,0.182728,86885,19818
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,3,0.0,0.001681,0.977833,0.995757,9.973481,18.673414,26.760018,50400,1,0.19387,88592,20135
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,4,0.0,0.00223,0.981281,0.999268,10.139548,18.686257,26.482378,50400,1,0.191207,87076,19524
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,5,0.0,0.002861,0.980357,0.998327,10.092325,18.288508,23.534779,50400,1,0.177945,89612,19935
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,6,0.0,0.002388,0.980555,0.998529,10.135301,18.673844,24.729138,50400,1,0.162595,85967,19691
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,7,0.0,0.001225,0.978457,0.996392,9.874508,19.081363,27.609009,50400,1,0.186288,87257,20187
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,8,0.0,0.001114,0.980713,0.99869,9.951791,18.744615,25.352095,50400,1,0.181728,82917,19622
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.1,9,0.0,0.001654,0.980443,0.998415,9.841977,19.221249,26.168807,50400,1,0.17848,90341,20021
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,0,0.0,0.0,0.97939,0.997342,7.461311,13.972015,18.062382,0,0,0.062001,61091,14775
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,1,0.0,0.0,0.979304,0.997255,7.580602,13.731891,17.366124,0,0,0.083524,65572,15424
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,2,0.0,0.0,0.981984,0.999984,6.993193,14.019311,18.990722,0,0,0.080082,67005,15516
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,3,0.0,0.0,0.981027,0.999009,7.495345,13.521346,18.770446,0,0,0.070068,64511,15062
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,4,0.0,0.0,0.981646,0.999639,7.335717,13.534178,19.696377,0,0,0.076182,64582,14623
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,5,0.0,0.0,0.979576,0.997531,7.596186,13.248952,19.778192,0,0,0.082333,66968,14760
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,6,0.0,0.0,0.981431,0.999421,7.341957,14.02676,20.280083,0,0,0.071113,67627,14392
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,7,0.0,0.0,0.980646,0.998621,7.188332,13.652868,18.378729,0,0,0.082975,63644,15838
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,8,0.0,0.0,0.981694,0.999688,7.373819,14.339894,18.112862,0,0,0.093536,63134,15534
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.1,9,0.0,0.0,0.982449,1.0,7.325572,12.91218,19.557837,0,0,0.069568,61186,15548
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,0,0.0,0.063307,0.923702,0.940633,7.556253,13.854431,18.967339,0,0,0.077502,66616,15144
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,1,0.0,0.069432,0.923272,0.940195,7.309614,13.426605,17.564354,0,0,0.057614,64964,14592
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,2,0.0,0.065957,0.92274,0.939653,7.208761,12.960997,17.624349,0,0,0.082249,61771,15168
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,3,0.0,0.062525,0.923256,0.940179,7.015611,13.476943,19.857019,0,0,0.063363,59083,14172
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,4,0.0,0.054114,0.931918,0.949,7.611881,13.393016,19.680126,0,0,0.067405,61031,14457
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,5,0.0,0.062081,0.935391,0.952537,7.228109,13.509733,19.169516,0,0,0.091797,65719,14702
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,6,0.0,0.053653,0.920909,0.93779,7.365986,13.554114,18.051247,0,0,0.059199,66444,15123
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,7,0.0,0.060774,0.920269,0.937138,7.227043,14.049627,18.771444,0,0,0.094354,68347,14276
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,8,0.0,0.063985,0.927124,0.944119,7.344226,13.167243,17.586802,0,0,0.080533,61807,13774
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,9,0.0,0.066965,0.924156,0.941096,7.19162,14.593499,17.899896,0,0,0.074997,63166,14221
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,0,0.0,0.007139,0.976907,0.994813,8.504469,15.86803,21.767851,30240,1,0.149088,77537,17416
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,1,0.0,0.010584,0.973794,0.991644,8.415351,15.052406,20.952431,30240,1,0.151987,74899,16403
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,2,0.0,0.007839,0.973784,0.991634,8.417219,15.286465,22.65885,30240,1,0.128495,71253,17396
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,3,0.0,0.009905,0.976105,0.993997,8.151087,16.131472,22.654939,30240,1,0.157847,75993,17186
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,4,0.0,0.008789,0.976084,0.993975,8.654918,15.353869,19.125254,30240,1,0.137363,75046,16621
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,5,0.0,0.007779,0.978852,0.996795,8.351857,16.164955,21.705643,30240,1,0.117294,70930,17409
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,6,0.0,0.011103,0.976508,0.994407,8.490617,15.336362,20.438148,30240,1,0.146881,77591,17314
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,7,0.0,0.007294,0.976598,0.994499,8.500131,15.732088,22.380456,30240,1,0.144334,73947,17113
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,8,0.0,0.00588,0.976183,0.994076,8.457071,16.08258,21.4091,30240,1,0.126959,75267,16565
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.2,9,0.0,0.013285,0.977645,0.995565,8.280255,15.597716,21.624586,30240,1,0.148755,77326,16774
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,0,0.0,0.001134,0.97906,0.997006,9.449021,17.311317,23.329024,87360,1,0.266518,83420,19311
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,1,0.0,0.004399,0.978198,0.996128,9.303461,16.456241,25.517495,87360,1,0.249955,82452,17692
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,2,0.0,0.001936,0.977845,0.995769,9.396448,17.928204,25.623451,87360,1,0.248682,85714,19738
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,3,0.0,0.005519,0.981546,0.999537,9.703231,17.142653,24.233327,87360,1,0.255731,84148,18947
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,4,0.0,0.003165,0.979095,0.997042,9.43321,17.412443,24.22817,87360,1,0.243052,83888,19766
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,5,0.0,0.004728,0.97938,0.997332,9.784904,17.618884,24.708215,87360,1,0.241563,83448,18811
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,6,0.0,0.002046,0.977955,0.995881,9.277839,17.38047,23.3686,87360,1,0.271915,85634,19210
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,7,0.0,0.002404,0.975597,0.993479,9.389652,17.222267,25.037342,87360,1,0.253548,81147,20882
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,8,0.0,0.002152,0.977363,0.995278,9.495128,17.426175,24.943326,87360,1,0.252723,85801,18849
LegalBench-RAG,1200000,1200000,Lethe-full-unpruned-bypass,random,0.2,9,0.0,0.00408,0.978223,0.996154,9.263005,17.439471,22.272229,87360,1,0.253819,82633,19818
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,0,0.0,0.00792,0.971614,0.989424,8.40216,16.168019,23.281731,42000,1,0.172945,75497,18170
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,1,0.0,0.011053,0.970196,0.987979,9.166727,16.756317,20.547896,42000,1,0.177203,71007,18349
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,2,0.0,0.009775,0.971751,0.989563,8.778751,15.644113,20.675823,42000,1,0.172629,76315,17082
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,3,0.0,0.007745,0.979823,0.997783,8.781758,15.89437,21.804407,42000,1,0.149703,79568,17355
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,4,0.0,0.015457,0.973381,0.991223,8.753287,15.595043,22.690378,42000,1,0.158226,77689,17695
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,5,0.0,0.011128,0.973969,0.991822,8.971862,16.246961,21.40038,42000,1,0.178597,78276,17276
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,6,0.0,0.009404,0.97195,0.989766,8.81254,15.57172,21.950973,42000,1,0.153451,76176,17355
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,7,0.0,0.008606,0.973621,0.991467,8.446885,16.049545,21.407415,42000,1,0.163762,77304,17228
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,8,0.0,0.01284,0.972269,0.990091,8.63604,16.200925,21.446993,42000,1,0.159702,75302,17856
LegalBench-RAG,1200000,1200000,Lethe-per-role-overlay,random,0.2,9,0.0,0.010469,0.973693,0.99154,8.645288,16.198705,20.290799,42000,1,0.147713,74819,17561
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,0,0.0,0.004233,0.97859,0.996527,9.42679,16.217008,20.696464,68880,1,0.221149,82261,18954
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,1,0.0,0.003405,0.978196,0.996126,9.438505,16.126637,22.262366,68880,1,0.202491,79014,18473
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,2,0.0,0.004008,0.980117,0.998083,9.191877,17.45366,22.905922,68880,1,0.215068,83083,18327
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,3,0.0,0.003919,0.978687,0.996626,9.327853,17.567541,21.748523,68880,1,0.201882,81439,19261
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,4,0.0,0.003693,0.97825,0.996181,9.136433,17.037818,23.958218,68880,1,0.215915,81731,18985
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,5,0.0,0.001161,0.978192,0.996122,9.174927,16.798535,24.801354,68880,1,0.226495,82042,18229
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,6,0.0,0.00243,0.978409,0.996343,9.382545,16.941057,23.67919,68880,1,0.218074,80690,19225
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,7,0.0,0.005568,0.981757,0.999752,9.235764,17.916768,23.547212,68880,1,0.213641,83163,18945
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,8,0.0,0.003294,0.980237,0.998205,9.146303,17.168948,24.287951,68880,1,0.219361,78992,19269
LegalBench-RAG,1200000,1200000,Lethe-per-effective-view-overlay,random,0.2,9,0.0,0.00393,0.976978,0.994886,9.016606,16.730144,23.667545,68880,1,0.202449,79890,18539
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,0,0.0,0.001901,0.980173,0.99814,9.933167,18.955851,25.313516,100800,1,0.27866,85729,20788
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,1,0.0,0.001294,0.979785,0.997744,9.90406,18.630947,25.580142,100800,1,0.271013,85068,19615
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,2,0.0,0.002008,0.978972,0.996917,9.974361,18.619908,23.94348,100800,1,0.276458,86358,19456
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,3,0.0,0.00136,0.978679,0.996618,9.880494,18.964098,24.862331,100800,1,0.287988,88423,19775
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,4,0.0,0.003653,0.981698,0.999692,10.146394,18.126964,26.976601,100800,1,0.264212,88009,20082
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,5,0.0,0.002024,0.980438,0.998409,9.900298,18.946341,25.038118,100800,1,0.266001,82949,20718
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,6,0.0,0.000403,0.979442,0.997396,10.174096,17.753688,25.857768,100800,1,0.277194,86136,20209
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,7,0.0,0.002921,0.979845,0.997805,9.89037,18.210438,26.982198,100800,1,0.289416,89052,19661
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,8,0.0,0.002055,0.977608,0.995528,9.732823,18.194999,24.85319,100800,1,0.286107,86277,20242
LegalBench-RAG,1200000,1200000,Lethe-per-user-overlay,random,0.2,9,0.0,0.001037,0.979975,0.997938,10.038805,17.984382,25.801328,100800,1,0.28797,87083,18897
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,0,0.0,0.0,0.980061,0.998025,7.574293,14.08863,17.911146,0,0,0.072608,63548,15330
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,1,0.0,0.0,0.982158,1.0,7.551623,14.077465,18.431211,0,0,0.10054,67009,14301
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,2,0.0,0.0,0.980502,0.998475,7.29197,13.693069,17.594473,0,0,0.091686,64965,14824
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,3,0.0,0.0,0.984067,1.0,7.798031,14.434683,19.44503,0,0,0.08679,63798,14845
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,4,0.0,0.0,0.982453,1.0,7.580058,13.569139,18.318305,0,0,0.089592,64729,14704
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,5,0.0,0.0,0.984614,1.0,7.460215,13.980188,17.145921,0,0,0.071233,64595,15127
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,6,0.0,0.0,0.982963,1.0,7.324084,13.364499,18.776218,0,0,0.094619,64278,15170
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,7,0.0,0.0,0.983435,1.0,7.110508,13.73575,17.464911,0,0,0.073099,64638,14713
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,8,0.0,0.0,0.984495,1.0,7.427195,13.101555,18.58581,0,0,0.088293,63097,14470
LegalBench-RAG,1200000,1200000,Oracle-rebuild,random,0.2,9,0.0,0.0,0.981612,0.999605,7.531065,13.616679,18.8791,0,0,0.076406,66376,14997
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,0,0.0,0.071676,0.919681,0.936538,7.428188,13.761658,18.660264,0,0,0.086176,63999,14109
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,1,0.0,0.070814,0.922317,0.939223,7.277566,13.55592,17.922703,0,0,0.091078,62811,15250
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,2,0.0,0.07738,0.912527,0.929254,7.044384,14.119626,19.076181,0,0,0.083072,65509,15242
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,3,0.0,0.08253,0.926203,0.94318,7.174273,12.828584,20.353852,0,0,0.076105,60617,14543
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,4,0.0,0.075625,0.923124,0.940044,7.474285,13.135277,18.317837,0,0,0.090933,60765,14808
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,5,0.0,0.069523,0.922867,0.939783,7.13029,13.723045,18.169785,0,0,0.077194,61009,14890
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,6,0.0,0.080385,0.915103,0.931877,7.381129,13.060072,19.375434,0,0,0.083506,65918,15513
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,7,0.0,0.071753,0.918723,0.935563,7.777257,13.019421,19.162495,0,0,0.072969,62400,14575
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,8,0.0,0.064281,0.917519,0.934337,6.850286,12.938577,18.70596,0,0,0.086057,66242,14500
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,9,0.0,0.070089,0.927728,0.944734,7.196546,13.428175,18.224043,0,0,0.085278,62369,14693
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.3,0,0.0,0.010321,0.977145,0.995056,8.419261,15.845465,24.116868,45359,1,0.175946,71327,16376
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.3,1,0.0,0.006785,0.978071,0.995999,8.552708,15.129944,23.090255,45359,1,0.154645,74305,16360
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.3,2,0.0,0.012795,0.974926,0.992796,8.306591,14.935378,20.39131,45359,1,0.183262,71043,17196
LegalBench-RAG,1200000,1200000,Lethe-pruned-bypass,random,0.3,3,0.0,0.008883,0.975201,0.993076,8.375608,16.807778,21.288569,45359,1,0.151995,71062,17335
