dataset,N,N_indexed,method,revocations_per_s,batch_B,amortized_cost_s,compliance_window_s,seed,window_model,single_source_cost_experiment
LegalBench-RAG,1200000,1200000,Tombstone,98618.816,2500,0.0010208,5053.295681,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,97980.252,2500,0.00104462,5172.069486,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,98810.132,2500,0.00102929,5095.86023,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,101818.617,2500,0.00104199,5160.822066,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,100587.195,2500,0.00103943,5147.443612,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,100661.65,10000,0.00027273,5255.93456,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,102261.141,10000,0.00028008,5405.997062,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,97141.411,10000,0.00027395,5273.112591,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,97715.168,10000,0.00027221,5239.473187,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Tombstone,100594.007,10000,0.00027714,5344.039711,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93555.285,1,1.92905763,3858.093892,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96959.542,1,1.8894415,3778.862377,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,92829.539,1,1.92791281,3855.804073,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,92036.69,1,1.87265873,3745.295727,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93314.768,1,1.84895575,3697.890071,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,91607.36,2,0.97988664,3919.502903,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,90749.179,2,0.99908193,3996.283658,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,89982.093,2,0.97313794,3892.507304,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93533.69,2,0.9656551,3862.577642,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96021.634,2,0.99060225,3962.367353,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,92700.4,5,0.40668121,4066.704266,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96566.663,5,0.40829204,4082.816879,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93376.009,5,0.40663784,4066.271327,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,91325.545,5,0.40686346,4068.525143,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95251.804,5,0.39555876,3955.482654,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,91572.354,10,0.21214493,4242.680256,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,90245.034,10,0.20361034,4071.985178,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,90881.277,10,0.20923522,4184.484265,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,92477.081,10,0.20872241,4174.231968,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,97878.475,10,0.21249214,4249.638454,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93568.355,25,0.08859889,4429.41025,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,88828.455,25,0.08547348,4273.111081,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,92374.449,25,0.08670323,4334.620395,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,92613.028,25,0.08415042,4206.980963,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93516.631,25,0.08731524,4365.227261,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96523.067,100,0.02329863,4657.654254,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95475.031,100,0.02280121,4558.146918,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95913.846,100,0.02254442,4506.797935,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96906.789,100,0.02243173,4484.282513,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93088.178,100,0.02321919,4641.688649,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,94267.525,250,0.00949335,4741.372804,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93958.771,250,0.00920766,4598.50637,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96277.157,250,0.00946596,4727.786614,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,98009.82,250,0.00955673,4773.261646,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96569.095,250,0.00932159,4655.61922,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,97777.81,1000,0.00247984,4939.230528,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,94582.176,1000,0.00248898,4956.815975,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95221.186,1000,0.00245341,4885.817971,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95600.198,1000,0.00239482,4768.716423,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,98475.479,1000,0.00245318,4886.049223,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,92820.186,2500,0.00102186,5055.452181,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95892.715,2500,0.00105377,5216.714862,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96174.902,2500,0.00103313,5113.636896,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96145.407,2500,0.00101839,5039.961654,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,94794.805,2500,0.00101676,5031.049998,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,98522.703,10000,0.00027045,5205.95889,0,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95343.506,10000,0.00027351,5260.391495,1,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,93219.219,10000,0.00027486,5282.722128,2,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,96987.692,10000,0.00028439,5481.505801,3,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,Post-filter,95973.561,10000,0.00027308,5253.200895,4,long_offline_consolidation,True
LegalBench-RAG,1200000,1200000,SPFresh,16834.574,1,8.351e-05,0.048224,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,16804.327,1,8.372e-05,0.048424,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,16516.932,1,8.461e-05,0.048132,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17286.811,1,8.542e-05,0.05514,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,16930.217,1,8.401e-05,0.049886,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17571.23,2,6.993e-05,0.052079,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17033.081,2,7.044e-05,0.046908,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17765.654,2,6.819e-05,0.047622,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,16718.265,2,7.185e-05,0.048153,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17161.793,2,7.165e-05,0.053526,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,16625.993,5,6.523e-05,0.050858,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17353.121,5,6.245e-05,0.048274,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17489.563,5,6.197e-05,0.047962,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17963.39,5,6.057e-05,0.049034,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17849.833,5,6.111e-05,0.050877,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17525.794,10,5.963e-05,0.051364,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17090.103,10,6.093e-05,0.048369,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17881.03,10,5.866e-05,0.054752,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17795.936,10,5.889e-05,0.053955,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17151.068,10,6.082e-05,0.050358,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18081.454,25,5.635e-05,0.052014,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17719.859,25,5.743e-05,0.04987,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17892.201,25,5.691e-05,0.050978,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,17811.417,25,5.714e-05,0.049635,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18180.843,25,5.599e-05,0.049341,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18483.953,100,5.434e-05,0.048595,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19289.177,100,5.211e-05,0.053391,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18246.418,100,5.507e-05,0.052404,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18595.947,100,5.403e-05,0.050777,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18123.631,100,5.543e-05,0.051519,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18958.741,250,5.285e-05,0.052707,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19514.156,250,5.135e-05,0.052561,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18057.268,250,5.548e-05,0.052741,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18640.265,250,5.375e-05,0.052353,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18842.937,250,5.318e-05,0.053323,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19661.293,1000,5.089e-05,0.061284,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18812.785,1000,5.318e-05,0.057143,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19690.071,1000,5.082e-05,0.057141,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19607.466,1000,5.103e-05,0.06042,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19786.385,1000,5.057e-05,0.061985,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19185.764,2500,5.214e-05,0.077269,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,18326.959,2500,5.458e-05,0.077549,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19076.123,2500,5.244e-05,0.076179,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19260.16,2500,5.194e-05,0.073781,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,20409.652,2500,4.901e-05,0.066626,4,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,20232.779,10000,4.943e-05,0.143318,0,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19366.897,10000,5.164e-05,0.150278,1,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,20299.591,10000,4.927e-05,0.147471,2,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19493.062,10000,5.131e-05,0.144589,3,freshness_update,True
LegalBench-RAG,1200000,1200000,SPFresh,19906.786,10000,5.024e-05,0.153949,4,freshness_update,True
LegalBench-RAG,1200000,1200000,Physical-delete,2578.938,1,0.00041293,0.050356,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2370.942,1,0.00044494,0.046342,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2421.36,1,0.00043838,0.05077,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2454.487,1,0.00043076,0.046676,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2495.71,1,0.00042526,0.049148,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2457.009,2,0.00041982,0.051302,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2572.627,2,0.00040079,0.048328,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2409.132,2,0.00042787,0.051147,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2438.993,2,0.00042306,0.052224,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2669.021,2,0.00038784,0.052672,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2541.511,5,0.00039833,0.048648,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2503.312,5,0.00040461,0.051369,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2567.628,5,0.00039466,0.05199,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2685.188,5,0.00037735,0.049356,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2570.175,5,0.00039397,0.048934,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2560.282,10,0.00039302,0.048757,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2582.051,10,0.00038982,0.050525,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2705.71,10,0.00037206,0.04933,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2581.222,10,0.00039011,0.053884,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2565.367,10,0.00039224,0.048612,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2615.593,25,0.00038329,0.048331,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2573.362,25,0.00038959,0.049593,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2689.044,25,0.00037287,0.049564,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2728.266,25,0.00036751,0.048851,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2672.878,25,0.00037517,0.052288,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2704.678,100,0.00036999,0.051683,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2683.299,100,0.00037293,0.050456,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2653.022,100,0.00037719,0.051987,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2777.72,100,0.00036027,0.051656,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2789.882,100,0.0003587,0.05262,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2837.15,250,0.00035257,0.0517,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2790.932,250,0.0003584,0.050664,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2763.368,250,0.00036199,0.056914,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2775.715,250,0.00036037,0.050285,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2795.393,250,0.00035783,0.050706,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2876.092,1000,0.00034772,0.058101,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2958.215,1000,0.00033807,0.058985,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2826.774,1000,0.00035379,0.058725,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2856.06,1000,0.00035016,0.059148,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2837.251,1000,0.00035248,0.059749,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2950.196,2500,0.00033898,0.072759,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2939.149,2500,0.00034025,0.069987,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2932.115,2500,0.00034107,0.073426,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2924.333,2500,0.00034197,0.073164,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2947.981,2500,0.00033923,0.074719,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2944.641,10000,0.00033961,0.152659,0,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,3085.233,10000,0.00032413,0.13761,1,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,3038.588,10000,0.00032911,0.144599,2,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,3048.453,10000,0.00032804,0.149776,3,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Physical-delete,2893.808,10000,0.00034557,0.160137,4,immediate_global_delete,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,6863.388,1,0.01570559,31.11977,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7086.661,1,0.01460586,28.929507,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,6583.241,1,0.01531744,30.331077,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7128.721,1,0.01502018,29.759811,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,6934.35,1,0.01503258,29.776739,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7399.656,2,0.00788859,31.013813,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7876.696,2,0.00766033,30.133487,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7561.516,2,0.00807398,31.766917,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7573.415,2,0.00777458,30.570172,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7699.858,2,0.00769384,30.255888,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7557.815,5,0.00339386,32.61543,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7628.295,5,0.00330956,31.784668,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8029.697,5,0.00329616,31.716207,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7948.332,5,0.00337812,32.523037,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,7791.451,5,0.00339908,32.707377,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8426.673,10,0.00191085,35.843528,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8262.652,10,0.00189702,35.519958,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8260.492,10,0.00187721,35.123044,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8073.816,10,0.00189531,35.429009,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8745.5,10,0.00190266,35.766349,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8392.785,25,0.00099352,43.718556,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8726.552,25,0.0009969,44.115524,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8735.433,25,0.00101117,44.834626,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9142.716,25,0.00101248,45.155371,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,8975.069,25,0.00099296,44.077101,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9428.663,100,0.00056177,91.141535,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9254.617,100,0.00055275,88.939312,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9446.507,100,0.00053697,86.22208,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9395.271,100,0.00054347,87.406223,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9798.832,100,0.00055144,89.877467,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,10276.13,250,0.00045781,180.249271,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,10144.162,250,0.00047789,189.65548,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9680.727,250,0.00046926,182.981827,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,10024.225,250,0.00046333,181.786193,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,9957.585,250,0.00046927,184.421659,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,10945.78,1000,0.00041653,650.34323,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,11002.152,1000,0.00042029,658.799591,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,11592.523,1000,0.00041627,660.021858,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,11086.608,1000,0.00041935,658.300077,3,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,10750.798,1000,0.00040947,632.909284,4,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,11412.4,2500,0.00040799,1601.851898,0,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,11213.108,2500,0.00041493,1628.728109,1,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,11290.789,2500,0.00041871,1650.719456,2,scheduled_rebuild,True
LegalBench-RAG,1200000,1200000,Periodic-rebuild,11118.394,2500,0.00042092,1654.890758,3,scheduled_rebuild,True
