dataset,N,N_indexed,roles,users,shared_fraction,private_fraction,revocation_mix,target_pattern,seed,effective_view_class_count,overlay_size_bytes,memory_ratio_vs_shared,query_latency_ms,drift10,operational_leakage,revocation_throughput
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,cluster,1,100,284983296,1.0,8.1548,0.0114,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,cluster,2,100,284983296,1.0,8.1548,0.0114,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,bridge,0,100,325593415,1.0,8.1548,0.013452,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,bridge,1,100,325593415,1.0,8.1548,0.013452,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,per-user-heavy,bridge,2,100,325593415,1.0,8.1548,0.013452,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,random,0,100,252922675,1.0,8.1548,0.00978,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,random,1,100,252922675,1.0,8.1548,0.00978,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,random,2,100,252922675,1.0,8.1548,0.00978,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,hub,0,100,314906542,1.0,8.1548,0.012912,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,hub,1,100,314906542,1.0,8.1548,0.012912,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,hub,2,100,314906542,1.0,8.1548,0.012912,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,cluster,0,100,284983296,1.0,8.1548,0.0114,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,cluster,1,100,284983296,1.0,8.1548,0.0114,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,cluster,2,100,284983296,1.0,8.1548,0.0114,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,bridge,0,100,325593415,1.0,8.1548,0.013452,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,bridge,1,100,325593415,1.0,8.1548,0.013452,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.05,balanced,bridge,2,100,325593415,1.0,8.1548,0.013452,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,random,0,130,252922675,1.0,8.1992,0.00978,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,random,1,130,252922675,1.0,8.1992,0.00978,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,random,2,130,252922675,1.0,8.1992,0.00978,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,hub,0,130,314906542,1.0,8.1992,0.012912,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,hub,1,130,314906542,1.0,8.1992,0.012912,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,hub,2,130,314906542,1.0,8.1992,0.012912,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,cluster,0,130,284983296,1.0,8.1992,0.0114,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,cluster,1,130,284983296,1.0,8.1992,0.0114,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,cluster,2,130,284983296,1.0,8.1992,0.0114,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,bridge,0,130,325593415,1.0,8.1992,0.013452,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,bridge,1,130,325593415,1.0,8.1992,0.013452,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-role-heavy,bridge,2,130,325593415,1.0,8.1992,0.013452,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,random,0,130,252922675,1.0,8.1992,0.00978,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,random,1,130,252922675,1.0,8.1992,0.00978,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,random,2,130,252922675,1.0,8.1992,0.00978,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,hub,0,130,314906542,1.0,8.1992,0.012912,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,hub,1,130,314906542,1.0,8.1992,0.012912,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,hub,2,130,314906542,1.0,8.1992,0.012912,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,cluster,0,130,284983296,1.0,8.1992,0.0114,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,cluster,1,130,284983296,1.0,8.1992,0.0114,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,cluster,2,130,284983296,1.0,8.1992,0.0114,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,bridge,0,130,325593415,1.0,8.1992,0.013452,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,bridge,1,130,325593415,1.0,8.1992,0.013452,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,per-user-heavy,bridge,2,130,325593415,1.0,8.1992,0.013452,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,random,0,130,252922675,1.0,8.1992,0.00978,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,random,1,130,252922675,1.0,8.1992,0.00978,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,random,2,130,252922675,1.0,8.1992,0.00978,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,hub,0,130,314906542,1.0,8.1992,0.012912,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,hub,1,130,314906542,1.0,8.1992,0.012912,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,hub,2,130,314906542,1.0,8.1992,0.012912,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,cluster,0,130,284983296,1.0,8.1992,0.0114,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,cluster,1,130,284983296,1.0,8.1992,0.0114,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,cluster,2,130,284983296,1.0,8.1992,0.0114,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,bridge,0,130,325593415,1.0,8.1992,0.013452,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,bridge,1,130,325593415,1.0,8.1992,0.013452,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.2,balanced,bridge,2,130,325593415,1.0,8.1992,0.013452,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,random,0,190,252922675,1.0,8.288,0.00978,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,random,1,190,252922675,1.0,8.288,0.00978,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,random,2,190,252922675,1.0,8.288,0.00978,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,hub,0,190,314906542,1.0,8.288,0.012912,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,hub,1,190,314906542,1.0,8.288,0.012912,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,hub,2,190,314906542,1.0,8.288,0.012912,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,cluster,0,190,284983296,1.0,8.288,0.0114,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,cluster,1,190,284983296,1.0,8.288,0.0114,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,cluster,2,190,284983296,1.0,8.288,0.0114,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,bridge,0,190,325593415,1.0,8.288,0.013452,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,bridge,1,190,325593415,1.0,8.288,0.013452,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-role-heavy,bridge,2,190,325593415,1.0,8.288,0.013452,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,random,0,190,252922675,1.0,8.288,0.00978,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,random,1,190,252922675,1.0,8.288,0.00978,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,random,2,190,252922675,1.0,8.288,0.00978,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,hub,0,190,314906542,1.0,8.288,0.012912,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,hub,1,190,314906542,1.0,8.288,0.012912,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,hub,2,190,314906542,1.0,8.288,0.012912,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,cluster,0,190,284983296,1.0,8.288,0.0114,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,cluster,1,190,284983296,1.0,8.288,0.0114,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,cluster,2,190,284983296,1.0,8.288,0.0114,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,bridge,0,190,325593415,1.0,8.288,0.013452,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,bridge,1,190,325593415,1.0,8.288,0.013452,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,per-user-heavy,bridge,2,190,325593415,1.0,8.288,0.013452,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,random,0,190,252922675,1.0,8.288,0.00978,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,random,1,190,252922675,1.0,8.288,0.00978,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,random,2,190,252922675,1.0,8.288,0.00978,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,hub,0,190,314906542,1.0,8.288,0.012912,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,hub,1,190,314906542,1.0,8.288,0.012912,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,hub,2,190,314906542,1.0,8.288,0.012912,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,cluster,0,190,284983296,1.0,8.288,0.0114,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,cluster,1,190,284983296,1.0,8.288,0.0114,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,cluster,2,190,284983296,1.0,8.288,0.0114,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,bridge,0,190,325593415,1.0,8.288,0.013452,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,bridge,1,190,325593415,1.0,8.288,0.013452,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.2,0.5,balanced,bridge,2,190,325593415,1.0,8.288,0.013452,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,random,0,70,365134848,1.0,8.1548,0.00978,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,random,1,70,365134848,1.0,8.1548,0.00978,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,random,2,70,365134848,1.0,8.1548,0.00978,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,hub,0,70,520094515,1.0,8.1548,0.012912,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,hub,1,70,520094515,1.0,8.1548,0.012912,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,hub,2,70,520094515,1.0,8.1548,0.012912,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,cluster,0,70,445286400,1.0,8.1548,0.0114,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,cluster,1,70,445286400,1.0,8.1548,0.0114,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,cluster,2,70,445286400,1.0,8.1548,0.0114,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,bridge,0,70,546811699,1.0,8.1548,0.013452,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,bridge,1,70,546811699,1.0,8.1548,0.013452,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-role-heavy,bridge,2,70,546811699,1.0,8.1548,0.013452,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,random,0,70,365134848,1.0,8.1548,0.00978,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,random,1,70,365134848,1.0,8.1548,0.00978,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,random,2,70,365134848,1.0,8.1548,0.00978,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,hub,0,70,520094515,1.0,8.1548,0.012912,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,hub,1,70,520094515,1.0,8.1548,0.012912,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,hub,2,70,520094515,1.0,8.1548,0.012912,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,cluster,0,70,445286400,1.0,8.1548,0.0114,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,cluster,1,70,445286400,1.0,8.1548,0.0114,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,cluster,2,70,445286400,1.0,8.1548,0.0114,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,bridge,0,70,546811699,1.0,8.1548,0.013452,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,bridge,1,70,546811699,1.0,8.1548,0.013452,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,per-user-heavy,bridge,2,70,546811699,1.0,8.1548,0.013452,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,random,0,70,365134848,1.0,8.1548,0.00978,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,random,1,70,365134848,1.0,8.1548,0.00978,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,random,2,70,365134848,1.0,8.1548,0.00978,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,hub,0,70,520094515,1.0,8.1548,0.012912,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,hub,1,70,520094515,1.0,8.1548,0.012912,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,hub,2,70,520094515,1.0,8.1548,0.012912,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,cluster,0,70,445286400,1.0,8.1548,0.0114,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,cluster,1,70,445286400,1.0,8.1548,0.0114,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,cluster,2,70,445286400,1.0,8.1548,0.0114,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,bridge,0,70,546811699,1.0,8.1548,0.013452,0.0,48166.925
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,bridge,1,70,546811699,1.0,8.1548,0.013452,0.0,49823.242
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.05,balanced,bridge,2,70,546811699,1.0,8.1548,0.013452,0.0,50844.764
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,random,0,100,365134848,1.0,8.1992,0.00978,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,random,1,100,365134848,1.0,8.1992,0.00978,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,random,2,100,365134848,1.0,8.1992,0.00978,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,hub,0,100,520094515,1.0,8.1992,0.012912,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,hub,1,100,520094515,1.0,8.1992,0.012912,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,hub,2,100,520094515,1.0,8.1992,0.012912,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,cluster,0,100,445286400,1.0,8.1992,0.0114,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,cluster,1,100,445286400,1.0,8.1992,0.0114,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,cluster,2,100,445286400,1.0,8.1992,0.0114,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,bridge,0,100,546811699,1.0,8.1992,0.013452,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,bridge,1,100,546811699,1.0,8.1992,0.013452,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-role-heavy,bridge,2,100,546811699,1.0,8.1992,0.013452,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,random,0,100,365134848,1.0,8.1992,0.00978,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,random,1,100,365134848,1.0,8.1992,0.00978,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,random,2,100,365134848,1.0,8.1992,0.00978,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,hub,0,100,520094515,1.0,8.1992,0.012912,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,hub,1,100,520094515,1.0,8.1992,0.012912,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,hub,2,100,520094515,1.0,8.1992,0.012912,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,cluster,0,100,445286400,1.0,8.1992,0.0114,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,cluster,1,100,445286400,1.0,8.1992,0.0114,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,cluster,2,100,445286400,1.0,8.1992,0.0114,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,bridge,0,100,546811699,1.0,8.1992,0.013452,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,bridge,1,100,546811699,1.0,8.1992,0.013452,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,per-user-heavy,bridge,2,100,546811699,1.0,8.1992,0.013452,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,random,0,100,365134848,1.0,8.1992,0.00978,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,random,1,100,365134848,1.0,8.1992,0.00978,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,random,2,100,365134848,1.0,8.1992,0.00978,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,hub,0,100,520094515,1.0,8.1992,0.012912,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,hub,1,100,520094515,1.0,8.1992,0.012912,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,hub,2,100,520094515,1.0,8.1992,0.012912,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,cluster,0,100,445286400,1.0,8.1992,0.0114,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,cluster,1,100,445286400,1.0,8.1992,0.0114,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,cluster,2,100,445286400,1.0,8.1992,0.0114,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,bridge,0,100,546811699,1.0,8.1992,0.013452,0.0,46822.325
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,bridge,1,100,546811699,1.0,8.1992,0.013452,0.0,47298.14
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.2,balanced,bridge,2,100,546811699,1.0,8.1992,0.013452,0.0,44213.386
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,random,0,160,365134848,1.0,8.288,0.00978,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,random,1,160,365134848,1.0,8.288,0.00978,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,random,2,160,365134848,1.0,8.288,0.00978,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,hub,0,160,520094515,1.0,8.288,0.012912,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,hub,1,160,520094515,1.0,8.288,0.012912,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,hub,2,160,520094515,1.0,8.288,0.012912,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,cluster,0,160,445286400,1.0,8.288,0.0114,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,cluster,1,160,445286400,1.0,8.288,0.0114,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,cluster,2,160,445286400,1.0,8.288,0.0114,0.0,39973.594
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,bridge,0,160,546811699,1.0,8.288,0.013452,0.0,44348.309
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,bridge,1,160,546811699,1.0,8.288,0.013452,0.0,42235.112
LegalBench-RAG,1200000,1200000,10,1000,0.5,0.5,per-role-heavy,bridge,2,160,546811699,1.0,8.288,0.013452,0.0,39973.594
