dataset,N,N_indexed,exception_rate,users,roles,predicate_implementation,seed,predicate_lookup_latency_ns,query_latency_overhead_pct,memory_ratio_vs_shared,effective_view_class_count,overlay_count,drift10,operational_leakage,revocation_throughput
LegalBench-RAG,1200000,1200000,0.0,1000,100,short_sorted_vector,3,52.834909,0.362769,1.0,101,100,0.006138,0.0,41704.794
LegalBench-RAG,1200000,1200000,0.0,1000,100,short_sorted_vector,4,47.48941,0.490063,1.0,94,100,0.008714,0.0,39434.429
LegalBench-RAG,1200000,1200000,0.0,1000,100,hash_set,0,31.536701,0.790717,1.0,100,100,0.00649,0.0,39439.448
LegalBench-RAG,1200000,1200000,0.0,1000,100,hash_set,1,44.57473,0.318461,1.0,99,100,0.006341,0.0,43336.888
LegalBench-RAG,1200000,1200000,0.0,1000,100,hash_set,2,37.678455,0.113197,1.0,102,100,0.004739,0.0,39493.478
LegalBench-RAG,1200000,1200000,0.0,1000,100,hash_set,3,41.314119,0.408849,1.0,99,100,0.001073,0.0,40720.238
LegalBench-RAG,1200000,1200000,0.0,1000,100,hash_set,4,39.293698,0.390912,1.0,100,100,0.006809,0.0,39804.897
LegalBench-RAG,1200000,1200000,0.0,1000,100,roaring_bitmap,0,37.249264,0.523812,1.0,100,100,0.004451,0.0,43396.47
LegalBench-RAG,1200000,1200000,0.0,1000,100,roaring_bitmap,1,32.917388,0.467993,1.0,100,100,0.003902,0.0,40734.929
LegalBench-RAG,1200000,1200000,0.0,1000,100,roaring_bitmap,2,38.242959,0.373937,1.0,101,100,0.008945,0.0,41921.172
LegalBench-RAG,1200000,1200000,0.0,1000,100,roaring_bitmap,3,38.358846,0.188027,1.0,100,100,0.007443,0.0,37532.718
LegalBench-RAG,1200000,1200000,0.0,1000,100,roaring_bitmap,4,35.6864,0.187498,1.0,102,100,0.004943,0.0,40175.168
LegalBench-RAG,1200000,1200000,0.0,1000,100,role_bitset,0,29.386947,0.266384,1.0,98,100,0.006829,0.0,41889.026
LegalBench-RAG,1200000,1200000,0.0,1000,100,role_bitset,1,31.340443,0.336855,1.0,100,100,0.004092,0.0,42579.55
LegalBench-RAG,1200000,1200000,0.0,1000,100,role_bitset,2,31.229263,0.159936,1.0,106,100,0.005524,0.0,42119.237
LegalBench-RAG,1200000,1200000,0.0,1000,100,role_bitset,3,33.262227,0.150665,1.0,102,100,0.008826,0.0,41945.631
LegalBench-RAG,1200000,1200000,0.0,1000,100,role_bitset,4,28.996766,0.34807,1.0,103,100,0.003211,0.0,40983.29
LegalBench-RAG,1200000,1200000,0.0,1000,100,effective_view_id,0,26.993631,0.520184,1.0,97,100,0.004951,0.0,42191.069
LegalBench-RAG,1200000,1200000,0.0,1000,100,effective_view_id,1,24.888608,0.650954,1.0,101,100,0.005367,0.0,42758.87
LegalBench-RAG,1200000,1200000,0.0,1000,100,effective_view_id,2,22.399562,0.556769,1.0,94,100,0.007849,0.0,41444.375
LegalBench-RAG,1200000,1200000,0.0,1000,100,effective_view_id,3,29.074676,0.697829,1.0,97,100,0.007287,0.0,42705.062
LegalBench-RAG,1200000,1200000,0.0,1000,100,effective_view_id,4,26.938206,0.501889,1.0,99,100,0.00531,0.0,42617.666
LegalBench-RAG,1200000,1200000,0.0,1000,500,short_sorted_vector,0,44.442844,0.572946,1.0,475,500,0.00593,0.0,37016.519
LegalBench-RAG,1200000,1200000,0.0,1000,500,short_sorted_vector,1,44.032792,0.535403,1.0,494,500,0.00743,0.0,42288.359
LegalBench-RAG,1200000,1200000,0.0,1000,500,short_sorted_vector,2,50.630302,0.498925,1.0,505,500,0.006465,0.0,38090.001
LegalBench-RAG,1200000,1200000,0.0,1000,500,short_sorted_vector,3,44.405951,0.396106,1.0,495,500,0.007136,0.0,40783.228
LegalBench-RAG,1200000,1200000,0.0,1000,500,short_sorted_vector,4,49.729195,0.576068,1.0,469,500,0.002343,0.0,40281.084
LegalBench-RAG,1200000,1200000,0.0,1000,500,hash_set,0,38.905643,0.530102,1.0,504,500,0.006283,0.0,40098.924
LegalBench-RAG,1200000,1200000,0.0,1000,500,hash_set,1,43.397973,0.302183,1.0,519,500,0.004511,0.0,41201.773
LegalBench-RAG,1200000,1200000,0.0,1000,500,hash_set,2,36.019462,0.18826,1.0,491,500,0.005218,0.0,43776.663
LegalBench-RAG,1200000,1200000,0.0,1000,500,hash_set,3,39.488062,0.550531,1.0,501,500,0.007541,0.0,42493.603
LegalBench-RAG,1200000,1200000,0.0,1000,500,hash_set,4,37.088279,0.387192,1.0,477,500,0.00577,0.0,39518.429
LegalBench-RAG,1200000,1200000,0.0,1000,500,roaring_bitmap,0,35.235843,0.589239,1.0,495,500,0.00487,0.0,42227.567
LegalBench-RAG,1200000,1200000,0.0,1000,500,roaring_bitmap,1,32.862613,0.190539,1.0,487,500,0.006601,0.0,41638.297
LegalBench-RAG,1200000,1200000,0.0,1000,500,roaring_bitmap,2,37.008202,0.712044,1.0,498,500,0.006697,0.0,40472.091
LegalBench-RAG,1200000,1200000,0.0,1000,500,roaring_bitmap,3,37.759252,0.466339,1.0,505,500,0.011124,0.0,43376.723
LegalBench-RAG,1200000,1200000,0.0,1000,500,roaring_bitmap,4,37.993843,0.757491,1.0,512,500,0.008657,0.0,43270.485
LegalBench-RAG,1200000,1200000,0.0,1000,500,role_bitset,0,35.149498,0.028051,1.0,500,500,0.002363,0.0,39175.317
LegalBench-RAG,1200000,1200000,0.0,1000,500,role_bitset,1,28.667306,0.446572,1.0,487,500,0.006775,0.0,38706.129
LegalBench-RAG,1200000,1200000,0.0,1000,500,role_bitset,2,30.574752,0.229097,1.0,517,500,0.006692,0.0,42067.945
LegalBench-RAG,1200000,1200000,0.0,1000,500,role_bitset,3,27.860832,0.257408,1.0,500,500,0.006135,0.0,40870.358
LegalBench-RAG,1200000,1200000,0.0,1000,500,role_bitset,4,23.972239,0.462065,1.0,499,500,0.00821,0.0,40080.825
LegalBench-RAG,1200000,1200000,0.0,1000,500,effective_view_id,0,28.342134,0.137779,1.0,526,500,0.005334,0.0,40981.859
LegalBench-RAG,1200000,1200000,0.0,1000,500,effective_view_id,1,27.22307,0.144815,1.0,513,500,0.006221,0.0,41406.096
LegalBench-RAG,1200000,1200000,0.0,1000,500,effective_view_id,2,26.283743,0.843601,1.0,502,500,0.006362,0.0,41483.054
LegalBench-RAG,1200000,1200000,0.0,1000,500,effective_view_id,3,24.726098,0.24927,1.0,479,500,0.00427,0.0,39604.517
LegalBench-RAG,1200000,1200000,0.0,1000,500,effective_view_id,4,27.47809,0.398494,1.0,516,500,0.00494,0.0,41062.646
LegalBench-RAG,1200000,1200000,0.0,10000,10,short_sorted_vector,0,48.821886,0.349096,1.0,9,10,0.004751,0.0,36996.678
LegalBench-RAG,1200000,1200000,0.0,10000,10,short_sorted_vector,1,50.309992,0.052602,1.0,10,10,0.006086,0.0,39346.335
LegalBench-RAG,1200000,1200000,0.0,10000,10,short_sorted_vector,2,47.521358,0.393822,1.0,10,10,0.00534,0.0,39898.015
LegalBench-RAG,1200000,1200000,0.0,10000,10,short_sorted_vector,3,52.187785,0.351533,1.0,9,10,0.002781,0.0,43636.241
LegalBench-RAG,1200000,1200000,0.0,10000,10,short_sorted_vector,4,46.180158,0.687827,1.0,10,10,0.006143,0.0,42197.378
LegalBench-RAG,1200000,1200000,0.0,10000,10,hash_set,0,39.653413,0.49285,1.0,10,10,0.007533,0.0,39135.166
LegalBench-RAG,1200000,1200000,0.0,10000,10,hash_set,1,36.319937,0.560364,1.0,10,10,0.006122,0.0,42315.892
LegalBench-RAG,1200000,1200000,0.0,10000,10,hash_set,2,39.574426,0.488006,1.0,10,10,0.0079,0.0,44127.348
LegalBench-RAG,1200000,1200000,0.0,10000,10,hash_set,3,36.463843,0.0,1.0,9,10,0.007061,0.0,38831.45
LegalBench-RAG,1200000,1200000,0.0,10000,10,hash_set,4,40.027916,0.755498,1.0,9,10,0.005342,0.0,43416.519
LegalBench-RAG,1200000,1200000,0.0,10000,10,roaring_bitmap,0,42.814016,0.574884,1.0,9,10,0.007653,0.0,40311.046
LegalBench-RAG,1200000,1200000,0.0,10000,10,roaring_bitmap,1,35.231442,0.581732,1.0,9,10,0.009699,0.0,40419.13
LegalBench-RAG,1200000,1200000,0.0,10000,10,roaring_bitmap,2,36.65527,0.368464,1.0,9,10,0.003495,0.0,41828.382
LegalBench-RAG,1200000,1200000,0.0,10000,10,roaring_bitmap,3,37.990896,0.381836,1.0,10,10,0.007496,0.0,39516.06
LegalBench-RAG,1200000,1200000,0.0,10000,10,roaring_bitmap,4,38.071229,0.572474,1.0,10,10,0.005099,0.0,43789.576
LegalBench-RAG,1200000,1200000,0.0,10000,10,role_bitset,0,28.644892,0.612373,1.0,10,10,0.007612,0.0,38206.659
LegalBench-RAG,1200000,1200000,0.0,10000,10,role_bitset,1,37.363026,0.457203,1.0,10,10,0.008655,0.0,42619.582
LegalBench-RAG,1200000,1200000,0.0,10000,10,role_bitset,2,34.725058,0.448251,1.0,10,10,0.007554,0.0,43180.242
LegalBench-RAG,1200000,1200000,0.0,10000,10,role_bitset,3,30.556951,0.135629,1.0,10,10,0.006914,0.0,41898.856
LegalBench-RAG,1200000,1200000,0.0,10000,10,role_bitset,4,27.813343,0.536945,1.0,9,10,0.007568,0.0,40285.136
LegalBench-RAG,1200000,1200000,0.0,10000,10,effective_view_id,0,24.290634,0.474276,1.0,10,10,0.003847,0.0,43717.552
LegalBench-RAG,1200000,1200000,0.0,10000,10,effective_view_id,1,24.860065,0.007558,1.0,10,10,0.006357,0.0,39356.237
LegalBench-RAG,1200000,1200000,0.0,10000,10,effective_view_id,2,29.88472,0.723864,1.0,10,10,0.006195,0.0,41566.004
LegalBench-RAG,1200000,1200000,0.0,10000,10,effective_view_id,3,25.08868,0.405012,1.0,9,10,0.005122,0.0,41841.404
LegalBench-RAG,1200000,1200000,0.0,10000,10,effective_view_id,4,28.903586,0.352829,1.0,9,10,0.007646,0.0,40548.55
LegalBench-RAG,1200000,1200000,0.0,10000,50,short_sorted_vector,0,51.79441,0.483913,1.0,51,50,0.005908,0.0,44055.314
LegalBench-RAG,1200000,1200000,0.0,10000,50,short_sorted_vector,1,51.61721,0.349052,1.0,50,50,0.004892,0.0,40520.476
LegalBench-RAG,1200000,1200000,0.0,10000,50,short_sorted_vector,2,54.285471,0.769975,1.0,49,50,0.007082,0.0,40359.783
LegalBench-RAG,1200000,1200000,0.0,10000,50,short_sorted_vector,3,44.805474,0.275724,1.0,49,50,0.004943,0.0,39357.117
LegalBench-RAG,1200000,1200000,0.0,10000,50,short_sorted_vector,4,53.330599,0.309395,1.0,50,50,0.005927,0.0,40280.718
LegalBench-RAG,1200000,1200000,0.0,10000,50,hash_set,0,42.246972,0.429757,1.0,51,50,0.006356,0.0,42775.55
LegalBench-RAG,1200000,1200000,0.0,10000,50,hash_set,1,43.145477,0.189178,1.0,50,50,0.00778,0.0,42008.026
LegalBench-RAG,1200000,1200000,0.0,10000,50,hash_set,2,41.38616,0.405556,1.0,51,50,0.006419,0.0,41635.462
LegalBench-RAG,1200000,1200000,0.0,10000,50,hash_set,3,41.533259,0.406524,1.0,50,50,0.009128,0.0,39744.298
LegalBench-RAG,1200000,1200000,0.0,10000,50,hash_set,4,42.561762,0.445843,1.0,50,50,0.005266,0.0,39998.207
LegalBench-RAG,1200000,1200000,0.0,10000,50,roaring_bitmap,0,32.355079,0.441458,1.0,50,50,0.006968,0.0,42894.129
LegalBench-RAG,1200000,1200000,0.0,10000,50,roaring_bitmap,1,37.724674,0.079903,1.0,49,50,0.007174,0.0,41029.048
LegalBench-RAG,1200000,1200000,0.0,10000,50,roaring_bitmap,2,39.411226,0.527866,1.0,50,50,0.003262,0.0,39998.731
LegalBench-RAG,1200000,1200000,0.0,10000,50,roaring_bitmap,3,42.210575,0.372043,1.0,49,50,0.006956,0.0,43458.84
LegalBench-RAG,1200000,1200000,0.0,10000,50,roaring_bitmap,4,34.419788,0.32911,1.0,49,50,0.007164,0.0,38724.892
LegalBench-RAG,1200000,1200000,0.0,10000,50,role_bitset,0,26.012595,0.641759,1.0,49,50,0.002639,0.0,39773.659
LegalBench-RAG,1200000,1200000,0.0,10000,50,role_bitset,1,28.352904,0.440124,1.0,49,50,0.00536,0.0,43475.958
LegalBench-RAG,1200000,1200000,0.0,10000,50,role_bitset,2,31.661114,0.249306,1.0,48,50,0.005523,0.0,38523.046
LegalBench-RAG,1200000,1200000,0.0,10000,50,role_bitset,3,30.003528,0.431068,1.0,51,50,0.003879,0.0,40816.644
LegalBench-RAG,1200000,1200000,0.0,10000,50,role_bitset,4,28.4359,0.445156,1.0,49,50,0.005246,0.0,45070.99
LegalBench-RAG,1200000,1200000,0.0,10000,50,effective_view_id,0,24.278052,0.700502,1.0,50,50,0.003165,0.0,39689.622
LegalBench-RAG,1200000,1200000,0.0,10000,50,effective_view_id,1,27.880018,0.411323,1.0,53,50,0.007124,0.0,40905.444
LegalBench-RAG,1200000,1200000,0.0,10000,50,effective_view_id,2,29.203007,0.042461,1.0,48,50,0.00634,0.0,43036.19
LegalBench-RAG,1200000,1200000,0.0,10000,50,effective_view_id,3,26.739882,0.412106,1.0,49,50,0.007856,0.0,41352.216
LegalBench-RAG,1200000,1200000,0.0,10000,50,effective_view_id,4,24.96898,0.366525,1.0,49,50,0.00739,0.0,41370.221
LegalBench-RAG,1200000,1200000,0.0,10000,100,short_sorted_vector,0,46.806851,0.401355,1.0,94,100,0.004903,0.0,39985.873
LegalBench-RAG,1200000,1200000,0.0,10000,100,short_sorted_vector,1,51.149465,0.254119,1.0,99,100,0.003298,0.0,36585.232
LegalBench-RAG,1200000,1200000,0.0,10000,100,short_sorted_vector,2,51.771634,0.187033,1.0,104,100,0.006989,0.0,38645.624
LegalBench-RAG,1200000,1200000,0.0,10000,100,short_sorted_vector,3,49.935855,0.464689,1.0,103,100,0.007121,0.0,41660.85
LegalBench-RAG,1200000,1200000,0.0,10000,100,short_sorted_vector,4,52.893069,0.118298,1.0,102,100,0.006039,0.0,38027.081
LegalBench-RAG,1200000,1200000,0.0,10000,100,hash_set,0,36.589506,0.326766,1.0,101,100,0.006208,0.0,36234.964
LegalBench-RAG,1200000,1200000,0.0,10000,100,hash_set,1,41.333977,0.070521,1.0,100,100,0.003711,0.0,43015.95
LegalBench-RAG,1200000,1200000,0.0,10000,100,hash_set,2,42.875371,0.270842,1.0,107,100,0.005447,0.0,39848.164
LegalBench-RAG,1200000,1200000,0.0,10000,100,hash_set,3,39.018953,0.555143,1.0,104,100,0.00682,0.0,38963.0
LegalBench-RAG,1200000,1200000,0.0,10000,100,hash_set,4,42.033414,0.536074,1.0,99,100,0.006356,0.0,42597.679
LegalBench-RAG,1200000,1200000,0.0,10000,100,roaring_bitmap,0,38.87441,0.30397,1.0,102,100,0.007262,0.0,40056.701
LegalBench-RAG,1200000,1200000,0.0,10000,100,roaring_bitmap,1,33.373587,0.558488,1.0,104,100,0.00588,0.0,39309.039
LegalBench-RAG,1200000,1200000,0.0,10000,100,roaring_bitmap,2,35.244956,0.695347,1.0,101,100,0.003926,0.0,39350.361
LegalBench-RAG,1200000,1200000,0.0,10000,100,roaring_bitmap,3,29.667611,0.283913,1.0,96,100,0.003529,0.0,40028.009
LegalBench-RAG,1200000,1200000,0.0,10000,100,roaring_bitmap,4,31.732117,0.52505,1.0,96,100,0.005587,0.0,42024.333
LegalBench-RAG,1200000,1200000,0.0,10000,100,role_bitset,0,28.401391,0.619009,1.0,104,100,0.006232,0.0,43026.99
LegalBench-RAG,1200000,1200000,0.0,10000,100,role_bitset,1,30.296487,0.532964,1.0,103,100,0.004008,0.0,41307.428
LegalBench-RAG,1200000,1200000,0.0,10000,100,role_bitset,2,31.56575,0.374677,1.0,99,100,0.003975,0.0,42342.949
LegalBench-RAG,1200000,1200000,0.0,10000,100,role_bitset,3,28.337381,0.283673,1.0,103,100,0.003428,0.0,43426.998
LegalBench-RAG,1200000,1200000,0.0,10000,100,role_bitset,4,29.320629,0.62471,1.0,98,100,0.005042,0.0,41629.059
LegalBench-RAG,1200000,1200000,0.0,10000,100,effective_view_id,0,26.347008,0.446675,1.0,98,100,0.005274,0.0,42132.194
LegalBench-RAG,1200000,1200000,0.0,10000,100,effective_view_id,1,31.22439,0.472234,1.0,96,100,0.005882,0.0,39677.785
LegalBench-RAG,1200000,1200000,0.0,10000,100,effective_view_id,2,27.980362,0.824914,1.0,98,100,0.006331,0.0,41553.402
LegalBench-RAG,1200000,1200000,0.0,10000,100,effective_view_id,3,20.0,0.202858,1.0,100,100,0.004493,0.0,42016.044
LegalBench-RAG,1200000,1200000,0.0,10000,100,effective_view_id,4,26.443283,0.534801,1.0,108,100,0.002607,0.0,42134.244
LegalBench-RAG,1200000,1200000,0.0,10000,500,short_sorted_vector,0,46.992932,0.474168,1.0,496,500,0.00474,0.0,38712.03
LegalBench-RAG,1200000,1200000,0.0,10000,500,short_sorted_vector,1,47.2751,0.418856,1.0,485,500,0.005855,0.0,40296.399
LegalBench-RAG,1200000,1200000,0.0,10000,500,short_sorted_vector,2,49.901196,0.488316,1.0,487,500,0.006845,0.0,40990.223
LegalBench-RAG,1200000,1200000,0.0,10000,500,short_sorted_vector,3,49.571175,0.354589,1.0,485,500,0.008146,0.0,42284.241
LegalBench-RAG,1200000,1200000,0.0,10000,500,short_sorted_vector,4,45.656475,0.482982,1.0,489,500,0.005498,0.0,40373.865
LegalBench-RAG,1200000,1200000,0.0,10000,500,hash_set,0,43.195291,0.541205,1.0,500,500,0.005279,0.0,39980.082
LegalBench-RAG,1200000,1200000,0.0,10000,500,hash_set,1,44.106133,0.21112,1.0,509,500,0.004622,0.0,40697.933
LegalBench-RAG,1200000,1200000,0.0,10000,500,hash_set,2,40.558566,0.248393,1.0,513,500,0.006303,0.0,41206.139
LegalBench-RAG,1200000,1200000,0.0,10000,500,hash_set,3,37.704206,0.667439,1.0,497,500,0.008197,0.0,41102.281
LegalBench-RAG,1200000,1200000,0.0,10000,500,hash_set,4,47.216775,0.44736,1.0,507,500,0.00687,0.0,44658.855
LegalBench-RAG,1200000,1200000,0.0,10000,500,roaring_bitmap,0,31.296366,0.376331,1.0,479,500,0.009075,0.0,42588.338
LegalBench-RAG,1200000,1200000,0.0,10000,500,roaring_bitmap,1,40.554319,0.091341,1.0,496,500,0.005853,0.0,43740.245
LegalBench-RAG,1200000,1200000,0.0,10000,500,roaring_bitmap,2,37.184785,0.365908,1.0,483,500,0.005813,0.0,41473.314
LegalBench-RAG,1200000,1200000,0.0,10000,500,roaring_bitmap,3,29.262642,0.48133,1.0,498,500,0.004203,0.0,39832.657
LegalBench-RAG,1200000,1200000,0.0,10000,500,roaring_bitmap,4,36.298137,0.68645,1.0,475,500,0.005813,0.0,39303.822
LegalBench-RAG,1200000,1200000,0.0,10000,500,role_bitset,0,31.470244,0.534017,1.0,534,500,0.007411,0.0,40341.232
LegalBench-RAG,1200000,1200000,0.0,10000,500,role_bitset,1,31.500114,0.510297,1.0,504,500,0.005915,0.0,41109.433
LegalBench-RAG,1200000,1200000,0.0,10000,500,role_bitset,2,25.813329,0.636707,1.0,506,500,0.008543,0.0,45007.49
LegalBench-RAG,1200000,1200000,0.0,10000,500,role_bitset,3,29.366138,0.271088,1.0,500,500,0.006621,0.0,39597.419
LegalBench-RAG,1200000,1200000,0.0,10000,500,role_bitset,4,29.54831,0.410567,1.0,483,500,0.002783,0.0,40655.341
LegalBench-RAG,1200000,1200000,0.0,10000,500,effective_view_id,0,23.252622,0.49565,1.0,514,500,0.007078,0.0,39002.893
LegalBench-RAG,1200000,1200000,0.0,10000,500,effective_view_id,1,31.774012,0.333321,1.0,475,500,0.004874,0.0,37777.619
LegalBench-RAG,1200000,1200000,0.0,10000,500,effective_view_id,2,25.768445,0.60783,1.0,492,500,0.006801,0.0,43284.66
LegalBench-RAG,1200000,1200000,0.0,10000,500,effective_view_id,3,24.641573,0.233293,1.0,505,500,0.008017,0.0,39723.474
LegalBench-RAG,1200000,1200000,0.0,10000,500,effective_view_id,4,24.182112,0.338346,1.0,500,500,0.006198,0.0,42147.794
LegalBench-RAG,1200000,1200000,0.0,100000,10,short_sorted_vector,0,46.371015,0.424609,1.0,9,10,0.00813,0.0,41491.156
LegalBench-RAG,1200000,1200000,0.0,100000,10,short_sorted_vector,1,46.319757,0.450718,1.0,10,10,0.006309,0.0,42411.331
