dataset,N,N_indexed,index_type,authorized_set_id,comparison,seed_i,seed_j,drift10,recall_exact_i,recall_exact_j
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,7,0.0005,0.987039,0.981635
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,8,0.006118,0.985635,0.983626
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,0,9,0.0005,0.979775,0.983154
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,2,0.00347,0.983935,0.980688
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,3,0.002549,0.980165,0.979776
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,4,0.001917,0.979457,0.981773
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,5,0.005401,0.979812,0.982651
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,6,0.003209,0.983005,0.982922
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,7,0.003095,0.978688,0.980538
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,8,0.002275,0.983307,0.98013
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,1,9,0.001826,0.984941,0.983201
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,2,3,0.004131,0.983251,0.98304
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,2,4,0.001548,0.985807,0.978908
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,2,5,0.004871,0.983715,0.982983
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,2,6,0.010655,0.983395,0.981151
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,2,7,0.006699,0.98548,0.982246
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,2,8,0.002776,0.984455,0.979737
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,2,9,0.006393,0.983503,0.980996
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,3,4,0.002958,0.983654,0.981839
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,3,5,0.005231,0.98109,0.979255
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,3,6,0.003157,0.981568,0.984037
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,3,7,0.004274,0.983939,0.983689
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,3,8,0.003629,0.981018,0.981346
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,3,9,0.00445,0.981852,0.980148
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,4,5,0.002899,0.978364,0.983805
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,4,6,0.007398,0.980347,0.978283
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,4,7,0.0054,0.981071,0.980106
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,4,8,0.00503,0.981166,0.982892
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,4,9,0.003551,0.982108,0.977914
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,5,6,0.003681,0.980975,0.979757
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,5,7,0.004561,0.983222,0.983485
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,5,8,0.003943,0.976537,0.979481
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,5,9,0.003942,0.982158,0.982571
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,6,7,0.000834,0.978358,0.979316
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,6,8,0.0051,0.980861,0.983181
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,6,9,0.003051,0.982238,0.982777
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,7,8,0.002762,0.983706,0.982394
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,7,9,0.004066,0.983686,0.981983
LegalBench-RAG,1200000,1200000,HNSW,1,oracle_different_seed,8,9,0.00378,0.980994,0.980715
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,0,0,0.0,0.982401,0.981483
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,1,1,0.0,0.983729,0.980413
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,2,2,0.0,0.980622,0.981305
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,3,3,0.0,0.984566,0.982461
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,4,4,0.0,0.98394,0.981408
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,5,5,0.0,0.980038,0.980358
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,6,6,0.0,0.982959,0.981269
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,7,7,0.0,0.981844,0.980501
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,8,8,0.0,0.98227,0.983137
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_same_seed_rerun,9,9,0.0,0.978545,0.981405
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,1,0.004735,0.980082,0.979519
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,2,0.002269,0.980808,0.983905
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,3,0.004282,0.982589,0.983986
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,4,0.003166,0.981984,0.979985
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,5,0.003606,0.98545,0.984155
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,6,0.003501,0.980678,0.983
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,7,0.003377,0.983267,0.982671
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,8,0.003704,0.982111,0.982511
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,0,9,0.007515,0.98358,0.98175
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,2,0.003792,0.979787,0.985644
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,3,0.006432,0.98187,0.982875
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,4,0.006687,0.97851,0.982588
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,5,0.006955,0.979768,0.984234
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,6,0.0069,0.982578,0.979812
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,7,0.003658,0.984106,0.981894
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,8,0.004441,0.988962,0.980061
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,1,9,0.003205,0.984499,0.980756
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,2,3,0.004877,0.984763,0.981758
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,2,4,0.008234,0.981043,0.981398
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,2,5,0.005173,0.986224,0.981725
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,2,6,0.006486,0.979808,0.979701
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,2,7,0.00626,0.982213,0.983976
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,2,8,0.003616,0.983173,0.983107
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,2,9,0.005121,0.983399,0.981035
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,3,4,0.005779,0.982155,0.982901
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,3,5,0.002887,0.98313,0.982425
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,3,6,0.004233,0.983256,0.981445
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,3,7,0.007224,0.98093,0.979948
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,3,8,0.00674,0.983578,0.979924
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,3,9,0.007259,0.979901,0.983942
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,4,5,0.005542,0.984597,0.981737
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,4,6,0.006456,0.983855,0.980578
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,4,7,0.004404,0.982235,0.983221
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,4,8,0.006378,0.979612,0.979694
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,4,9,0.003704,0.984023,0.983967
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,5,6,0.005513,0.98006,0.984478
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,5,7,0.005896,0.982957,0.979568
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,5,8,0.003654,0.987543,0.981076
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,5,9,0.005171,0.979069,0.982666
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,6,7,0.007955,0.981132,0.98049
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,6,8,0.004297,0.978548,0.980801
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,6,9,0.004261,0.983262,0.984206
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,7,8,0.00677,0.978297,0.977951
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,7,9,0.005179,0.982965,0.983263
LegalBench-RAG,1200000,1200000,HNSW,2,oracle_different_seed,8,9,0.005322,0.982224,0.982074
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,0,0,0.0,0.982026,0.981752
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,1,1,0.0,0.981101,0.981226
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,2,2,0.0,0.982674,0.983178
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,3,3,0.0,0.979276,0.983523
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,4,4,0.0,0.982335,0.981252
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,5,5,0.0,0.982876,0.982293
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,6,6,0.0,0.980684,0.981525
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,7,7,0.0,0.983466,0.981929
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,8,8,0.0,0.981757,0.985318
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_same_seed_rerun,9,9,0.0,0.981806,0.980016
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,1,0.004396,0.983415,0.983706
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,2,0.007709,0.983278,0.982837
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,3,0.0005,0.983445,0.981965
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,4,0.004537,0.979707,0.981932
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,5,0.003586,0.981395,0.985442
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,6,0.002806,0.980156,0.986976
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,7,0.002248,0.982615,0.979251
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,8,0.002988,0.981504,0.983827
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,0,9,0.00448,0.985675,0.981209
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,2,0.006873,0.979091,0.982157
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,3,0.003564,0.982683,0.984038
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,4,0.007084,0.984706,0.982647
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,5,0.005548,0.983784,0.980362
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,6,0.005384,0.980089,0.983943
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,7,0.002709,0.982692,0.983124
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,8,0.003494,0.981647,0.982298
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,1,9,0.003686,0.980483,0.980627
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,2,3,0.002174,0.983397,0.979525
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,2,4,0.006551,0.981283,0.979443
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,2,5,0.002611,0.97943,0.982466
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,2,6,0.006147,0.984684,0.984608
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,2,7,0.004664,0.981033,0.979021
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,2,8,0.008537,0.983387,0.982735
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,2,9,0.007579,0.984162,0.983708
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,3,4,0.006667,0.978894,0.980916
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,3,5,0.004836,0.982795,0.981219
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,3,6,0.002804,0.984335,0.978892
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,3,7,0.0005,0.978537,0.985766
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,3,8,0.002267,0.979241,0.98215
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,3,9,0.004777,0.982386,0.979477
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,4,5,0.006174,0.981633,0.983217
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,4,6,0.005087,0.982665,0.987372
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,4,7,0.003845,0.983698,0.982446
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,4,8,0.004108,0.981548,0.981547
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,4,9,0.005871,0.983396,0.981613
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,5,6,0.007389,0.98405,0.982648
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,5,7,0.002837,0.985005,0.981459
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,5,8,0.003761,0.981469,0.979771
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,5,9,0.008365,0.980673,0.984114
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,6,7,0.007025,0.982402,0.981292
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,6,8,0.005297,0.981976,0.986411
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,6,9,0.006164,0.98069,0.980017
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,7,8,0.002039,0.98514,0.984045
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,7,9,0.001349,0.981225,0.984001
LegalBench-RAG,1200000,1200000,HNSW,3,oracle_different_seed,8,9,0.005762,0.980828,0.980998
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,0,0,0.0,0.981785,0.98162
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,1,1,0.0,0.983475,0.984465
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,2,2,0.0,0.981123,0.983149
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,3,3,0.0,0.985216,0.983513
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,4,4,0.0,0.98271,0.981547
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,5,5,0.0,0.981059,0.980526
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,6,6,0.0,0.98123,0.981413
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,7,7,0.0,0.981992,0.982714
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,8,8,0.0,0.98284,0.981768
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_same_seed_rerun,9,9,0.0,0.982668,0.980834
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,1,0.001413,0.981003,0.980808
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,2,0.006473,0.978846,0.98266
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,3,0.004114,0.981789,0.978326
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,4,0.005056,0.981736,0.984982
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,5,0.003465,0.980694,0.981709
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,6,0.007082,0.978676,0.984243
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,7,0.002495,0.984405,0.978818
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,8,0.004669,0.982359,0.984205
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,0,9,0.004111,0.98063,0.982604
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,2,0.007247,0.983909,0.984178
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,3,0.008935,0.98249,0.980261
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,4,0.006325,0.982289,0.980854
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,5,0.006302,0.982268,0.981655
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,6,0.003804,0.981211,0.982376
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,7,0.002829,0.982954,0.98429
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,8,0.007475,0.979407,0.983048
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,1,9,0.004731,0.984352,0.984355
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,2,3,0.00738,0.976811,0.98342
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,2,4,0.003139,0.978095,0.982639
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,2,5,0.003477,0.980568,0.984644
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,2,6,0.003881,0.982151,0.98397
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,2,7,0.005326,0.980602,0.981773
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,2,8,0.005379,0.98085,0.985891
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,2,9,0.004631,0.977652,0.982743
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,3,4,0.003744,0.98401,0.980139
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,3,5,0.004182,0.984173,0.983394
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,3,6,0.003405,0.982064,0.984045
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,3,7,0.005209,0.981397,0.98395
LegalBench-RAG,1200000,1200000,HNSW,4,oracle_different_seed,3,8,0.004751,0.980091,0.984631
