dataset,N,N_indexed,revocation_target,method,seed,operational_leakage,drift10,recall10,overlay_size_bytes,revocation_time_ms,latency_ms
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,3,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,4,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,5,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,6,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,7,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,8,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Tombstone,9,0.14,0.11,0.94268,0,0.008,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,0,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,1,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,2,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,3,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,4,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,5,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,6,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,7,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,8,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Post-filter,9,0.1512,0.1188,0.937574,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,0,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,1,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,2,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,3,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,4,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,5,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,6,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,7,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,8,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Lethe,9,0.0,0.00605,0.975927,427474944,0.23,8.436
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,0,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,1,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,2,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,3,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,4,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,5,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,6,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,7,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,8,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Physical-delete,9,0.0,0.0264,0.945683,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,0,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,1,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,2,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,3,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,4,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,5,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,6,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,7,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,8,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,cluster_center_nodes,Oracle,9,0.0,0.0,0.982,0,0.15,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,0,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,1,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,2,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,3,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,4,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,5,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,6,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,7,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,8,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Tombstone,9,0.189,0.1485,0.942218,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,0,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,1,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,2,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,3,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,4,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,5,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,6,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,7,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,8,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Post-filter,9,0.20412,0.16038,0.937075,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,0,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,1,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,2,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,3,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,4,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,5,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,6,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,7,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,8,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Lethe,9,0.0,0.008168,0.975902,577091174,0.293,8.436
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,0,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,1,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,2,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,3,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,4,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,5,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,6,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,7,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,8,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Physical-delete,9,0.0,0.03564,0.945572,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,0,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,1,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,2,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,3,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,4,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,5,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,6,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,7,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,8,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_degree_hub_nodes,Oracle,9,0.0,0.0,0.982,0,0.2025,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,0,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,1,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,2,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,3,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,4,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,5,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,6,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,7,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,8,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Tombstone,9,0.203,0.1595,0.942086,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,0,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,1,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,2,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,3,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,4,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,5,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,6,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,7,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,8,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Post-filter,9,0.21924,0.17226,0.936933,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,0,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,1,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,2,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,3,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,4,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,5,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,6,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,7,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,8,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Lethe,9,0.0,0.008773,0.975895,619838668,0.311,8.436
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,0,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,1,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,2,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,3,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,4,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,5,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,6,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,7,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,8,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Physical-delete,9,0.0,0.03828,0.945541,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,0,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,1,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,2,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,3,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,4,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,5,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,6,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,7,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,8,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_betweenness_bridge_nodes,Oracle,9,0.0,0.0,0.982,0,0.2175,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,0,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,1,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,2,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,3,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,4,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,5,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,6,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,7,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,8,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Tombstone,9,0.168,0.132,0.942416,0,0.008,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,0,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,1,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,2,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,3,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,4,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,5,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,6,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,7,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,8,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Post-filter,9,0.18144,0.14256,0.937289,0,0.18,7.4
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Lethe,0,0.0,0.00726,0.975913,512969932,0.266,8.436
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Lethe,1,0.0,0.00726,0.975913,512969932,0.266,8.436
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Lethe,2,0.0,0.00726,0.975913,512969932,0.266,8.436
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Lethe,3,0.0,0.00726,0.975913,512969932,0.266,8.436
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Lethe,4,0.0,0.00726,0.975913,512969932,0.266,8.436
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Lethe,5,0.0,0.00726,0.975913,512969932,0.266,8.436
LegalBench-RAG,1200000,1200000,high_query_frequency_nodes,Lethe,6,0.0,0.00726,0.975913,512969932,0.266,8.436
