table,dataset,N,N_indexed,frac,metric,baseline,lethe_mean,baseline_mean,ci_low,ci_high,p_raw,p_holm,effect_size,table_original,analysis_scope,metric_family,appendix_destination,attribution_policy
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.01082,0.164076,-0.164842,-0.145896,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,LegalBench-RAG,1200000,1200000,0.3,recall10_vs_exact_topk,Tombstone,0.977165,0.942033,0.02836,0.039787,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,scored_leakage,Tombstone,0.0,0.088383,-0.095701,-0.078962,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.004525,0.080616,-0.083516,-0.067083,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,recall10_vs_exact_topk,Tombstone,0.971962,0.937874,0.028463,0.040854,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,scored_leakage,Tombstone,0.0,0.164916,-0.172986,-0.159579,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.008904,0.151738,-0.151925,-0.132229,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,recall10_vs_exact_topk,Tombstone,0.971009,0.937882,0.024186,0.038768,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,scored_leakage,Tombstone,0.0,0.126375,-0.132141,-0.120272,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.007254,0.116332,-0.114482,-0.101945,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,recall10_vs_exact_topk,Tombstone,0.970939,0.937904,0.024704,0.038344,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,scored_leakage,Tombstone,0.0,0.173812,-0.181508,-0.167856,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.009321,0.16298,-0.164076,-0.146578,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,0.3,recall10_vs_exact_topk,Tombstone,0.971613,0.936837,0.027069,0.042845,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,scored_leakage,Tombstone,0.0,0.090646,-0.102358,-0.081891,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.004958,0.081561,-0.084382,-0.070098,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,recall10_vs_exact_topk,Tombstone,0.980125,0.947617,0.027576,0.03619,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,scored_leakage,Tombstone,0.0,0.159876,-0.169882,-0.151251,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.008631,0.150687,-0.151803,-0.132037,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,recall10_vs_exact_topk,Tombstone,0.981025,0.94622,0.031408,0.042788,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,scored_leakage,Tombstone,0.0,0.125872,-0.134565,-0.119102,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.006366,0.1198,-0.121074,-0.102964,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,recall10_vs_exact_topk,Tombstone,0.980126,0.945811,0.029131,0.042512,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,scored_leakage,Tombstone,0.0,0.1737,-0.186153,-0.161881,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.008778,0.16276,-0.163928,-0.144593,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,0.3,recall10_vs_exact_topk,Tombstone,0.979027,0.944691,0.030527,0.037622,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,scored_leakage,Tombstone,0.0,0.091741,-0.100052,-0.087327,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.00603,0.081427,-0.081786,-0.064644,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,recall10_vs_exact_topk,Tombstone,0.969296,0.937499,0.025995,0.039448,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,scored_leakage,Tombstone,0.0,0.16221,-0.172649,-0.148298,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.00815,0.151952,-0.149964,-0.139282,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,recall10_vs_exact_topk,Tombstone,0.969935,0.93802,0.027059,0.038014,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,scored_leakage,Tombstone,0.0,0.124457,-0.132184,-0.116322,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.006693,0.116686,-0.114952,-0.105231,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,recall10_vs_exact_topk,Tombstone,0.970499,0.936248,0.029283,0.038185,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,scored_leakage,Tombstone,0.0,0.176616,-0.186318,-0.167415,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,drift10_vs_oracle_rebuild,Tombstone,0.010744,0.162966,-0.161274,-0.144485,0.0001,0.001,-0.9,ideal_stats,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,0.3,recall10_vs_exact_topk,Tombstone,0.967454,0.936386,0.027228,0.036004,0.0001,0.001,0.85,ideal_stats,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
