dataset,N,N_indexed,method,pattern,frac,seed,recall10_vs_exact_linear_scan,drift10_vs_oracle_rebuild,oracle_recall10_vs_exact,exact_reference_sample_queries
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,0,0.92214,0.047911,0.982742,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,1,0.922917,0.054845,0.982763,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,2,0.915538,0.061013,0.982598,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,3,0.920825,0.045912,0.981308,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,4,0.921851,0.048706,0.982327,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,5,0.930094,0.055685,0.98343,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,6,0.922974,0.051942,0.982333,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,7,0.921778,0.063957,0.985035,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,8,0.914595,0.056226,0.982691,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,9,0.924762,0.061973,0.980136,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,0,0.984504,0.0,0.983849,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,1,0.981955,0.0,0.982712,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,2,0.981127,0.0,0.982671,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,3,0.983927,0.0,0.981157,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,4,0.984586,0.0,0.980877,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,5,0.98245,0.0,0.982407,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,6,0.978635,0.0,0.981096,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,7,0.983606,0.0,0.983026,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,8,0.978795,0.0,0.980488,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.2,9,0.984222,0.0,0.984109,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,0,0.974,0.006747,0.984954,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,1,0.973931,0.011766,0.981629,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,2,0.974043,0.008272,0.980714,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,3,0.976387,0.002009,0.979881,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,4,0.974079,0.008066,0.979666,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,5,0.97643,0.007069,0.986228,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,6,0.977708,0.010433,0.981963,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,7,0.97588,0.010747,0.982788,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,8,0.976761,0.006236,0.983939,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.2,9,0.973948,0.007551,0.981513,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,0,0.977287,0.001964,0.978977,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,1,0.977864,0.001775,0.97876,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,2,0.974366,0.003395,0.982762,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,3,0.979828,0.004561,0.984183,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,4,0.982369,0.002169,0.980183,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,5,0.97851,0.002187,0.984597,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,6,0.980808,0.004304,0.982444,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,7,0.984174,0.003903,0.984164,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,8,0.980938,0.002107,0.984843,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.2,9,0.98022,0.0,0.98078,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,0,0.981369,0.001424,0.980368,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,1,0.9799,1.8e-05,0.982213,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,2,0.979986,0.003239,0.980711,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,3,0.982555,0.003261,0.97921,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,4,0.980374,0.00296,0.982773,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,5,0.980809,0.004895,0.985438,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,6,0.979576,0.003024,0.981486,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,7,0.978971,0.003131,0.977819,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,8,0.980601,0.002494,0.981974,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.2,9,0.981116,0.003653,0.981888,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,0,0.932601,0.077557,0.98399,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,1,0.942025,0.111466,0.981,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,2,0.931603,0.116186,0.981606,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,3,0.927339,0.090091,0.982228,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,4,0.936333,0.088015,0.982147,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,5,0.945522,0.111153,0.981704,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,6,0.928083,0.108556,0.98149,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,7,0.939979,0.091791,0.98201,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,8,0.930799,0.10088,0.980353,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.2,9,0.929793,0.096004,0.981658,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,0,0.942636,0.102591,0.980928,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,1,0.939819,0.0952,0.983549,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,2,0.941988,0.113674,0.984154,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,3,0.934316,0.10325,0.981828,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,4,0.944942,0.105455,0.980691,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,5,0.936856,0.101473,0.982498,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,6,0.933219,0.097063,0.981677,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,7,0.923834,0.093142,0.981321,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,8,0.929196,0.093661,0.981476,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.2,9,0.930793,0.093493,0.981856,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,0,0.924362,0.071308,0.981016,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,1,0.918211,0.058069,0.979713,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,2,0.918621,0.073488,0.983348,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,3,0.922505,0.073884,0.980626,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,4,0.920202,0.072312,0.984381,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,5,0.912057,0.070188,0.982053,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,6,0.923976,0.062384,0.981447,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,7,0.926533,0.055262,0.981041,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,8,0.920166,0.063516,0.981906,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.2,9,0.916457,0.08256,0.982741,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,0,0.982885,0.0,0.983496,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,1,0.983816,0.0,0.981397,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,2,0.980978,0.0,0.984264,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,3,0.979749,0.0,0.982216,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,4,0.982126,0.0,0.981527,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,5,0.977685,0.0,0.982665,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,6,0.984982,0.0,0.98207,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,7,0.980337,0.0,0.981319,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,8,0.982712,0.0,0.980484,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.3,9,0.983354,0.0,0.979332,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,0,0.975737,0.01055,0.982278,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,1,0.973584,0.005444,0.983604,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,2,0.975655,0.00693,0.984245,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,3,0.978817,0.007543,0.982681,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,4,0.975758,0.007277,0.979761,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,5,0.973777,0.008304,0.981301,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,6,0.975844,0.005366,0.983554,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,7,0.979543,0.007744,0.98298,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,8,0.974997,0.012976,0.984116,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.3,9,0.975069,0.012191,0.981457,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,0,0.980493,0.0,0.981504,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,1,0.984781,0.00582,0.982615,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,2,0.978354,0.004756,0.981548,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,3,0.980455,0.00314,0.981294,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,4,0.97574,0.002867,0.980968,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,5,0.977521,0.00493,0.981589,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,6,0.98103,0.004137,0.984259,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,7,0.97898,0.001939,0.983603,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,8,0.979277,0.004024,0.983036,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.3,9,0.978099,0.00361,0.981665,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,0,0.978429,0.003699,0.980873,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,1,0.978342,0.00325,0.982387,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,2,0.97914,0.001317,0.980362,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,3,0.977749,0.004627,0.981172,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,4,0.975701,0.002688,0.983409,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,5,0.975353,0.00388,0.984796,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,6,0.980098,0.001942,0.980742,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,7,0.977583,0.00355,0.983324,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,8,0.980484,0.004265,0.984232,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.3,9,0.975352,0.003829,0.980782,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,0,0.927868,0.112481,0.983701,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,1,0.931635,0.117677,0.980628,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,2,0.936399,0.099426,0.981881,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,3,0.93631,0.116062,0.982848,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,4,0.932207,0.120644,0.979441,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,5,0.92672,0.127034,0.979374,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,6,0.925419,0.114587,0.980973,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,7,0.935124,0.093832,0.981329,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,8,0.933544,0.124308,0.981327,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.3,9,0.922175,0.118238,0.982142,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,0,0.934587,0.112241,0.981238,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,1,0.927972,0.098508,0.978384,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,2,0.927041,0.131145,0.9831,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,3,0.926082,0.121762,0.979065,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,4,0.926837,0.113884,0.983819,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,5,0.931958,0.131027,0.981279,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,6,0.92364,0.112125,0.980251,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,7,0.917795,0.113408,0.981111,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,8,0.928594,0.117532,0.982673,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.3,9,0.938524,0.127905,0.982535,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,0,0.919788,0.091611,0.981564,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,1,0.919156,0.073026,0.982933,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,2,0.915714,0.085706,0.982728,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,3,0.916147,0.067027,0.981338,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,4,0.918677,0.070557,0.981627,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,5,0.92176,0.064114,0.982436,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,6,0.929101,0.0606,0.981132,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,7,0.916608,0.073053,0.978045,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,8,0.915931,0.078378,0.982829,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.3,9,0.905776,0.062938,0.984026,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,0,0.981308,0.0,0.983881,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,1,0.979636,0.0,0.980716,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,2,0.983784,0.0,0.982956,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,3,0.982196,0.0,0.983306,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,4,0.983768,0.0,0.980646,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,5,0.984732,0.0,0.981576,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,6,0.980651,0.0,0.981992,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,7,0.977766,0.0,0.983484,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,8,0.983764,0.0,0.979876,2000
LegalBench-RAG,1200000,1200000,Oracle,random,0.4,9,0.980357,0.0,0.980578,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,0,0.973933,0.007756,0.982562,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,1,0.977451,0.011111,0.981715,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,2,0.976305,0.009766,0.980317,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,3,0.9776,0.010802,0.983184,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,4,0.976108,0.013544,0.981918,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,5,0.976019,0.012451,0.983415,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,6,0.976384,0.00639,0.98468,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,7,0.978297,0.010144,0.98209,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,8,0.975773,0.010592,0.980727,2000
LegalBench-RAG,1200000,1200000,Lethe,random,0.4,9,0.976693,0.008681,0.980549,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,0,0.980362,0.005155,0.982197,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,1,0.979452,0.00484,0.983525,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,2,0.97607,0.004683,0.980797,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,3,0.98058,0.003841,0.984744,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,4,0.978686,0.006581,0.981783,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,5,0.97983,0.004368,0.981403,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,6,0.976603,0.001686,0.980714,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,7,0.974697,0.005328,0.982921,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,8,0.981431,0.005538,0.983837,2000
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.4,9,0.979647,0.004171,0.981097,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,0,0.980385,0.003282,0.981536,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,1,0.977307,0.006206,0.981844,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,2,0.977,0.004649,0.979252,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,3,0.982236,0.004239,0.981778,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,4,0.977884,0.003433,0.981002,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,5,0.975331,0.004734,0.983412,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,6,0.979393,0.006107,0.982772,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,7,0.980144,0.005892,0.980276,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,8,0.981093,0.00617,0.981929,2000
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.4,9,0.977435,0.003803,0.98434,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,0,0.930615,0.142511,0.981992,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,1,0.941409,0.120636,0.979608,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,2,0.924094,0.115979,0.978216,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,3,0.919868,0.129944,0.981804,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,4,0.922221,0.146954,0.980635,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,5,0.926868,0.140814,0.978331,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,6,0.929641,0.138222,0.983905,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,7,0.923116,0.107039,0.98428,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,8,0.918867,0.140477,0.981647,2000
LegalBench-RAG,1200000,1200000,Tombstone,random,0.4,9,0.918418,0.15269,0.979721,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,0,0.924973,0.127571,0.981874,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,1,0.929084,0.134998,0.983577,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,2,0.924305,0.128879,0.980423,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,3,0.924701,0.137718,0.979456,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,4,0.928929,0.136745,0.980993,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,5,0.92542,0.116965,0.981076,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,6,0.919197,0.122707,0.982489,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,7,0.921764,0.145541,0.984501,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,8,0.924494,0.129135,0.984042,2000
LegalBench-RAG,1200000,1200000,Post-filter,random,0.4,9,0.918231,0.127554,0.981463,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.4,0,0.9199,0.083214,0.981217,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.4,1,0.915265,0.080834,0.982902,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.4,2,0.918129,0.088979,0.983726,2000
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.4,3,0.924296,0.076943,0.9815,2000
