dataset,N,N_indexed,method,pattern,frac,seed,visited_total,visited_revoked,expanded_total,expanded_revoked,distance_eval_total,distance_eval_revoked,frontier_insert_total,frontier_insert_revoked,routing_trace_leakage,revoked_distance_eval_rate,revoked_expansion_rate,revoked_frontier_insert_rate
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,0,112954,0,13885,0,69082,0,33522,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,1,113106,0,13722,0,70928,0,35432,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,2,122325,0,13756,0,80803,0,37069,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,3,119086,0,13370,0,71677,0,33801,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,4,122297,0,15085,0,75333,0,37535,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,5,111972,0,13077,0,71181,0,32833,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,6,119296,0,14508,0,76068,0,36523,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,7,107440,0,13211,0,69532,0,33356,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,8,113291,0,13362,0,74542,0,35578,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.0,9,114817,0,12789,0,70814,0,35234,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,0,108810,0,13538,0,67933,0,32124,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,1,112701,0,14096,0,66820,0,33021,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,2,119424,0,14019,0,72747,0,36168,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,3,120590,0,14612,0,72679,0,34927,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,4,117982,0,14523,0,73342,0,37290,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,5,110716,0,12669,0,66498,0,32823,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,6,119231,0,14352,0,74629,0,35720,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,7,118283,0,13688,0,74533,0,34810,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,8,116436,0,14909,0,76563,0,36732,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,ACORN,random,0.0,9,113787,0,13022,0,71583,0,33070,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,0,120345,0,13459,0,74531,0,33620,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,1,107073,0,11445,0,66313,0,30078,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,2,116164,0,13561,0,70160,0,33996,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,3,113629,0,14141,0,72154,0,35297,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,4,111730,0,12552,0,69409,0,32906,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,5,111592,0,13407,0,70469,0,33385,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,6,110121,0,11677,0,66994,0,31511,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,7,115189,0,12402,0,68167,0,31019,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,8,113230,0,12868,0,67236,0,31213,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.0,9,115617,0,15168,0,73012,0,36864,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,0,118381,0,12511,0,68293,0,32991,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,1,116233,0,15247,0,74280,0,36581,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,2,119295,0,13092,0,69791,0,33023,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,3,117327,0,14788,0,71038,0,34355,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,4,113529,0,13243,0,66052,0,32183,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,5,112491,0,14775,0,73109,0,34812,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,6,123790,0,13408,0,82313,0,36436,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,7,122801,0,15287,0,79910,0,36648,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,8,115507,0,14370,0,69412,0,33462,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,SPFresh,random,0.0,9,114052,0,12998,0,69226,0,34272,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,0,119040,0,13708,0,72093,0,35687,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,1,116400,0,12140,0,66636,0,30938,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,2,119717,0,13690,0,72812,0,33766,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,3,116924,0,12539,0,68663,0,32870,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,4,116877,0,13756,0,73880,0,35050,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,5,114837,0,13229,0,74212,0,37759,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,6,118264,0,14648,0,74348,0,37612,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,7,118530,0,12756,0,70341,0,30963,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,8,104889,0,12356,0,66559,0,32696,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.0,9,105530,0,12257,0,62310,0,30340,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,0,114237,8081,13996,2053,73370,6773,34475,4406,0.09027948,0.09231293,0.14668477,0.12780276
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,1,108516,7204,11846,1856,65453,5866,30333,3813,0.08669523,0.08962156,0.15667736,0.12570468
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,2,119001,8147,14863,1970,78397,7163,37961,4546,0.08722654,0.09136829,0.1325439,0.11975448
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,3,120543,8289,17571,2018,78819,7166,42306,4715,0.08558897,0.09091716,0.11484833,0.11144991
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,4,115818,8614,14081,2125,70316,7234,35043,4611,0.09599674,0.10287843,0.15091258,0.1315812
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,5,120308,9170,14169,1875,72848,7747,34216,4493,0.09640185,0.10634472,0.13233115,0.13131284
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,6,113013,8008,12711,1984,68022,6900,32643,4222,0.09326425,0.10143777,0.15608528,0.1293386
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,7,115938,9365,14020,2184,72831,7793,36229,4566,0.10002594,0.10700114,0.15577746,0.12603163
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,8,102546,7815,13147,1920,63491,6423,31839,4155,0.09625965,0.10116394,0.14604092,0.13050033
LegalBench-RAG,1200000,1200000,Tombstone,random,0.1,9,114768,8744,13724,2257,67486,7420,34217,4775,0.10076674,0.10994873,0.16445643,0.13955052
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,0,112314,9472,14503,2176,73480,8107,34209,5301,0.10684588,0.11032934,0.15003792,0.15495922
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,1,119357,8918,14895,2126,70396,7523,34982,4678,0.09700371,0.10686687,0.14273246,0.13372592
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,2,112608,9873,14402,2243,72258,8288,36454,5000,0.10777102,0.1147001,0.15574226,0.13715916
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,3,117442,9965,14325,2230,74553,8138,36151,5022,0.10456921,0.10915724,0.1556719,0.13891732
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,4,122849,10454,13944,2102,74760,8185,35654,5190,0.1048959,0.10948368,0.15074584,0.14556571
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,5,102720,9475,13227,1845,62659,7707,32265,4584,0.11196893,0.12299909,0.13948741,0.14207345
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,6,118690,9484,12411,2214,71550,8161,32580,4971,0.10555582,0.1140601,0.17839014,0.15257827
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,7,118845,10042,14338,2113,73701,8409,34920,5035,0.10586674,0.11409615,0.14737062,0.14418671
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,8,112685,8313,14251,1891,71377,7347,34248,4810,0.09615112,0.10293232,0.13269244,0.14044616
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,9,109079,7985,11878,2137,66435,6829,31221,4679,0.09894197,0.1027922,0.17991244,0.14986708
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,0,113821,2758,13222,0,67102,0,33127,0,0.01213524,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,1,123200,2671,14239,0,78444,0,38739,0,0.01049006,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,2,120239,2770,15465,0,74681,0,37336,0,0.01118193,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,3,113525,2478,14536,0,69268,0,33008,0,0.01075815,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,4,108846,2843,12833,0,66812,0,32517,0,0.01286379,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,5,109383,2994,13290,0,68379,0,31582,0,0.01344808,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,6,114203,2845,14935,0,70609,0,34286,0,0.01215641,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,7,107887,2714,13294,0,67839,0,31843,0,0.01228816,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,8,107607,2757,11476,0,64037,0,29977,0,0.01293777,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,9,118985,2770,13013,0,76712,0,34626,0,0.01138344,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,0,114570,2375,13123,0,67783,0,33298,0,0.01038142,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,1,114943,2830,13352,0,68440,0,34283,0,0.01225013,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,2,111857,2368,12514,0,67759,0,31477,0,0.01059001,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,3,114469,2422,12852,0,69865,0,31884,0,0.01057319,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,4,117286,2513,14280,0,76183,0,35723,0,0.01032152,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,5,105810,2364,12890,0,66036,0,33264,0,0.01084404,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,6,112952,2644,13495,0,68363,0,34695,0,0.01152045,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,7,111412,2531,13851,0,71526,0,33902,0,0.01097139,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,8,119021,2999,14528,0,75043,0,35715,0,0.01227554,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,9,125788,2961,14727,0,78737,0,35188,0,0.01163732,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,0,112439,7085,13722,1797,67551,6281,34123,4088,0.08449536,0.0929816,0.13095759,0.11980189
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,1,115130,6689,14223,1680,70963,6021,34348,3790,0.07747247,0.08484703,0.11811854,0.11034121
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,2,116085,8442,13727,2004,68511,7118,34066,4030,0.09292178,0.10389572,0.14598966,0.11829977
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,3,113981,7246,15148,1722,71004,5975,35979,3772,0.07926323,0.08415019,0.11367837,0.10483893
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,4,114712,9268,15895,2373,76157,7721,37875,5031,0.09971019,0.10138267,0.14929223,0.13283168
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,5,116713,8089,13464,1833,76696,6986,35822,3931,0.08586497,0.09108689,0.13614082,0.10973703
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,6,113299,7268,13053,1702,68666,6320,32032,3954,0.08475666,0.09203973,0.13039148,0.12343906
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,7,112724,7171,13160,1512,68078,6059,32364,3500,0.08060055,0.08900085,0.11489362,0.10814485
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,8,112324,8457,13601,1824,67648,6923,33772,4141,0.09388814,0.10233858,0.13410779,0.12261637
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,9,110266,8337,14279,1836,68317,6998,33996,4323,0.09474649,0.10243424,0.12858043,0.12716202
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,0,111564,0,14975,0,75955,0,37034,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,1,116663,0,14216,0,72253,0,35233,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,2,120218,0,12483,0,70784,0,34191,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,3,108698,0,12763,0,66909,0,32008,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,4,113971,0,14240,0,73617,0,33858,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,5,119844,0,15890,0,75016,0,38085,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,6,115069,0,14133,0,71674,0,34666,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,7,113421,0,13331,0,71605,0,34319,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,8,115054,0,12714,0,65100,0,31901,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,9,117526,0,14262,0,71216,0,34721,0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,0,115419,2457,14005,609,68996,2108,33738,1287,0.02783018,0.0305525,0.04348447,0.0381469
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,1,116854,3192,12923,644,71317,2198,34343,1383,0.03150312,0.03082014,0.04983363,0.04027022
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,2,109269,2890,11311,650,62888,2434,28227,1524,0.03541888,0.03870373,0.05746618,0.05399086
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,3,112712,2715,14241,710,70017,2405,34524,1500,0.03166389,0.0343488,0.04985605,0.04344804
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,4,111525,3166,12897,555,67348,1980,31161,1235,0.03111277,0.02939954,0.04303326,0.03963287
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,5,114040,2390,14934,556,71803,1864,37534,1201,0.02522334,0.02595992,0.03723048,0.03199766
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,6,110188,3085,12553,784,63020,2648,29988,1673,0.03796078,0.04201841,0.06245519,0.05578898
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,7,112188,2502,13356,608,68576,2184,34202,1427,0.0294365,0.03184788,0.04552261,0.04172271
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,8,116501,2840,12631,669,69902,2332,31274,1358,0.03125814,0.03336099,0.05296493,0.04342265
