dataset,N,N_indexed,roles,users,shared_fraction,exception_rate,base_graph_bytes,vector_store_bytes,predicate_table_bytes,exception_bitmap_bytes,reverse_adjacency_bytes,bypass_overlay_bytes,key_metadata_bytes,audit_log_metadata_bytes,alignment_padding_bytes,total_lethe_bytes,per_role_index_bytes,per_user_index_bytes,memory_ratio_vs_shared,memory_ratio_vs_per_role,memory_ratio_vs_per_user
LegalBench-RAG,1200000,1200000,100,10000,0.2,0.1,7124582400,4987207680,65978962,35622912,1310923161,132517232,21373747,9974415,20439428,8721412257,541468262400,62696325120000,1.0,0.01610697,0.0001391056
LegalBench-RAG,1200000,1200000,100,10000,0.2,0.5,7124582400,4987207680,83077960,121117900,1310923161,178114560,21373747,21373747,32294733,8892858208,541468262400,62696325120000,1.0,0.0164236,0.0001418402
LegalBench-RAG,1200000,1200000,100,10000,0.5,0.01,7124582400,4987207680,62131687,16386539,1353670656,198775848,21373747,7409565,23893425,8808223867,584215756800,62696325120000,1.0,0.015077,0.0001404903
LegalBench-RAG,1200000,1200000,100,10000,0.5,0.1,7124582400,4987207680,65978962,35622912,1353670656,224424345,21373747,9974415,27791997,8863419434,584215756800,62696325120000,1.0,0.01517148,0.0001413706
LegalBench-RAG,1200000,1200000,100,10000,0.5,0.5,7124582400,4987207680,83077960,121117900,1353670656,338417664,21373747,21373747,45118981,9108733055,584215756800,62696325120000,1.0,0.01559139,0.0001452834
LegalBench-RAG,1200000,1200000,100,10000,0.8,0.01,7124582400,4987207680,62131687,16386539,1396418150,275293863,21373747,7409565,30014866,8933610817,626963251200,62696325120000,1.0,0.01424902,0.0001424902
LegalBench-RAG,1200000,1200000,100,10000,0.8,0.1,7124582400,4987207680,65978962,35622912,1396418150,316331458,21373747,9974415,35144566,9005426610,626963251200,62696325120000,1.0,0.01436356,0.0001436356
LegalBench-RAG,1200000,1200000,100,10000,0.8,0.5,7124582400,4987207680,83077960,121117900,1396418150,498720768,21373747,21373747,57943230,9324607902,626963251200,62696325120000,1.0,0.01487265,0.0001487265
LegalBench-RAG,1200000,1200000,100,10000,0.95,0.01,7124582400,4987207680,62131687,16386539,1417791897,313552871,21373747,7409565,33075587,8996304293,648336998400,62696325120000,1.0,0.01387597,0.0001434901
LegalBench-RAG,1200000,1200000,100,10000,0.95,0.1,7124582400,4987207680,65978962,35622912,1417791897,362285015,21373747,9974415,38820850,9076430198,648336998400,62696325120000,1.0,0.01399956,0.0001447681
LegalBench-RAG,1200000,1200000,100,10000,0.95,0.5,7124582400,4987207680,83077960,121117900,1417791897,578872320,21373747,21373747,64355354,9432545325,648336998400,62696325120000,1.0,0.01454883,0.0001504481
LegalBench-RAG,1200000,1200000,100,100000,0.2,0.01,7124582400,4987207680,62131687,16386539,1310923161,122257833,21373747,7409565,17771984,8682836916,541468262400,626963251200000,1.0,0.01603573,1.3849e-05
LegalBench-RAG,1200000,1200000,100,100000,0.2,0.1,7124582400,4987207680,65978962,35622912,1310923161,132517232,21373747,9974415,20439428,8721412257,541468262400,626963251200000,1.0,0.01610697,1.39106e-05
LegalBench-RAG,1200000,1200000,100,100000,0.2,0.5,7124582400,4987207680,83077960,121117900,1310923161,178114560,21373747,21373747,32294733,8892858208,541468262400,626963251200000,1.0,0.0164236,1.4184e-05
LegalBench-RAG,1200000,1200000,100,100000,0.5,0.01,7124582400,4987207680,62131687,16386539,1353670656,198775848,21373747,7409565,23893425,8808223867,584215756800,626963251200000,1.0,0.015077,1.4049e-05
LegalBench-RAG,1200000,1200000,100,100000,0.5,0.1,7124582400,4987207680,65978962,35622912,1353670656,224424345,21373747,9974415,27791997,8863419434,584215756800,626963251200000,1.0,0.01517148,1.41371e-05
LegalBench-RAG,1200000,1200000,100,100000,0.5,0.5,7124582400,4987207680,83077960,121117900,1353670656,338417664,21373747,21373747,45118981,9108733055,584215756800,626963251200000,1.0,0.01559139,1.45283e-05
LegalBench-RAG,1200000,1200000,100,100000,0.8,0.01,7124582400,4987207680,62131687,16386539,1396418150,275293863,21373747,7409565,30014866,8933610817,626963251200,626963251200000,1.0,0.01424902,1.4249e-05
LegalBench-RAG,1200000,1200000,100,100000,0.8,0.1,7124582400,4987207680,65978962,35622912,1396418150,316331458,21373747,9974415,35144566,9005426610,626963251200,626963251200000,1.0,0.01436356,1.43636e-05
LegalBench-RAG,1200000,1200000,100,100000,0.8,0.5,7124582400,4987207680,83077960,121117900,1396418150,498720768,21373747,21373747,57943230,9324607902,626963251200,626963251200000,1.0,0.01487265,1.48727e-05
LegalBench-RAG,1200000,1200000,100,100000,0.95,0.01,7124582400,4987207680,62131687,16386539,1417791897,313552871,21373747,7409565,33075587,8996304293,648336998400,626963251200000,1.0,0.01387597,1.4349e-05
LegalBench-RAG,1200000,1200000,100,100000,0.95,0.1,7124582400,4987207680,65978962,35622912,1417791897,362285015,21373747,9974415,38820850,9076430198,648336998400,626963251200000,1.0,0.01399956,1.44768e-05
LegalBench-RAG,1200000,1200000,100,100000,0.95,0.5,7124582400,4987207680,83077960,121117900,1417791897,578872320,21373747,21373747,64355354,9432545325,648336998400,626963251200000,1.0,0.01454883,1.50448e-05
LegalBench-RAG,1200000,1200000,500,10000,0.2,0.01,7124582400,4987207680,73654408,16386539,1310923161,122257833,21373747,7409565,18693802,8695281455,2707341312000,62696325120000,1.0,0.00321174,0.0001386889
LegalBench-RAG,1200000,1200000,500,10000,0.2,0.1,7124582400,4987207680,77501682,35622912,1310923161,132517232,21373747,9974415,21361245,8733856794,2707341312000,62696325120000,1.0,0.00322599,0.0001393041
LegalBench-RAG,1200000,1200000,500,10000,0.2,0.5,7124582400,4987207680,94600680,121117900,1310923161,178114560,21373747,21373747,33216550,8905302745,2707341312000,62696325120000,1.0,0.00328932,0.0001420387
LegalBench-RAG,1200000,1200000,500,10000,0.5,0.01,7124582400,4987207680,73654408,16386539,1353670656,198775848,21373747,7409565,24815243,8820668406,2921078784000,62696325120000,1.0,0.00301966,0.0001406888
LegalBench-RAG,1200000,1200000,500,10000,0.5,0.1,7124582400,4987207680,77501682,35622912,1353670656,224424345,21373747,9974415,28713814,8875863971,2921078784000,62696325120000,1.0,0.00303856,0.0001415691
LegalBench-RAG,1200000,1200000,500,10000,0.5,0.5,7124582400,4987207680,94600680,121117900,1353670656,338417664,21373747,21373747,46040799,9121177593,2921078784000,62696325120000,1.0,0.00312254,0.0001454819
LegalBench-RAG,1200000,1200000,500,10000,0.8,0.01,7124582400,4987207680,73654408,16386539,1396418150,275293863,21373747,7409565,30936684,8946055356,3134816256000,62696325120000,1.0,0.00285377,0.0001426887
LegalBench-RAG,1200000,1200000,500,10000,0.8,0.1,7124582400,4987207680,77501682,35622912,1396418150,316331458,21373747,9974415,36066383,9017871147,3134816256000,62696325120000,1.0,0.00287668,0.0001438341
LegalBench-RAG,1200000,1200000,500,10000,0.8,0.5,7124582400,4987207680,94600680,121117900,1396418150,498720768,21373747,21373747,58865047,9337052439,3134816256000,62696325120000,1.0,0.0029785,0.000148925
LegalBench-RAG,1200000,1200000,500,10000,0.95,0.01,7124582400,4987207680,73654408,16386539,1417791897,313552871,21373747,7409565,33997405,9008748832,3241684991999,62696325120000,1.0,0.00277903,0.0001436886
LegalBench-RAG,1200000,1200000,500,10000,0.95,0.1,7124582400,4987207680,77501682,35622912,1417791897,362285015,21373747,9974415,39742668,9088874736,3241684991999,62696325120000,1.0,0.00280375,0.0001449666
LegalBench-RAG,1200000,1200000,500,10000,0.95,0.5,7124582400,4987207680,94600680,121117900,1417791897,578872320,21373747,21373747,65277171,9444989862,3241684991999,62696325120000,1.0,0.00291361,0.0001506466
LegalBench-RAG,1200000,1200000,500,100000,0.2,0.01,7124582400,4987207680,73654408,16386539,1310923161,122257833,21373747,7409565,18693802,8695281455,2707341312000,626963251200000,1.0,0.00321174,1.38689e-05
LegalBench-RAG,1200000,1200000,500,100000,0.2,0.1,7124582400,4987207680,77501682,35622912,1310923161,132517232,21373747,9974415,21361245,8733856794,2707341312000,626963251200000,1.0,0.00322599,1.39304e-05
LegalBench-RAG,1200000,1200000,500,100000,0.2,0.5,7124582400,4987207680,94600680,121117900,1310923161,178114560,21373747,21373747,33216550,8905302745,2707341312000,626963251200000,1.0,0.00328932,1.42039e-05
LegalBench-RAG,1200000,1200000,500,100000,0.5,0.01,7124582400,4987207680,73654408,16386539,1353670656,198775848,21373747,7409565,24815243,8820668406,2921078784000,626963251200000,1.0,0.00301966,1.40689e-05
LegalBench-RAG,1200000,1200000,500,100000,0.5,0.1,7124582400,4987207680,77501682,35622912,1353670656,224424345,21373747,9974415,28713814,8875863971,2921078784000,626963251200000,1.0,0.00303856,1.41569e-05
LegalBench-RAG,1200000,1200000,500,100000,0.5,0.5,7124582400,4987207680,94600680,121117900,1353670656,338417664,21373747,21373747,46040799,9121177593,2921078784000,626963251200000,1.0,0.00312254,1.45482e-05
LegalBench-RAG,1200000,1200000,500,100000,0.8,0.01,7124582400,4987207680,73654408,16386539,1396418150,275293863,21373747,7409565,30936684,8946055356,3134816256000,626963251200000,1.0,0.00285377,1.42689e-05
LegalBench-RAG,1200000,1200000,500,100000,0.8,0.1,7124582400,4987207680,77501682,35622912,1396418150,316331458,21373747,9974415,36066383,9017871147,3134816256000,626963251200000,1.0,0.00287668,1.43834e-05
LegalBench-RAG,1200000,1200000,500,100000,0.8,0.5,7124582400,4987207680,94600680,121117900,1396418150,498720768,21373747,21373747,58865047,9337052439,3134816256000,626963251200000,1.0,0.0029785,1.48925e-05
LegalBench-RAG,1200000,1200000,500,100000,0.95,0.01,7124582400,4987207680,73654408,16386539,1417791897,313552871,21373747,7409565,33997405,9008748832,3241684991999,626963251200000,1.0,0.00277903,1.43689e-05
LegalBench-RAG,1200000,1200000,500,100000,0.95,0.1,7124582400,4987207680,77501682,35622912,1417791897,362285015,21373747,9974415,39742668,9088874736,3241684991999,626963251200000,1.0,0.00280375,1.44967e-05
LegalBench-RAG,1200000,1200000,500,100000,0.95,0.5,7124582400,4987207680,94600680,121117900,1417791897,578872320,21373747,21373747,65277171,9444989862,3241684991999,626963251200000,1.0,0.00291361,1.50647e-05
MS-MARCO-RBAC,8000000,8000000,50,10000,0.2,0.01,45232128000,31662489599,363245548,104033894,8322711552,776183316,135696384,47041413,110332731,55091372838,1718820864000,398042726400000,1.0,0.03205184,0.0001384057
MS-MARCO-RBAC,8000000,8000000,50,10000,0.2,0.1,45232128000,31662489599,387670897,226160640,8322711552,841317580,135696384,63324979,127267640,55336277672,1718820864000,398042726400000,1.0,0.03219433,0.0001390209
MS-MARCO-RBAC,8000000,8000000,50,10000,0.2,0.5,45232128000,31662489599,496228004,768946176,8322711552,1130803200,135696384,135696384,202533901,56424743601,1718820864000,398042726400000,1.0,0.03282759,0.0001417555
MS-MARCO-RBAC,8000000,8000000,50,10000,0.5,0.01,45232128000,31662489599,363245548,104033894,8594104320,1261976371,135696384,47041413,149196175,55887422105,1854517248000,398042726400000,1.0,0.03013583,0.0001404056
MS-MARCO-RBAC,8000000,8000000,50,10000,0.5,0.1,45232128000,31662489599,387670897,226160640,8594104320,1424812032,135696384,63324979,173947196,56237844448,1854517248000,398042726400000,1.0,0.03032479,0.0001412859
MS-MARCO-RBAC,8000000,8000000,50,10000,0.5,0.5,45232128000,31662489599,496228004,768946176,8594104320,2148526080,135696384,135696384,283951731,57795277079,1854517248000,398042726400000,1.0,0.03116459,0.0001451987
MS-MARCO-RBAC,8000000,8000000,50,10000,0.8,0.01,45232128000,31662489599,363245548,104033894,8865497088,1747769425,135696384,47041413,188059620,56683471372,1990213632000,398042726400000,1.0,0.0284811,0.0001424055
MS-MARCO-RBAC,8000000,8000000,50,10000,0.8,0.1,45232128000,31662489599,387670897,226160640,8865497088,2008306483,135696384,63324979,220626752,57139411223,1990213632000,398042726400000,1.0,0.02871019,0.0001435509
MS-MARCO-RBAC,8000000,8000000,50,10000,0.8,0.5,45232128000,31662489599,496228004,768946176,8865497088,3166248960,135696384,135696384,365369561,59165810557,1990213632000,398042726400000,1.0,0.02972837,0.0001486419
MS-MARCO-RBAC,8000000,8000000,50,10000,0.95,0.01,45232128000,31662489599,363245548,104033894,9001193472,1990665953,135696384,47041413,207491342,57081496006,2058061823999,398042726400000,1.0,0.02773556,0.0001434054
MS-MARCO-RBAC,8000000,8000000,50,10000,0.95,0.1,45232128000,31662489599,387670897,226160640,9001193472,2300053708,135696384,63324979,243966530,57590194610,2058061823999,398042726400000,1.0,0.02798273,0.0001446834
MS-MARCO-RBAC,8000000,8000000,50,10000,0.95,0.5,45232128000,31662489599,496228004,768946176,9001193472,3675110400,135696384,135696384,406078477,59851077297,2058061823999,398042726400000,1.0,0.02908128,0.0001503634
MS-MARCO-RBAC,8000000,8000000,50,100000,0.2,0.01,45232128000,31662489599,363245548,104033894,8322711552,776183316,135696384,47041413,110332731,55091372838,1718820864000,3980427264000000,1.0,0.03205184,1.38406e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.2,0.1,45232128000,31662489599,387670897,226160640,8322711552,841317580,135696384,63324979,127267640,55336277672,1718820864000,3980427264000000,1.0,0.03219433,1.39021e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.2,0.5,45232128000,31662489599,496228004,768946176,8322711552,1130803200,135696384,135696384,202533901,56424743601,1718820864000,3980427264000000,1.0,0.03282759,1.41755e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.5,0.01,45232128000,31662489599,363245548,104033894,8594104320,1261976371,135696384,47041413,149196175,55887422105,1854517248000,3980427264000000,1.0,0.03013583,1.40406e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.5,0.1,45232128000,31662489599,387670897,226160640,8594104320,1424812032,135696384,63324979,173947196,56237844448,1854517248000,3980427264000000,1.0,0.03032479,1.41286e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.5,0.5,45232128000,31662489599,496228004,768946176,8594104320,2148526080,135696384,135696384,283951731,57795277079,1854517248000,3980427264000000,1.0,0.03116459,1.45199e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.8,0.01,45232128000,31662489599,363245548,104033894,8865497088,1747769425,135696384,47041413,188059620,56683471372,1990213632000,3980427264000000,1.0,0.0284811,1.42405e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.8,0.1,45232128000,31662489599,387670897,226160640,8865497088,2008306483,135696384,63324979,220626752,57139411223,1990213632000,3980427264000000,1.0,0.02871019,1.43551e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.8,0.5,45232128000,31662489599,496228004,768946176,8865497088,3166248960,135696384,135696384,365369561,59165810557,1990213632000,3980427264000000,1.0,0.02972837,1.48642e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.95,0.01,45232128000,31662489599,363245548,104033894,9001193472,1990665953,135696384,47041413,207491342,57081496006,2058061823999,3980427264000000,1.0,0.02773556,1.43405e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.95,0.1,45232128000,31662489599,387670897,226160640,9001193472,2300053708,135696384,63324979,243966530,57590194610,2058061823999,3980427264000000,1.0,0.02798273,1.44683e-05
MS-MARCO-RBAC,8000000,8000000,50,100000,0.95,0.5,45232128000,31662489599,496228004,768946176,9001193472,3675110400,135696384,135696384,406078477,59851077297,2058061823999,3980427264000000,1.0,0.02908128,1.50363e-05
MS-MARCO-RBAC,8000000,8000000,100,10000,0.2,0.01,45232128000,31662489599,394457991,104033894,8322711552,776183316,135696384,47041413,112829726,55125082276,3437641728000,398042726400000,1.0,0.01603573,0.0001384904
MS-MARCO-RBAC,8000000,8000000,100,10000,0.2,0.1,45232128000,31662489599,418883340,226160640,8322711552,841317580,135696384,63324979,129764635,55369987110,3437641728000,398042726400000,1.0,0.01610697,0.0001391056
MS-MARCO-RBAC,8000000,8000000,100,10000,0.2,0.5,45232128000,31662489599,527440447,768946176,8322711552,1130803200,135696384,135696384,205030896,56458453039,3437641728000,398042726400000,1.0,0.0164236,0.0001418402
MS-MARCO-RBAC,8000000,8000000,100,10000,0.5,0.01,45232128000,31662489599,394457991,104033894,8594104320,1261976371,135696384,47041413,151693171,55921131544,3709034496000,398042726400000,1.0,0.015077,0.0001404903
MS-MARCO-RBAC,8000000,8000000,100,10000,0.5,0.1,45232128000,31662489599,418883340,226160640,8594104320,1424812032,135696384,63324979,176444191,56271553886,3709034496000,398042726400000,1.0,0.01517148,0.0001413706
MS-MARCO-RBAC,8000000,8000000,100,10000,0.5,0.5,45232128000,31662489599,527440447,768946176,8594104320,2148526080,135696384,135696384,286448726,57828986517,3709034496000,398042726400000,1.0,0.01559139,0.0001452834
MS-MARCO-RBAC,8000000,8000000,100,10000,0.8,0.01,45232128000,31662489599,394457991,104033894,8865497088,1747769425,135696384,47041413,190556615,56717180810,3980427264000,398042726400000,1.0,0.01424902,0.0001424902
MS-MARCO-RBAC,8000000,8000000,100,10000,0.8,0.1,45232128000,31662489599,418883340,226160640,8865497088,2008306483,135696384,63324979,223123747,57173120661,3980427264000,398042726400000,1.0,0.01436356,0.0001436356
MS-MARCO-RBAC,8000000,8000000,100,10000,0.8,0.5,45232128000,31662489599,527440447,768946176,8865497088,3166248960,135696384,135696384,367866557,59199519996,3980427264000,398042726400000,1.0,0.01487265,0.0001487265
MS-MARCO-RBAC,8000000,8000000,100,10000,0.95,0.01,45232128000,31662489599,394457991,104033894,9001193472,1990665953,135696384,47041413,209988337,57115205444,4116123647999,398042726400000,1.0,0.01387597,0.0001434901
MS-MARCO-RBAC,8000000,8000000,100,10000,0.95,0.1,45232128000,31662489599,418883340,226160640,9001193472,2300053708,135696384,63324979,246463525,57623904048,4116123647999,398042726400000,1.0,0.01399956,0.0001447681
MS-MARCO-RBAC,8000000,8000000,100,10000,0.95,0.5,45232128000,31662489599,527440447,768946176,9001193472,3675110400,135696384,135696384,408575472,59884786735,4116123647999,398042726400000,1.0,0.01454883,0.0001504481
MS-MARCO-RBAC,8000000,8000000,100,100000,0.2,0.01,45232128000,31662489599,394457991,104033894,8322711552,776183316,135696384,47041413,112829726,55125082276,3437641728000,3980427264000000,1.0,0.01603573,1.3849e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.2,0.1,45232128000,31662489599,418883340,226160640,8322711552,841317580,135696384,63324979,129764635,55369987110,3437641728000,3980427264000000,1.0,0.01610697,1.39106e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.2,0.5,45232128000,31662489599,527440447,768946176,8322711552,1130803200,135696384,135696384,205030896,56458453039,3437641728000,3980427264000000,1.0,0.0164236,1.4184e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.5,0.01,45232128000,31662489599,394457991,104033894,8594104320,1261976371,135696384,47041413,151693171,55921131544,3709034496000,3980427264000000,1.0,0.015077,1.4049e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.5,0.1,45232128000,31662489599,418883340,226160640,8594104320,1424812032,135696384,63324979,176444191,56271553886,3709034496000,3980427264000000,1.0,0.01517148,1.41371e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.5,0.5,45232128000,31662489599,527440447,768946176,8594104320,2148526080,135696384,135696384,286448726,57828986517,3709034496000,3980427264000000,1.0,0.01559139,1.45283e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.8,0.01,45232128000,31662489599,394457991,104033894,8865497088,1747769425,135696384,47041413,190556615,56717180810,3980427264000,3980427264000000,1.0,0.01424902,1.4249e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.8,0.1,45232128000,31662489599,418883340,226160640,8865497088,2008306483,135696384,63324979,223123747,57173120661,3980427264000,3980427264000000,1.0,0.01436356,1.43636e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.8,0.5,45232128000,31662489599,527440447,768946176,8865497088,3166248960,135696384,135696384,367866557,59199519996,3980427264000,3980427264000000,1.0,0.01487265,1.48727e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.95,0.01,45232128000,31662489599,394457991,104033894,9001193472,1990665953,135696384,47041413,209988337,57115205444,4116123647999,3980427264000000,1.0,0.01387597,1.4349e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.95,0.1,45232128000,31662489599,418883340,226160640,9001193472,2300053708,135696384,63324979,246463525,57623904048,4116123647999,3980427264000000,1.0,0.01399956,1.44768e-05
MS-MARCO-RBAC,8000000,8000000,100,100000,0.95,0.5,45232128000,31662489599,527440447,768946176,9001193472,3675110400,135696384,135696384,408575472,59884786735,4116123647999,3980427264000000,1.0,0.01454883,1.50448e-05
MS-MARCO-RBAC,8000000,8000000,500,10000,0.2,0.01,45232128000,31662489599,467612758,104033894,8322711552,776183316,135696384,47041413,118682108,55204089425,17188208640000,398042726400000,1.0,0.00321174,0.0001386889
MS-MARCO-RBAC,8000000,8000000,500,10000,0.2,0.1,45232128000,31662489599,492038107,226160640,8322711552,841317580,135696384,63324979,135617016,55448994258,17188208640000,398042726400000,1.0,0.00322599,0.0001393041
MS-MARCO-RBAC,8000000,8000000,500,10000,0.2,0.5,45232128000,31662489599,600595215,768946176,8322711552,1130803200,135696384,135696384,210883278,56537460189,17188208640000,398042726400000,1.0,0.00328932,0.0001420387
MS-MARCO-RBAC,8000000,8000000,500,10000,0.5,0.01,45232128000,31662489599,467612758,104033894,8594104320,1261976371,135696384,47041413,157545552,56000138692,18545172480000,398042726400000,1.0,0.00301966,0.0001406888
MS-MARCO-RBAC,8000000,8000000,500,10000,0.5,0.1,45232128000,31662489599,492038107,226160640,8594104320,1424812032,135696384,63324979,182296573,56350561035,18545172480000,398042726400000,1.0,0.00303856,0.0001415691
MS-MARCO-RBAC,8000000,8000000,500,10000,0.5,0.5,45232128000,31662489599,600595215,768946176,8594104320,2148526080,135696384,135696384,292301108,57907993667,18545172480000,398042726400000,1.0,0.00312254,0.0001454819
MS-MARCO-RBAC,8000000,8000000,500,10000,0.8,0.01,45232128000,31662489599,467612758,104033894,8865497088,1747769425,135696384,47041413,196408996,56796187958,19902136320000,398042726400000,1.0,0.00285377,0.0001426887
MS-MARCO-RBAC,8000000,8000000,500,10000,0.8,0.1,45232128000,31662489599,492038107,226160640,8865497088,2008306483,135696384,63324979,228976129,57252127810,19902136320000,398042726400000,1.0,0.00287668,0.0001438341
