dataset,N,N_indexed,method,pattern,frac,seed,result_leakage,scored_leakage,frontier_leakage,expanded_leakage,returned_leakage,drift10_vs_oracle_rebuild,recall10_vs_exact_topk,latency_mean_ms,latency_p95_ms,latency_p99_ms,memory_ratio_vs_shared,revocation_throughput,compliance_window_s,build_time_s,update_time_ms,operational_leakage
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,0,0.0,0.11032934,0.15495922,0.15003792,0.0,0.042706,0.935889,7.472032,14.171738,19.914085,1.028651,88830.221,3423.754751,10.425,0.011599,0.10959829
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,1,0.0,0.10686687,0.13372592,0.14273246,0.0,0.043371,0.937684,8.106492,13.368314,21.02505,1.042531,98106.884,3633.000723,10.157,0.010338,0.10213655
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,2,0.0,0.1147001,0.13715916,0.15574226,0.0,0.035541,0.936918,7.633087,13.968027,20.371205,1.018696,86267.963,3231.366288,9.635,0.011071,0.10852188
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,3,0.0,0.10915724,0.13891732,0.1556719,0.0,0.040277,0.934976,8.044255,13.599699,21.75131,1.028289,96233.845,3328.804806,9.645,0.011641,0.10611671
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,4,0.0,0.10948368,0.14556571,0.15074584,0.0,0.035735,0.936293,7.889137,14.939722,21.125714,0.996577,92520.652,3905.313995,10.15,0.011295,0.10721262
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,5,0.0,0.12299909,0.14207345,0.13948741,0.0,0.042293,0.939491,7.899158,14.594669,21.083179,1.039858,90874.079,3586.021542,10.306,0.011232,0.11030737
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,6,0.0,0.1140601,0.15257827,0.17839014,0.0,0.040984,0.936656,7.540062,14.792399,18.182335,1.01234,87368.136,3680.992493,9.683,0.011879,0.11239115
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,7,0.0,0.11409615,0.14418671,0.14737062,0.0,0.041607,0.939111,7.806047,13.469935,21.981096,1.028783,90402.357,3317.668047,11.15,0.012362,0.10882141
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,8,0.0,0.10293232,0.14044616,0.13269244,0.0,0.040258,0.93608,7.460069,14.090285,20.553466,1.010942,89898.692,3569.371942,10.548,0.010757,0.10043181
LegalBench-RAG,1200000,1200000,Post-filter,random,0.1,9,0.0,0.1027922,0.14986708,0.17991244,0.0,0.037596,0.936525,7.381187,13.50413,21.218709,1.028676,89026.105,3393.376828,9.535,0.011139,0.10533914
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,0,0.0,0.03849031,0.05028082,0.05617348,0.0,0.01706,0.96218,8.268645,16.316189,22.686225,1.191168,22376.54,0.050367,10.047,0.044337,0.03738655
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,1,0.0,0.02490895,0.03245455,0.03489681,0.0,0.01601,0.960433,8.860468,15.79068,23.291291,1.177696,25105.389,0.047378,10.404,0.040346,0.02397359
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,2,0.0,0.03827729,0.04793411,0.06063856,0.0,0.023887,0.960922,9.072096,15.058215,21.586174,1.179718,24375.987,0.048918,10.878,0.042721,0.03663448
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,3,0.0,0.03882561,0.04893685,0.04820993,0.0,0.006184,0.966274,8.903683,15.862102,26.134738,1.177118,24380.727,0.04964,9.165,0.041556,0.03678666
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,4,0.0,0.03111596,0.03976422,0.04346806,0.0,0.016619,0.964346,8.987619,17.087167,24.303518,1.183256,24435.552,0.050691,10.044,0.042269,0.02977647
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,5,0.0,0.02885085,0.03633751,0.03822851,0.0,0.01566,0.957855,9.429169,16.177814,23.913398,1.153354,25616.857,0.050421,9.97,0.041553,0.02745739
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,6,0.0,0.04299494,0.06044573,0.06376693,0.0,0.018382,0.961465,9.035295,15.400517,23.244401,1.18331,23797.076,0.052723,11.137,0.041508,0.04251853
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,7,0.0,0.0257901,0.03284585,0.04211743,0.0,0.020449,0.963079,8.745422,16.375121,23.801015,1.174177,24418.33,0.052314,10.837,0.041731,0.02521015
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,8,0.0,0.0381197,0.05130494,0.0537889,0.0,0.016817,0.956438,8.77624,16.74379,23.988654,1.184414,23681.095,0.046765,9.479,0.040511,0.03644482
LegalBench-RAG,1200000,1200000,ACORN,random,0.1,9,0.0,0.03308913,0.04312932,0.04698531,0.0,0.009733,0.965028,8.992085,15.93041,22.606317,1.176446,22109.732,0.054602,10.592,0.040547,0.0316696
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,0,0.0,0.03033105,0.03853498,0.04166983,0.0,0.005792,0.964044,8.268973,17.526126,23.542529,1.136899,24842.265,0.038218,9.868,0.037494,0.02882988
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,1,0.0,0.02938619,0.03687932,0.03781011,0.0,0.011524,0.965102,8.055331,15.832678,23.146249,1.151984,26269.059,0.037183,10.028,0.040792,0.02832326
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,2,0.0,0.03072199,0.03970588,0.04388787,0.0,0.017348,0.965455,8.532796,15.593719,24.33474,1.166196,25873.364,0.040863,9.749,0.041889,0.029754
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,3,0.0,0.03310521,0.04033285,0.04225065,0.0,0.009663,0.962181,8.495232,17.400125,24.298671,1.154255,26269.021,0.039888,10.101,0.037959,0.03131865
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,4,0.0,0.02782634,0.03052672,0.03552835,0.0,0.014233,0.967116,8.549292,15.529752,23.693664,1.154255,25539.148,0.039762,10.138,0.038607,0.02530816
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,5,0.0,0.02110443,0.02567168,0.02873176,0.0,0.014721,0.962412,9.093198,16.884775,24.822075,1.142262,25333.87,0.039637,9.777,0.037228,0.01987885
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,6,0.0,0.03310838,0.04349463,0.05470838,0.0,0.018235,0.967565,8.245357,17.531649,22.996019,1.129199,25309.91,0.040301,10.317,0.038695,0.03290293
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,7,0.0,0.01856074,0.02342745,0.02604129,0.0,0.009642,0.961969,8.686552,16.937627,21.783402,1.156908,23335.022,0.038906,10.78,0.040946,0.01774652
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,8,0.0,0.02179388,0.02671991,0.03042458,0.0,0.018837,0.962697,9.047326,16.54593,25.237944,1.162122,25498.3,0.039854,9.981,0.039204,0.02065061
LegalBench-RAG,1200000,1200000,HoneyBee,random,0.1,9,0.0,0.02094006,0.02701238,0.03633232,0.0,0.015484,0.965531,8.336536,15.872367,23.125846,1.162236,25714.744,0.042275,11.111,0.040008,0.02087297
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,0,0.0,0.04689964,0.05867563,0.06772851,0.0,0.023332,0.958407,8.58933,15.287666,21.90015,1.077154,17011.0,8.57682,10.422,0.058785,0.04538166
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,1,0.0,0.05843246,0.07383932,0.08391608,0.0,0.022162,0.955035,8.082967,15.473285,22.389852,1.087104,17011.0,7.764659,9.676,0.058785,0.05696267
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,2,0.0,0.05306828,0.07099599,0.08125088,0.0,0.025387,0.96126,8.398839,16.962726,22.478126,1.084904,17011.0,7.932666,9.89,0.058785,0.0528506
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,3,0.0,0.05369516,0.0651838,0.08065127,0.0,0.017978,0.954044,8.59024,15.0162,23.617759,1.085551,17011.0,7.77461,11.3,0.058785,0.05157143
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,4,0.0,0.04311777,0.05991623,0.07974771,0.0,0.020757,0.956811,8.395706,15.791113,22.886782,1.091493,17011.0,8.220301,9.936,0.058785,0.04378565
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,5,0.0,0.05070162,0.06424496,0.0777494,0.0,0.020528,0.95493,8.466292,16.856788,23.901489,1.073404,17011.0,7.399481,10.646,0.058785,0.04914381
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,6,0.0,0.05568739,0.07417674,0.07665235,0.0,0.017363,0.956224,8.241649,15.949022,23.654536,1.076665,17011.0,8.045492,11.155,0.058785,0.05415736
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,7,0.0,0.0543067,0.07048342,0.08200338,0.0,0.020128,0.952551,8.367373,16.068831,24.693868,1.082597,17011.0,8.082963,10.029,0.058785,0.05316832
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,8,0.0,0.04959163,0.07020173,0.08201117,0.0,0.022507,0.948698,8.443344,15.196905,21.892913,1.067238,17011.0,8.043438,10.598,0.058785,0.05071351
LegalBench-RAG,1200000,1200000,SPFresh,random,0.1,9,0.0,0.05148194,0.06581138,0.06990344,0.0,0.016041,0.955733,8.447586,16.417174,21.680599,1.077926,17011.0,8.046902,10.405,0.058785,0.0499138
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,0,0.0,0.0,0.0,0.0,0.0,0.006795,0.94731,9.846708,17.935622,24.486854,0.946794,2461.0,0.118613,9.279,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,1,0.0,0.0,0.0,0.0,0.0,0.008281,0.944181,10.015522,19.16129,27.432062,0.941957,2461.0,0.126528,10.246,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,2,0.0,0.0,0.0,0.0,0.0,0.005815,0.948466,10.208638,18.104244,26.117067,0.968173,2461.0,0.123443,9.617,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,3,0.0,0.0,0.0,0.0,0.0,0.010284,0.952244,10.110185,18.638236,28.159023,0.971117,2461.0,0.118035,10.447,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,4,0.0,0.0,0.0,0.0,0.0,0.005278,0.949916,9.708153,19.083735,24.430124,0.958266,2461.0,0.126057,10.221,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,5,0.0,0.0,0.0,0.0,0.0,0.012695,0.946123,10.12507,18.286541,27.998548,0.976274,2461.0,0.124987,10.434,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,6,0.0,0.0,0.0,0.0,0.0,0.010012,0.941683,10.115659,17.931983,26.572021,0.95857,2461.0,0.118163,9.154,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,7,0.0,0.0,0.0,0.0,0.0,0.006991,0.94715,9.769045,18.934932,24.852936,0.961503,2461.0,0.110011,9.523,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,8,0.0,0.0,0.0,0.0,0.0,0.006789,0.94532,9.80727,18.029471,24.633256,0.956669,2461.0,0.120863,10.412,0.406339,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.1,9,0.0,0.0,0.0,0.0,0.0,0.016549,0.945728,9.406774,17.80971,27.188628,0.961984,2461.0,0.121835,10.612,0.406339,0.0
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,0,0.0,0.0305525,0.0381469,0.04348447,0.0,0.014959,0.968827,9.458166,16.004625,23.430876,1.045654,10931.0,228.484926,9.866,0.091483,0.02928206
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,1,0.0,0.03082014,0.04027022,0.04983363,0.0,0.011051,0.967333,9.239587,16.976231,23.792063,1.06282,10931.0,213.689163,10.135,0.091483,0.03048714
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,2,0.0,0.03870373,0.05399086,0.05746618,0.0,0.018673,0.9685,9.132643,15.429432,24.231002,1.045673,10931.0,227.010691,10.061,0.091483,0.03763906
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,3,0.0,0.0343488,0.04344804,0.04985605,0.0,0.018755,0.966285,8.98765,17.183359,25.808697,1.069303,10931.0,220.291785,10.302,0.091483,0.03325359
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,4,0.0,0.02939954,0.03963287,0.04303326,0.0,0.017315,0.967111,9.195238,17.167475,24.534416,1.057066,10931.0,201.874114,9.491,0.091483,0.02868971
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,5,0.0,0.02595992,0.03199766,0.03723048,0.0,0.010783,0.970409,9.226597,15.494073,25.598837,1.054818,10931.0,237.204445,9.841,0.091483,0.0250986
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,6,0.0,0.04201841,0.05578898,0.06245519,0.0,0.013821,0.964384,9.658729,17.178402,24.191673,1.065261,10931.0,208.099922,10.179,0.091483,0.04065753
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,7,0.0,0.03184788,0.04172271,0.04552261,0.0,0.007041,0.963121,9.398849,16.92299,25.202241,1.064995,10931.0,219.902621,10.273,0.091483,0.03099152
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,8,0.0,0.03336099,0.04342265,0.05296493,0.0,0.011883,0.96684,9.420684,17.421468,22.628321,1.054675,10931.0,232.503244,9.781,0.091483,0.03257677
LegalBench-RAG,1200000,1200000,Periodic-rebuild,random,0.1,9,0.0,0.02969478,0.0414189,0.0378862,0.0,0.015093,0.964883,8.921607,16.746774,23.008808,1.062182,10931.0,228.733942,9.755,0.091483,0.02914262
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,0,0.0,0.0,0.0,0.0,0.0,0.000554,0.97467,7.607576,13.46385,20.63213,36.725326,4000.0,0.07611,20.549,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,1,0.0,0.0,0.0,0.0,0.0,0.002887,0.981886,7.75483,13.419909,19.80252,37.178057,4000.0,0.081061,20.775,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.975579,7.333773,13.543848,19.356558,38.306851,4000.0,0.084257,19.417,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,3,0.0,0.0,0.0,0.0,0.0,0.001202,0.980967,7.240879,13.780976,19.944828,37.98137,4000.0,0.080055,20.169,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.977243,7.391769,13.930429,20.590626,38.011502,4000.0,0.085073,21.618,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,5,0.0,0.0,0.0,0.0,0.0,0.00846,0.973592,7.461333,13.922226,20.41772,37.82151,4000.0,0.0804,20.054,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,6,0.0,0.0,0.0,0.0,0.0,0.000208,0.981235,7.769285,14.279641,20.698641,38.090439,4000.0,0.0754,20.047,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,7,0.0,0.0,0.0,0.0,0.0,0.003997,0.981623,7.619737,13.759674,20.042455,38.200034,4000.0,0.07695,21.008,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,8,0.0,0.0,0.0,0.0,0.0,0.003253,0.976962,7.244523,13.027748,19.903768,37.770587,4000.0,0.076114,20.222,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-role-index,random,0.1,9,0.0,0.0,0.0,0.0,0.0,0.00345,0.980714,7.139899,13.999979,21.296359,37.563995,4000.0,0.077631,20.383,0.25,0.0
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,0,0.0,0.0,0.0,0.0,0.0,0.005596,0.977515,7.165598,13.493636,20.532798,3009.561593,3496.066,0.058535,50.937,0.262235,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,1,0.0,0.0,0.0,0.0,0.0,0.007896,0.975841,7.492663,14.422751,19.378856,3042.227049,3603.719,0.057663,50.894,0.309913,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.976361,7.561227,13.712509,20.197876,3062.913609,3332.219,0.061053,48.58,0.273524,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.981324,7.896018,14.1388,19.428655,2982.531894,3577.131,0.057019,54.251,0.28472,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.976843,7.425041,14.122261,19.916974,2959.712753,3644.176,0.064805,45.84,0.289583,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,5,0.0,0.0,0.0,0.0,0.0,0.001427,0.973342,7.096887,14.075099,19.923414,2985.995024,3338.198,0.055264,48.367,0.287649,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,6,0.0,0.0,0.0,0.0,0.0,0.001482,0.973664,7.310913,14.418771,19.772728,2977.939357,3509.95,0.058259,48.134,0.300783,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.97691,7.433916,13.541874,21.78487,3055.335924,3523.458,0.059967,49.453,0.276312,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,8,0.0,0.0,0.0,0.0,0.0,0.002943,0.978936,7.517383,12.947204,20.044124,2982.824715,3350.348,0.062154,50.432,0.282185,
LegalBench-RAG,1200000,1200000,Per-user-index,random,0.1,9,0.0,0.0,0.0,0.0,0.0,0.004575,0.979508,7.477103,13.815545,19.841249,2995.582151,3185.988,0.061377,50.044,0.292511,
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,0,0.0,0.0,0.0,0.0,0.0,0.012499,0.980807,8.506118,16.371194,23.456914,1.101485,49975.0,0.006248,10.264,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,1,0.0,0.0,0.0,0.0,0.0,0.003868,0.983874,8.497718,15.498055,22.283012,1.10249,49975.0,0.005793,10.501,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.975644,8.734702,15.262397,23.403424,1.095089,49975.0,0.006444,10.486,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,3,0.0,0.0,0.0,0.0,0.0,0.000211,0.974016,8.698152,15.841703,23.034947,1.093098,49975.0,0.006394,10.157,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,4,0.0,0.0,0.0,0.0,0.0,0.001812,0.977278,8.497804,15.340818,22.632812,1.099704,49975.0,0.006218,9.894,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.970671,8.515511,15.653834,23.510052,1.091417,49975.0,0.005736,9.403,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.976977,8.270169,15.892874,23.655149,1.089544,49975.0,0.006051,9.935,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.978553,8.281857,14.862971,24.591448,1.077764,49975.0,0.005933,9.242,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,8,0.0,0.0,0.0,0.0,0.0,0.002565,0.979933,8.449564,14.390342,21.647014,1.108512,49975.0,0.006004,10.213,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe,random,0.1,9,0.0,0.0,0.0,0.0,0.0,0.004144,0.975012,8.54018,15.380035,22.094691,1.076177,49975.0,0.006552,9.785,0.02001,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,0,0.0,0.0,0.0,0.0,0.0,0.012895,0.924617,7.792063,15.366189,20.737931,1.024163,40210.457,0.004961,9.715,0.024753,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,1,0.0,0.0,0.0,0.0,0.0,0.007931,0.92698,8.076065,14.512957,19.485856,1.023443,42230.955,0.004472,9.296,0.023925,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,2,0.0,0.0,0.0,0.0,0.0,0.018406,0.924414,7.663388,14.284334,18.75486,1.002863,39940.408,0.005088,9.905,0.022876,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,3,0.0,0.0,0.0,0.0,0.0,0.014185,0.925732,7.458596,14.592773,22.022561,1.041353,41515.418,0.004908,11.217,0.023476,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,4,0.0,0.0,0.0,0.0,0.0,0.017433,0.927037,7.847305,13.885975,19.665498,1.019497,43492.129,0.005288,10.222,0.024756,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,5,0.0,0.0,0.0,0.0,0.0,0.004431,0.924762,8.111993,14.14643,20.546664,1.007816,42166.171,0.004881,11.056,0.022425,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,6,0.0,0.0,0.0,0.0,0.0,0.013002,0.926851,7.415945,14.884634,19.784894,1.012604,41859.909,0.004929,10.02,0.024118,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,7,0.0,0.0,0.0,0.0,0.0,0.011962,0.929936,7.450039,13.072516,20.348753,1.029593,43504.579,0.00466,9.574,0.022862,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,8,0.0,0.0,0.0,0.0,0.0,0.007494,0.926827,7.731684,14.582536,19.569934,1.027268,37742.485,0.004875,9.839,0.024659,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.1,9,0.0,0.0,0.0,0.0,0.0,0.016618,0.931767,7.83752,14.803767,19.563357,1.019607,39670.728,0.004789,9.857,0.024207,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,0,0.0,0.0929816,0.11980189,0.13095759,0.0,0.032258,0.960635,7.97449,14.477582,20.247935,1.030926,46448.431,0.0048,9.548,0.022163,0.08985494
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,1,0.0,0.08484703,0.11034121,0.11811854,0.0,0.038208,0.950479,7.619732,14.436537,20.666189,1.01285,45668.336,0.004955,9.902,0.021701,0.08235269
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,2,0.0,0.10389572,0.11829977,0.14598966,0.0,0.028528,0.952987,7.435914,14.509934,20.744427,1.022495,43699.266,0.004759,10.482,0.022343,0.0964902
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,3,0.0,0.08415019,0.10483893,0.11367837,0.0,0.026831,0.958613,7.474854,14.96142,18.697188,1.012048,49171.535,0.004803,10.037,0.020205,0.08069316
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,4,0.0,0.10138267,0.13283168,0.14929223,0.0,0.043424,0.957402,7.4479,14.062413,20.415224,1.026989,46161.148,0.005055,9.597,0.02157,0.10088243
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,5,0.0,0.09108689,0.10973703,0.13614082,0.0,0.037595,0.956937,7.486156,14.246204,20.598066,1.027964,44369.017,0.0052,10.467,0.0242,0.08733954
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,6,0.0,0.09203973,0.12343906,0.13039148,0.0,0.036355,0.955214,7.910201,13.668177,20.884074,1.018517,48620.378,0.005116,10.728,0.02409,0.08953952
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,7,0.0,0.08900085,0.10814485,0.11489362,0.0,0.034453,0.953487,7.756612,14.281045,20.281268,1.044446,46569.351,0.005222,10.23,0.023008,0.08286553
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,8,0.0,0.10233858,0.12261637,0.13410779,0.0,0.042987,0.958939,7.537042,13.78078,18.345574,1.046667,49164.133,0.005099,10.077,0.021182,0.09545182
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.1,9,0.0,0.10243424,0.12716202,0.12858043,0.0,0.029057,0.960098,7.439837,13.654659,21.564886,1.03408,44513.958,0.005072,9.339,0.024001,0.09632336
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.979119,7.280101,15.136803,18.975491,0.989303,1185.051,616.469834,9.757,0.812149,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.982463,7.137726,14.223635,20.699596,1.002081,1305.376,615.400154,10.907,0.788515,0.0
LegalBench-RAG,1200000,1200000,Oracle,random,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.980763,7.608936,13.661852,19.64539,1.005342,1078.77,631.759298,9.931,0.853824,0.0
