dataset,N,N_indexed,method,user_type,frac,seed,topk_drift_before_after,recall_before,recall_after,route_trace_drift_before_after,latency_delta_ms,distance_computation_delta_rate,expanded_nodes_delta_rate
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,6,0.001193,0.977663,0.977036,0.003571,0.009694,0.001464,0.002697
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,7,0.001574,0.975615,0.977078,0.002521,0.012223,0.00137,0.001357
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,8,0.003574,0.977616,0.976246,0.002791,0.004768,0.002048,0.001839
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.1,9,0.001515,0.976283,0.977438,0.001881,0.02175,0.001939,0.002556
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,0,0.001961,0.976536,0.976334,0.001094,0.017966,0.002095,0.002022
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,1,0.002312,0.97697,0.978268,0.002243,0.004894,0.0,0.001795
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,2,0.001604,0.979199,0.974587,0.001415,0.018375,0.001918,0.002376
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,3,0.000205,0.97629,0.978838,0.0,0.020393,0.003499,0.003045
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,4,0.002941,0.979018,0.978451,0.002333,0.021479,0.001321,0.00181
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,5,0.000939,0.979825,0.97506,0.0,0.012607,0.002973,0.001855
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,6,0.00236,0.976712,0.976979,0.001605,0.019301,0.002427,0.002581
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,7,0.000629,0.976855,0.9735,0.001101,0.022593,0.00147,0.003298
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,8,0.002563,0.97755,0.978196,0.001954,0.024952,0.004615,0.001865
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.1,9,0.002191,0.976529,0.978346,0.002235,0.012173,0.002121,0.002273
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,0,0.002289,0.977176,0.974643,0.002013,0.019339,0.0,0.000384
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,1,0.001511,0.974827,0.977965,0.002341,0.010068,0.002969,0.001992
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,2,9.8e-05,0.979084,0.975452,0.0,0.007069,0.001157,0.001694
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,3,0.002796,0.978615,0.97804,0.003014,0.014245,0.002615,0.001419
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,4,0.00071,0.975084,0.97478,0.0,0.019359,0.003629,0.001448
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,5,0.001807,0.976843,0.976093,0.003096,0.020609,0.000979,0.003265
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,6,0.00418,0.975195,0.977295,0.00377,0.017914,0.001856,0.001958
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,7,0.001987,0.975706,0.977606,0.003669,0.023289,0.001577,0.000761
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,8,0.001205,0.976488,0.978073,0.000522,0.020341,0.002997,0.001155
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.1,9,0.00259,0.977995,0.974889,0.002334,0.013936,0.002293,0.000934
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,0,0.007881,0.977864,0.976462,0.005916,0.010114,0.002096,0.002649
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,1,0.01049,0.977007,0.97664,0.008752,0.020577,0.002764,0.003393
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,2,0.009608,0.975728,0.976962,0.007038,0.019942,0.000304,0.001829
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,3,0.0071,0.973684,0.977728,0.004467,0.012274,0.000292,0.000575
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,4,0.008794,0.979124,0.976753,0.006267,0.013722,0.001946,0.0
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,5,0.009411,0.97815,0.976952,0.007687,0.017649,0.002445,0.001006
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,6,0.008505,0.975688,0.978239,0.005993,0.018636,0.003214,2.2e-05
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,7,0.004023,0.978195,0.978178,0.003349,0.015913,0.002149,0.000324
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,8,0.007807,0.977032,0.974892,0.007541,0.007693,0.003806,0.001321
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.2,9,0.006946,0.973665,0.976034,0.006262,0.015209,0.002741,0.001421
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,0,0.002948,0.976141,0.976398,0.00242,0.015318,0.003954,0.002811
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,1,0.002426,0.977917,0.979248,0.001101,0.014999,0.003261,0.001857
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,2,0.000558,0.979616,0.975773,0.0,0.008223,0.002304,0.001839
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,3,0.002271,0.977763,0.977164,0.002335,0.014551,0.002121,0.000211
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,4,0.003079,0.976895,0.978899,0.001897,0.018209,0.001883,0.002659
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,5,0.0,0.973977,0.978786,0.0,0.019769,0.002391,8.3e-05
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,6,0.002101,0.974407,0.978999,0.002521,0.00951,0.00426,0.002867
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,7,0.001613,0.974776,0.975944,0.002561,0.008712,0.002633,0.002095
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,8,0.001049,0.97844,0.976615,0.001881,0.013814,0.00102,0.003843
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.2,9,0.001369,0.977258,0.97784,0.001162,0.024886,0.001506,0.003012
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,0,0.004111,0.975823,0.977779,0.003822,0.014561,0.002804,0.002426
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,1,0.000434,0.97659,0.978029,0.001139,0.018137,0.000717,0.002996
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,2,0.00095,0.97917,0.976694,0.0,0.00692,0.002133,0.004062
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,3,0.0,0.977418,0.977123,0.0,0.009983,0.001834,0.0014
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,4,0.00245,0.977652,0.975706,0.000199,0.018008,0.004802,0.002594
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,5,0.001936,0.975903,0.975044,0.002294,0.017627,0.002961,0.000891
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,6,0.000642,0.976231,0.976796,0.001134,0.023618,0.002686,0.00276
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,7,0.003603,0.980572,0.978917,0.002761,0.012167,0.00092,0.003016
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,8,0.001203,0.976286,0.975048,0.002393,0.018995,0.002315,0.000402
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.2,9,0.001114,0.976047,0.977294,0.002574,0.028345,0.003035,0.003196
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,0,0.000675,0.978475,0.978437,0.001569,0.012448,0.001774,0.002022
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,1,0.002163,0.977373,0.976473,0.003079,0.01209,0.001747,0.00332
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,2,0.001672,0.976448,0.975614,0.0,0.021471,0.002993,0.001311
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,3,0.002636,0.97734,0.977594,0.00224,0.021328,0.002018,0.002828
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,4,0.002302,0.978297,0.976636,0.002996,0.024575,0.002084,0.0
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,5,0.000647,0.980393,0.977245,0.0,0.011471,0.003791,0.004203
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,6,4.3e-05,0.974883,0.977689,0.000782,0.018032,0.003418,0.003892
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,7,0.003329,0.976588,0.976867,0.003409,0.016978,0.002567,0.002264
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,8,0.002905,0.975702,0.978757,0.001284,0.009972,0.001713,0.000894
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.2,9,0.002354,0.975335,0.977956,0.001667,0.012511,0.001336,0.000613
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,0,0.014573,0.975483,0.976957,0.012568,0.005675,0.002732,0.002827
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,1,0.009631,0.978757,0.977317,0.007553,0.017497,0.004159,0.0
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,2,0.013055,0.977221,0.976682,0.011228,0.015728,0.002864,0.002062
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,3,0.013519,0.974548,0.976069,0.01135,0.006943,0.003571,0.002295
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,4,0.008489,0.977253,0.978268,0.007377,0.007438,0.00215,0.003243
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,5,0.006565,0.976794,0.978291,0.0057,0.015476,0.002334,0.0011
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,6,0.009549,0.97721,0.975735,0.008751,0.019799,0.002898,0.001946
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,7,0.010597,0.977605,0.975707,0.008165,0.003448,0.003012,0.001931
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,8,0.009228,0.97777,0.977545,0.009236,0.010906,0.00293,0.002244
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.3,9,0.011444,0.976059,0.977928,0.008417,0.003261,0.00125,0.001835
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,0,0.001689,0.977366,0.976798,0.001625,0.020592,0.002449,0.001668
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,1,0.003646,0.975312,0.975783,0.003956,0.021542,0.001779,0.002144
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,2,0.002723,0.977711,0.97869,0.002682,0.007827,0.003521,0.001311
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,3,0.002824,0.978652,0.978838,0.003356,0.014324,0.002698,0.001421
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,4,0.002064,0.977819,0.976481,0.001814,0.009767,0.002484,0.00184
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,5,0.003614,0.977111,0.977883,0.001875,0.019925,0.00367,0.000644
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,6,0.001308,0.977827,0.976416,0.001252,0.010436,0.002548,0.001904
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,7,0.002782,0.975589,0.978116,0.003606,0.026377,0.0,0.001249
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,8,0.002869,0.976856,0.977258,0.002607,0.020596,0.002696,0.003906
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.3,9,0.003043,0.978651,0.979514,0.001914,0.016211,0.003852,0.000775
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,0,0.001931,0.976945,0.977186,0.001833,0.008386,0.001856,0.002122
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,1,0.00177,0.976683,0.97485,0.003298,0.014151,0.000684,0.003301
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,2,0.000834,0.97607,0.97736,0.001404,0.018038,0.00081,0.003404
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,3,0.002232,0.977456,0.977673,0.002095,0.018237,0.002477,0.002236
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,4,0.004075,0.976821,0.977752,0.003715,0.016844,0.001535,0.003611
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,5,0.001999,0.97776,0.977662,0.001134,0.013112,0.002651,0.00218
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,6,0.002754,0.976614,0.978302,0.001158,0.009028,0.002227,0.003363
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,7,0.002294,0.976714,0.975329,0.002266,0.016582,0.00096,0.002094
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,8,0.001678,0.974383,0.975913,0.002802,0.019901,0.002274,0.000365
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.3,9,0.00168,0.980426,0.977783,0.001193,0.016192,0.004027,0.000481
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,0,0.001556,0.977611,0.973303,0.001311,0.022275,0.003876,0.00186
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,1,0.002531,0.976391,0.975233,0.002216,0.01023,0.001971,0.002274
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,2,0.001801,0.976601,0.978911,0.000928,0.011709,0.002508,0.00209
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,3,0.001672,0.976218,0.974047,0.001948,0.009988,0.001833,0.003025
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,4,0.001336,0.97555,0.975832,0.003237,0.021334,0.003193,0.001421
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,5,0.002597,0.977294,0.979169,0.00132,0.013157,0.001929,0.002167
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,6,0.003386,0.980176,0.977434,0.002341,0.008938,0.002143,0.002351
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,7,0.002702,0.977151,0.97484,0.003348,0.02109,0.000842,0.003187
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,8,0.003877,0.97878,0.974612,0.002275,0.013654,0.000205,0.002775
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.3,9,0.001606,0.977633,0.975681,0.002203,0.020667,0.002497,0.002774
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,0,0.012243,0.979501,0.980171,0.009041,0.006787,0.0,0.001652
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,1,0.015832,0.976572,0.974958,0.011842,0.029412,0.001017,0.002523
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,2,0.012141,0.981381,0.975534,0.011573,0.011696,0.00211,0.003568
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,3,0.008802,0.973782,0.978033,0.007431,0.008085,0.001332,0.0021
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,4,0.013978,0.976373,0.975569,0.011086,0.019091,0.002745,0.003761
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,5,0.012009,0.979991,0.9746,0.010692,0.016476,9.3e-05,0.001099
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,6,0.01309,0.978107,0.977728,0.010753,0.015687,0.003129,0.002844
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,7,0.009325,0.979726,0.975434,0.006479,0.020631,0.001357,0.00059
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,8,0.011903,0.976244,0.978752,0.009154,0.016296,0.002351,0.00258
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.4,9,0.009597,0.978179,0.9777,0.008067,0.015179,0.002814,0.002311
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,0,0.002536,0.97658,0.976574,0.002136,0.022481,0.003444,0.002339
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,1,0.004641,0.978652,0.974923,0.003798,0.017469,0.003011,0.001733
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,2,0.002498,0.979747,0.975069,0.003775,0.011972,0.001537,0.00099
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,3,0.003955,0.975809,0.975659,0.005767,0.013627,0.00198,0.002689
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,4,0.001823,0.974931,0.977713,0.002388,0.018106,0.001002,0.002584
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,5,0.002372,0.974995,0.975272,0.001251,0.022544,0.001578,0.002974
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,6,0.002719,0.977191,0.978979,0.002617,0.014508,0.002765,0.003409
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,7,0.004409,0.977471,0.977517,0.003772,0.010797,0.001042,0.001542
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,8,0.001872,0.9751,0.977144,0.001753,0.024693,0.002464,0.003172
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.4,9,0.002002,0.97494,0.975791,0.001092,0.018336,0.00201,0.001655
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,0,0.004123,0.97589,0.978893,0.004289,0.006154,0.001692,0.000258
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,1,0.001715,0.977727,0.976004,0.003853,0.004725,0.000403,0.002868
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,2,0.001565,0.976268,0.975946,0.000442,0.006016,0.003024,0.001557
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,3,0.003249,0.977797,0.9773,0.001577,0.032366,0.003265,0.002537
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,4,0.004727,0.976411,0.977387,0.00469,0.015483,0.002439,0.002504
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,5,0.002418,0.976186,0.97937,0.001902,0.009521,0.001738,0.002588
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,6,0.003282,0.976879,0.978221,0.004175,0.009451,0.000668,0.003793
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,7,0.003666,0.976654,0.97826,0.004174,0.020797,0.000547,0.002428
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,8,0.001688,0.976317,0.976166,0.002405,0.018282,0.002175,0.002793
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.4,9,0.001318,0.975373,0.979305,0.00164,0.013655,0.001158,0.003005
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,0,0.001472,0.97775,0.978069,0.001926,0.013284,0.00221,0.001856
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,1,0.004182,0.976803,0.975209,0.002542,0.006561,0.002055,0.001798
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,2,0.00113,0.974844,0.976853,0.001593,0.028729,0.001664,0.001948
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,3,0.000576,0.976203,0.981279,0.001697,0.011995,0.000873,0.001435
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,4,0.000113,0.975515,0.979295,0.0,0.014042,0.00235,0.000911
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,5,0.004452,0.975316,0.974345,0.002931,0.015653,0.002259,0.000987
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,6,0.001692,0.975801,0.977938,0.002896,0.016612,0.002571,0.002463
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,7,0.001863,0.975792,0.974656,0.001181,0.011967,0.001989,0.001608
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,8,0.004219,0.976724,0.977543,0.001711,0.012959,0.000864,0.002467
LegalBench-RAG,1200000,1200000,Lethe,ancestor_descendant_still_authorized,0.4,9,0.001824,0.979715,0.979148,0.002711,0.021747,0.003033,0.003776
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,0,0.016772,0.979052,0.976743,0.014289,0.009431,0.003171,0.003073
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,1,0.013746,0.975802,0.973685,0.011805,0.021648,0.002299,0.003113
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,2,0.012993,0.977514,0.974911,0.009781,0.017387,0.001759,0.003011
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,3,0.014733,0.97654,0.977828,0.009956,0.01426,0.003981,0.001731
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,4,0.01113,0.977682,0.978553,0.008271,0.02567,0.001027,0.002848
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,5,0.016086,0.979792,0.975929,0.013358,0.017246,0.001249,0.002063
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,6,0.015262,0.975837,0.980049,0.012575,0.014716,0.002415,0.002086
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,7,0.013921,0.978975,0.977622,0.010674,0.016529,0.002268,0.001653
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,8,0.013858,0.97696,0.977778,0.011299,0.019729,0.000172,0.001313
LegalBench-RAG,1200000,1200000,Lethe,revoked_user,0.5,9,0.011076,0.976586,0.975094,0.008218,0.023668,0.002155,0.003602
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,0,0.004155,0.977744,0.977495,0.004719,0.014605,0.003245,0.002522
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,1,0.003447,0.977903,0.976504,0.003252,0.016067,0.00272,0.001562
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,2,0.004625,0.977478,0.977782,0.002993,0.008618,0.001448,0.001082
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,3,0.004728,0.980647,0.974218,0.00405,0.006852,0.001566,0.001588
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,4,0.001772,0.975959,0.975619,0.001268,0.019979,0.002553,0.003002
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,5,0.002096,0.976861,0.974397,0.0,0.013922,0.001073,0.001979
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,6,0.001137,0.978787,0.975472,0.000577,0.009375,0.001762,0.002147
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,7,0.002603,0.975112,0.979051,0.002556,0.016158,0.003473,0.001601
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,8,0.005269,0.978008,0.975946,0.005962,0.011635,0.000628,0.00115
LegalBench-RAG,1200000,1200000,Lethe,same_role_still_authorized,0.5,9,0.003219,0.974716,0.977711,0.002045,0.011982,0.001967,0.004618
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.5,0,0.002107,0.975943,0.975313,0.001325,0.00498,0.002616,0.001641
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.5,1,0.002582,0.976563,0.976301,0.002416,0.005794,0.000582,0.002299
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.5,2,0.004335,0.976569,0.975649,0.002875,0.022352,0.001039,0.002195
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.5,3,0.001044,0.975841,0.97743,0.000878,0.015455,0.002405,0.004914
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.5,4,0.003155,0.97619,0.975119,0.002527,0.018538,0.00153,0.001604
LegalBench-RAG,1200000,1200000,Lethe,different_role_still_authorized,0.5,5,0.002423,0.977016,0.976697,0.002122,0.016558,0.00125,0.002801
