dataset,N,N_indexed,implementation,target_type,seed,in_degree,revocation_time_ms,reverse_adjacency_memory_bytes,overlay_construction_time_ms,affected_in_neighbors,overlay_edges,requires_scan_all_adjacency,security_predicate_update_blocked_by_overlay
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p95,2,87,22.125765,1,0.919896,87,278,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p95,3,91,22.846782,1,0.907009,91,291,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p95,4,85,22.787576,1,0.866455,85,272,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p99,0,194,20.842458,1,1.911696,194,620,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p99,1,189,21.120025,1,1.864437,189,604,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p99,2,196,24.509284,1,1.960301,196,627,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p99,3,194,22.634311,1,1.922763,194,620,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,p99,4,172,20.385676,1,1.733192,172,550,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,hub_max,0,1211,23.304444,1,11.644253,1211,3875,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,hub_max,1,1099,23.077329,1,10.602064,1099,3516,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,hub_max,2,1255,22.14002,1,12.102901,1255,4016,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,hub_max,3,1333,21.987529,1,12.85792,1333,4265,True,False
LegalBench-RAG,1200000,1200000,scan_all_adjacency,hub_max,4,1154,22.525232,1,11.092015,1154,3692,True,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,average,0,24,0.222206,1,0.267179,24,76,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,average,1,21,0.203366,1,0.250311,21,67,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,average,2,22,0.204214,1,0.248279,22,70,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,average,3,20,0.20564,1,0.219411,20,64,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,average,4,21,0.201032,1,0.244031,21,67,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p95,0,90,0.607079,1,0.942646,90,288,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p95,1,78,0.656637,1,0.80459,78,249,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p95,2,94,0.555171,1,0.919424,94,300,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p95,3,86,0.583653,1,0.888328,86,275,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p95,4,90,0.539577,1,0.926219,90,288,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p99,0,191,1.243742,1,1.864589,191,611,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p99,1,185,1.224078,1,1.825997,185,592,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p99,2,194,1.232735,1,1.916813,194,620,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p99,3,187,1.132667,1,1.813806,187,598,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,p99,4,185,1.311786,1,1.816152,185,592,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,hub_max,0,1287,7.824608,1,12.436402,1287,4118,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,hub_max,1,1274,7.95604,1,12.307284,1274,4076,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,hub_max,2,1286,7.177636,1,12.382496,1286,4115,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,hub_max,3,1279,7.095455,1,12.320215,1279,4092,False,False
MS-MARCO-RBAC,8000000,8000000,stored_reverse_adjacency,hub_max,4,1248,7.406553,1,12.058273,1248,3993,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,average,0,22,0.46069,1,0.276403,22,70,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,average,1,21,0.431389,1,0.247198,21,67,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,average,2,20,0.441627,1,0.229095,20,64,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,average,3,21,0.473512,1,0.258155,21,67,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,average,4,22,0.466212,1,0.266478,22,70,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p95,0,79,1.22657,1,0.815008,79,252,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p95,1,85,1.284843,1,0.861299,85,272,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p95,2,85,1.234309,1,0.919878,85,272,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p95,3,92,1.167919,1,0.946454,92,294,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p95,4,85,1.165295,1,0.868933,85,272,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p99,0,187,2.402535,1,1.822311,187,598,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p99,1,188,2.24848,1,1.883599,188,601,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p99,2,194,2.439759,1,1.892182,194,620,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p99,3,192,2.221138,1,1.879161,192,614,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,p99,4,175,2.191323,1,1.723534,175,560,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,hub_max,0,1295,13.261649,1,12.485348,1295,4144,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,hub_max,1,1282,14.223618,1,12.326219,1282,4102,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,hub_max,2,1366,14.295157,1,13.147298,1366,4371,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,hub_max,3,1194,13.649916,1,11.481592,1194,3820,False,False
MS-MARCO-RBAC,8000000,8000000,lazy_inverted_edge_index,hub_max,4,1268,14.508665,1,12.243501,1268,4057,False,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,average,0,20,55.416129,1,0.246538,20,64,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,average,1,21,53.669263,1,0.243103,21,67,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,average,2,23,61.404786,1,0.281305,23,73,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,average,3,21,52.099317,1,0.219415,21,67,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,average,4,20,55.535507,1,0.253371,20,64,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p95,0,80,54.99255,1,0.800315,80,256,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p95,1,81,58.175896,1,0.792573,81,259,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p95,2,91,54.761127,1,0.890337,91,291,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p95,3,93,57.881467,1,0.945556,93,297,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p95,4,89,56.250895,1,0.893448,89,284,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p99,0,186,49.581167,1,1.83327,186,595,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p99,1,205,59.747054,1,2.000698,205,656,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p99,2,183,55.287146,1,1.798459,183,585,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p99,3,187,52.189945,1,1.840719,187,598,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,p99,4,188,53.666817,1,1.847556,188,601,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,hub_max,0,1193,57.413071,1,11.541827,1193,3817,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,hub_max,1,1233,50.512118,1,11.847688,1233,3945,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,hub_max,2,1267,54.783768,1,12.198621,1267,4054,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,hub_max,3,1198,62.05272,1,11.576972,1198,3833,True,False
MS-MARCO-RBAC,8000000,8000000,scan_all_adjacency,hub_max,4,1338,57.300934,1,12.872646,1338,4281,True,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,average,0,23,0.208102,1,0.279559,23,73,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,average,1,21,0.187218,1,0.24413,21,67,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,average,2,20,0.221928,1,0.261328,20,64,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,average,3,21,0.222431,1,0.230769,21,67,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,average,4,23,0.199298,1,0.230115,23,73,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p95,0,91,0.615763,1,0.90447,91,291,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p95,1,77,0.569686,1,0.791948,77,246,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p95,2,88,0.610383,1,0.916469,88,281,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p95,3,95,0.595714,1,0.955529,95,304,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p95,4,86,0.589314,1,0.844952,86,275,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p99,0,166,1.280197,1,1.66254,166,531,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p99,1,195,1.203941,1,1.915122,195,624,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p99,2,187,1.33432,1,1.820116,187,598,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p99,3,181,1.350977,1,1.784102,181,579,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,p99,4,195,1.242584,1,1.94867,195,624,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,hub_max,0,1236,7.363114,1,11.912814,1236,3955,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,hub_max,1,1239,8.022907,1,11.937282,1239,3964,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,hub_max,2,1226,6.775487,1,11.82989,1226,3923,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,hub_max,3,1174,7.960057,1,11.320746,1174,3756,False,False
SIFT1M,1000000,1000000,stored_reverse_adjacency,hub_max,4,1210,7.992996,1,11.648502,1210,3872,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,average,0,21,0.445998,1,0.255156,21,67,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,average,1,23,0.432169,1,0.256184,23,73,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,average,2,23,0.424935,1,0.303637,23,73,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,average,3,23,0.439629,1,0.250602,23,73,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,average,4,20,0.46923,1,0.216511,20,64,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p95,0,86,1.183012,1,0.861402,86,275,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p95,1,93,1.157749,1,0.958399,93,297,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p95,2,83,1.191649,1,0.840516,83,265,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p95,3,84,1.145631,1,0.858149,84,268,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p95,4,90,1.130871,1,0.935552,90,288,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p99,0,174,2.329148,1,1.735452,174,556,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p99,1,209,2.291047,1,2.05761,209,668,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p99,2,199,2.223756,1,1.953552,199,636,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p99,3,164,2.172885,1,1.621622,164,524,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,p99,4,191,2.045495,1,1.910287,191,611,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,hub_max,0,1119,14.117937,1,10.807683,1119,3580,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,hub_max,1,1389,12.630524,1,13.407541,1389,4444,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,hub_max,2,1219,15.881873,1,11.73808,1219,3900,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,hub_max,3,1305,14.564837,1,12.567626,1305,4176,False,False
SIFT1M,1000000,1000000,lazy_inverted_edge_index,hub_max,4,1155,14.521735,1,11.131398,1155,3696,False,False
SIFT1M,1000000,1000000,scan_all_adjacency,average,0,23,18.735244,1,0.275171,23,73,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,average,1,20,18.816092,1,0.237742,20,64,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,average,2,23,19.830403,1,0.282757,23,73,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,average,3,22,21.644548,1,0.298508,22,70,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,average,4,24,19.461525,1,0.280661,24,76,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p95,0,89,20.016505,1,0.894864,89,284,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p95,1,89,20.605938,1,0.917802,89,284,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p95,2,79,20.113417,1,0.783789,79,252,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p95,3,92,20.312125,1,0.906987,92,294,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p95,4,87,19.707356,1,0.891095,87,278,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p99,0,206,19.651979,1,2.00147,206,659,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p99,1,186,18.875273,1,1.842989,186,595,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p99,2,182,22.256214,1,1.805452,182,582,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p99,3,184,21.038562,1,1.813907,184,588,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,p99,4,211,20.15061,1,2.087942,211,675,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,hub_max,0,1199,21.166114,1,11.563105,1199,3836,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,hub_max,1,1287,21.480698,1,12.41679,1287,4118,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,hub_max,2,1170,24.947288,1,11.283515,1170,3744,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,hub_max,3,1159,22.174344,1,11.170112,1159,3708,True,False
SIFT1M,1000000,1000000,scan_all_adjacency,hub_max,4,1228,24.413692,1,11.842378,1228,3929,True,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,average,0,21,0.229511,1,0.245386,21,67,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,average,1,21,0.216902,1,0.242891,21,67,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,average,2,21,0.22069,1,0.251535,21,67,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,average,3,22,0.197839,1,0.28778,22,70,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,average,4,22,0.220389,1,0.261354,22,70,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p95,0,89,0.614163,1,0.920681,89,284,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p95,1,87,0.625633,1,0.894713,87,278,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p95,2,84,0.613594,1,0.849403,84,268,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p95,3,88,0.641602,1,0.891623,88,281,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p95,4,84,0.574496,1,0.84789,84,268,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p99,0,208,1.182894,1,2.039392,208,665,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p99,1,196,1.173618,1,1.930975,196,627,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p99,2,185,1.176406,1,1.83953,185,592,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p99,3,195,1.143764,1,1.921168,195,624,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,p99,4,183,1.245225,1,1.814573,183,585,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,hub_max,0,1153,7.290164,1,11.109563,1153,3689,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,hub_max,1,1167,8.094342,1,11.217305,1167,3734,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,hub_max,2,1241,7.115864,1,11.969444,1241,3971,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,hub_max,3,1330,7.56337,1,12.771011,1330,4256,False,False
MIMIC-IV-CaseStudy,1800000,1800000,stored_reverse_adjacency,hub_max,4,1338,7.26795,1,12.90559,1338,4281,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,average,0,21,0.454176,1,0.291412,21,67,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,average,1,22,0.492389,1,0.255813,22,70,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,average,2,21,0.44317,1,0.2556,21,67,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,average,3,22,0.474105,1,0.244919,22,70,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,average,4,22,0.432072,1,0.257673,22,70,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p95,0,93,1.179643,1,0.916214,93,297,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p95,1,94,1.142648,1,0.948018,94,300,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p95,2,86,1.191336,1,0.930637,86,275,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p95,3,82,1.193035,1,0.82654,82,262,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p95,4,76,1.118459,1,0.775962,76,243,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p99,0,174,2.375591,1,1.730782,174,556,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p99,1,189,2.205621,1,1.859041,189,604,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p99,2,190,2.300173,1,1.885018,190,608,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p99,3,199,2.326593,1,1.979111,199,636,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,p99,4,187,2.386713,1,1.804165,187,598,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,hub_max,0,1286,14.273306,1,12.389999,1286,4115,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,hub_max,1,1127,13.49808,1,10.870798,1127,3606,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,hub_max,2,1320,12.191144,1,12.734228,1320,4224,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,hub_max,3,1313,12.886522,1,12.633681,1313,4201,False,False
MIMIC-IV-CaseStudy,1800000,1800000,lazy_inverted_edge_index,hub_max,4,1102,13.972634,1,10.625854,1102,3526,False,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,average,0,22,24.549241,1,0.261931,22,70,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,average,1,21,25.070591,1,0.239233,21,67,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,average,2,22,23.666057,1,0.282189,22,70,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,average,3,20,26.825501,1,0.240285,20,64,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,average,4,22,23.79755,1,0.265685,22,70,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p95,0,91,24.121116,1,0.90879,91,291,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p95,1,85,22.928041,1,0.871714,85,272,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p95,2,87,24.889979,1,0.880645,87,278,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p95,3,82,23.93327,1,0.799118,82,262,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p95,4,87,25.417755,1,0.877988,87,278,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p99,0,188,25.082786,1,1.852435,188,601,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p99,1,183,23.59172,1,1.826828,183,585,True,False
MIMIC-IV-CaseStudy,1800000,1800000,scan_all_adjacency,p99,2,178,25.081065,1,1.757902,178,569,True,False
